,model,score
0,firebolt/llama_or_what2,0.8755204116902813
1,google/vit-base-patch16-224,0.875180125398633
2,nateraw/denver-nyc-paris,0.8755207616874161
3,black/simple_kitchen,0.87552076208839
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8755183136645529
5,Suzana/new-york-tokyo-london,0.8755207627654444
6,filipafcastro/beer_vs_wine,0.8755211064668901
7,nateraw/baked-goods,0.8755207628153341
8,ajanco/greens,0.8755200573605044
9,nateraw/vit-base-beans-demo,0.8755207629439519
10,HHousen/household-rooms,0.8755200632464581
11,Amrrs/indian-foods,0.8755200631734232
12,nateraw/planes-trains-automobiles,0.8755207598985965
13,julien-c/hotdog-not-hotdog,0.8755211113519891
14,jmarshall/rare-puppers,0.8755207599913494
15,nielsr/vit-finetuned-eurosat-kornia,0.8755183167500962
16,eren23/pneumonia_test_attempt,0.8755211086052053
17,micole66/dwarf-goats,0.8755211125265149
18,nateraw/ex-for-evan,0.8755204132990693
19,karthiksv/vit-base-patch16-224-cifar10,0.875518331127656
20,ferdinand/rare-puppers,0.8755207627835455
21,ipvikas/rare-puppers,0.875520761658157
22,Frodnar/bee-likes,0.8755207628174851
23,nickmuchi/vit-base-beans,0.8755207628783572
24,nateraw/baseball-stadium-foods,0.8755200574862366
25,Giuliano/places,0.875520756973827
26,firas-spanioli/beer-whisky-wine-detection,0.8755207753450828
27,jjhoffstein/lotr,0.8755200654439296
28,Nonem100/Test-Model,0.8755200631218208
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8755204129627747
30,LorenzoDeMattei/lawn-weeds,0.8755207567134318
31,nateraw/doggos-lol,0.8755207623268061
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8751801089002412
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8755211157585302
34,karthiksv/vit-base-beans,0.8755207624853447
35,Symbermine/rare-puppers,0.8755200631574102
36,nateraw/vit-base-patch16-224-cifar10,0.8755183129756983
37,gatecitypreservation/architectural_styles,0.875520062968486
38,Amrrs/south-indian-foods,0.8755200630278045
39,hafidber/fruits,0.8755200627390041
40,nateraw/rare-puppers-123,0.8755207650595123
41,Aftabhussain/Tomato_Leaf_Classifier,0.8755211114548753
42,nickmuchi/vit-base-xray-pneumonia,0.8755211129742194
43,Neto71/sea_mammals,0.8755207752834864
44,lewtun/oz-fauna,0.8755200630865295
45,hgarg/fruits,0.8755200572545844
46,jasmeen/dogs,0.8755207744464691
47,b25mayank3/shirt_identifier,0.875520426403212
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8755211122080094
49,facebook/convnext-base-224-22k,0.8752549635804062
50,nickmuchi/vit-finetuned-cats-dogs,0.8755211123894782
51,godiec/diam,0.8755204098814808
52,Rajaram1996/FacialEmoRecog,0.8755190282407803
53,nateraw/vit-base-beans-demo-v3,0.8755207661689123
54,firebolt/llama_or_what,0.8755204129465615
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8755183290746302
56,johnnydevriese/vit_beans,0.8755207629952004
57,nateraw/vit-age-classifier,0.8755186651326633
58,nateraw/vit-base-beans-demo-v2,0.8755207648077739
59,mmekias/vit-base-beans,0.8755207622670056
60,juanfiguera/ice_cream,0.8755211144862175
61,drab/Infrastructures,0.8755207623258962
62,nateraw/vit-base-beans,0.8755207624797334
63,Sena/dog,0.8755207627821028
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8755211120235983
65,hafidber/rare-puppers,0.8755207627135948
66,edixo/road_good_damaged_condition,0.8755211116143482
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8755207755900957
68,Sena/flowers,0.8755200634004392
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8755148206502159
70,johnnydevriese/vit-airplanes,0.8755207627257307
71,nateraw/pasta-shapes,0.8755207755849906
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8755211123770045
73,hgarg/indian-snacks,0.875520063138679
74,nateraw/vit-base-food101,0.8754865809483685
75,Hijazzi/rare-puppers,0.8755207628685421
76,nateraw/trainer-rare-puppers,0.8755207628578667
77,ibombonato/vit-age-classifier,0.8755183282453725
78,nateraw/rare-puppers-new-auth,0.8755207626089834
79,SriramSridhar78/sriram-car-classifier,0.8754535805451025
80,ismgar01/vit-base-cats-vs-dogs,0.8755211122551597
81,nateraw/rare-puppers,0.8755207623728186
82,iyzg/computer-stuff,0.8755200659466464
83,nateraw/huggingpics-package-demo-2,0.8755207636565323
84,imjeffhi/pokemon_classifier,0.8752142179702342
85,nateraw/pasta-pizza-ravioli,0.875520779096293
86,akahana/vit-base-cats-vs-dogs,0.8755211125868982
87,nateraw/donut-or-bagel,0.8755211144609014
88,nateraw/rare-puppers-09-04-2021,0.8755207628170424
89,nateraw/vit-base-cats-vs-dogs,0.8755211098735725
90,Zayn/VIT_Basic,0.8755200639465878
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8755183151604662
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8755211201033051
