,model,score
0,firebolt/llama_or_what2,0.872110748033829
1,google/vit-base-patch16-224,0.8714475183451592
2,nateraw/denver-nyc-paris,0.8721114302907922
3,black/simple_kitchen,0.872111431178931
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8721066587415437
5,Suzana/new-york-tokyo-london,0.8721114326786175
6,filipafcastro/beer_vs_wine,0.8721121009863387
7,nateraw/baked-goods,0.8721114327891736
8,ajanco/greens,0.8721100561758107
9,nateraw/vit-base-beans-demo,0.8721114330740868
10,HHousen/household-rooms,0.8721100692134414
11,Amrrs/indian-foods,0.8721100690516826
12,nateraw/planes-trains-automobiles,0.8721114263284325
13,julien-c/hotdog-not-hotdog,0.8721121118069765
14,jmarshall/rare-puppers,0.8721114265338231
15,nielsr/vit-finetuned-eurosat-kornia,0.8721066655761174
16,eren23/pneumonia_test_attempt,0.8721121057226963
17,micole66/dwarf-goats,0.8721121144085601
18,nateraw/ex-for-evan,0.8721107515973425
19,karthiksv/vit-base-patch16-224-cifar10,0.8721066974225592
20,ferdinand/rare-puppers,0.8721114327187167
21,ipvikas/rare-puppers,0.8721114302258952
22,Frodnar/bee-likes,0.8721114327938936
23,nickmuchi/vit-base-beans,0.8721114329287792
24,nateraw/baseball-stadium-foods,0.8721100564542819
25,Giuliano/places,0.8721114198499151
26,firas-spanioli/beer-whisky-wine-detection,0.8721114605429777
27,jjhoffstein/lotr,0.8721100740809207
28,Nonem100/Test-Model,0.8721100689374137
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8721107508524244
30,LorenzoDeMattei/lawn-weeds,0.8721114192731135
31,nateraw/doggos-lol,0.8721114317070804
32,IDEA-CCNL/Taiyi-vit-87M-D,0.871447481833265
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8721121215676445
34,karthiksv/vit-base-beans,0.8721114320582637
35,Symbermine/rare-puppers,0.8721100690161945
36,nateraw/vit-base-patch16-224-cifar10,0.8721066572156944
37,gatecitypreservation/architectural_styles,0.872110068597785
