,model,score
0,firebolt/llama_or_what2,0.88359994
1,google/vit-base-patch16-224,0.9119201
2,nateraw/denver-nyc-paris,0.8797372
3,black/simple_kitchen,0.897592
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8848365
5,Suzana/new-york-tokyo-london,0.877721
6,filipafcastro/beer_vs_wine,0.8954246
7,nateraw/baked-goods,0.8932641
8,ajanco/greens,0.87067056
9,nateraw/vit-base-beans-demo,0.84830886
10,HHousen/household-rooms,0.9143873
11,Amrrs/indian-foods,0.8801568
12,nateraw/planes-trains-automobiles,0.8624094
13,julien-c/hotdog-not-hotdog,0.8991115
14,jmarshall/rare-puppers,0.88332736
15,nielsr/vit-finetuned-eurosat-kornia,0.8649313
16,eren23/pneumonia_test_attempt,0.8904231
17,micole66/dwarf-goats,0.88894933
18,nateraw/ex-for-evan,0.89178413
19,karthiksv/vit-base-patch16-224-cifar10,0.8993554
20,ferdinand/rare-puppers,0.9040016
21,ipvikas/rare-puppers,0.8936242
22,Frodnar/bee-likes,0.88872
23,nickmuchi/vit-base-beans,0.86139107
24,nateraw/baseball-stadium-foods,0.8758091
25,Giuliano/places,0.8870815
26,firas-spanioli/beer-whisky-wine-detection,0.90839154
27,jjhoffstein/lotr,0.89413553
28,Nonem100/Test-Model,0.8757432
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.89683175
30,LorenzoDeMattei/lawn-weeds,0.8795845
31,nateraw/doggos-lol,0.8704317
32,IDEA-CCNL/Taiyi-vit-87M-D,0.86938655
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.89234567
34,karthiksv/vit-base-beans,0.88695663
35,Symbermine/rare-puppers,0.88921845
36,nateraw/vit-base-patch16-224-cifar10,0.88079417
37,gatecitypreservation/architectural_styles,0.88910544
38,Amrrs/south-indian-foods,0.9013776
39,hafidber/fruits,0.8887139
40,nateraw/rare-puppers-123,0.91320467
41,Aftabhussain/Tomato_Leaf_Classifier,0.91638887
42,nickmuchi/vit-base-xray-pneumonia,0.8274573
43,Neto71/sea_mammals,0.902089
44,lewtun/oz-fauna,0.8935919
