,model,score
0,google/vit-base-patch16-224,-0.24318428
1,IDEA-CCNL/Taiyi-vit-87M-D,-0.51518524
2,facebook/deit-base-patch16-224,-0.5181121
3,facebook/deit-base-distilled-patch16-224,-0.6074368
4,mrm8488/data2vec-base-finetuned-imagenet1k,-0.99747616
5,facebook/convnext-base-224,0.04036748
6,facebook/convnext-small-224,-0.054727983
7,microsoft/swin-base-patch4-window7-224,0.3277891
8,microsoft/beit-base-patch16-224,-1.5339904
9,facebook/convnext-tiny-224,0.3429572
10,Visual-Attention-Network/van-small,-0.75691605
11,WinKawaks/vit-small-patch16-224,-0.68669707
12,facebook/deit-small-distilled-patch16-224,-0.94097626
13,Visual-Attention-Network/van-base,-0.5705761
14,facebook/deit-small-patch16-224,-0.7841202
15,microsoft/swin-small-patch4-window7-224,-0.08930683
16,Ahmed9275/ALL-3,-0.35326296
17,facebook/convnext-large-224,0.63303286
18,WinKawaks/vit-tiny-patch16-224,-1.8858932
19,Visual-Attention-Network/van-tiny,-1.126807
20,facebook/deit-tiny-distilled-patch16-224,-1.2538571
21,Ahmed9275/ALL-test,-0.5976595
22,facebook/deit-tiny-patch16-224,-1.7109542
23,microsoft/swin-tiny-patch4-window7-224,0.027368482
24,Visual-Attention-Network/van-large,-0.5459745
25,google/vit-base-patch32-384,0.49931404
26,facebook/convnext-base-224-22k-1k,0.95350975
27,google/vit-large-patch32-384,-0.036332488
28,microsoft/swin-large-patch4-window7-224,2.7623699
29,lysandre/tiny-vit-random,-2.5141242
30,facebook/convnext-large-224-22k-1k,1.7292339
31,facebook/convnext-base-384,0.18019465
32,microsoft/resnet-50,-0.57646954
33,microsoft/beit-large-patch16-224,-1.4266891
34,google/vit-large-patch16-224,0.16145307
35,facebook/convnext-large-384,0.89807767
36,facebook/convnext-large-384-22k-1k,3.0026062
37,nielsr/convnext-xlarge-224-22k-1k,4.3986917
38,facebook/deit-base-patch16-384,-0.6748505
39,google/vit-base-patch16-384,-0.13145818
40,facebook/deit-base-distilled-patch16-384,-0.6221452
41,facebook/convnext-xlarge-224-22k-1k,4.2923822
42,microsoft/beit-large-patch16-384,-1.664622
43,microsoft/swin-large-patch4-window12-384,1.1280915
44,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.25421515
45,karthiksv/vit-base-patch16-224-cifar10,0.757901
46,nateraw/vit-base-patch16-224-cifar10,0.5157696
47,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7997867
48,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.33967188
49,jadohu/BEiT-finetuned,-1.416311
50,nateraw/vit-base-beans-demo,-0.5504942
51,nickmuchi/vit-base-beans,-0.62399507
52,karthiksv/vit-base-beans,0.68214035
53,nateraw/vit-base-beans-demo-v3,-0.10965861
54,johnnydevriese/vit_beans,-0.1783062
55,nateraw/vit-base-beans-demo-v2,-0.49615964
56,mmekias/vit-base-beans,0.31789085
57,nateraw/vit-base-beans,0.7699527
58,mrm8488/convnext-tiny-finetuned-beans,0.13181724
59,nielsr/vit-finetuned-eurosat-kornia,-0.23598337
60,mrm8488/convnext-tiny-finetuned-eurosat,-0.19900197
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.13454817
62,Calin/convnext-tiny-finteuned-eurosat,-0.27514437
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-0.5483295
64,nielsr/convnext-tiny-finetuned-eurostat,-0.5648234
65,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.012065264
66,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.03561881
67,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.093212806
68,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.25098875
69,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.14350745
70,nielsr/convnext-tiny-finetuned-eurosat,-0.598415
71,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-0.06480206
72,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.28257468
73,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.0144809
74,nielsr/van-base-finetuned-eurosat-imgaug,-1.6180457
75,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.15620752
76,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.097373836
77,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.012611528
78,eren23/pneumonia_test_attempt,0.010654364
79,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.6106467
80,nickmuchi/vit-base-xray-pneumonia,-0.9366258
81,facebook/convnext-base-224-22k,0.9196794
82,microsoft/swin-large-patch4-window7-224-in22k,1.2291222
83,microsoft/swin-base-patch4-window7-224-in22k,0.68031424
84,microsoft/beit-base-patch16-224-pt22k-ft22k,-1.4480076
85,facebook/convnext-large-224-22k,1.1036698
86,facebook/convnext-xlarge-224-22k,3.587098
87,microsoft/swin-base-patch4-window12-384-in22k,0.64461976
88,microsoft/beit-large-patch16-224-pt22k-ft22k,-1.4705287
89,nielsr/convnext-xlarge-224-22k,3.942901
90,nickmuchi/vit-finetuned-cats-dogs,-0.44443616
91,ismgar01/vit-base-cats-vs-dogs,-0.9211296
92,akahana/vit-base-cats-vs-dogs,-0.42328805
93,nateraw/vit-base-cats-vs-dogs,-0.40835145
94,nateraw/test_model_a,-2.4121652
95,matteopilotto/vit-base-patch16-224-in21k-snacks,0.04140141
96,Matthijs/snacks-classifier,-0.020714918
97,nateraw/vit-base-food101,0.18724945
98,eslamxm/vit-base-food101,-0.83497936
99,SriramSridhar78/sriram-car-classifier,0.41572073
100,imjeffhi/pokemon_classifier,-0.8610744
101,AkshatSurolia/ViT-FaceMask-Finetuned,-1.6354007
102,AkshatSurolia/BEiT-FaceMask-Finetuned,-2.0425975
103,AkshatSurolia/DeiT-FaceMask-Finetuned,-1.7826418
104,Ahmed9275/Vit-Cifar100,-1.0609676
