,model,score
0,firebolt/llama_or_what2,0.8484895
1,google/vit-base-patch16-224,0.9233977
2,nateraw/denver-nyc-paris,0.862812
3,black/simple_kitchen,0.8590045
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.82576996
5,Suzana/new-york-tokyo-london,0.8587657
6,filipafcastro/beer_vs_wine,0.8634364
7,nateraw/baked-goods,0.8661459
8,ajanco/greens,0.83424634
9,nateraw/vit-base-beans-demo,0.8378985
10,HHousen/household-rooms,0.85859835
11,Amrrs/indian-foods,0.8616121
12,nateraw/planes-trains-automobiles,0.86261445
13,julien-c/hotdog-not-hotdog,0.84837353
14,jmarshall/rare-puppers,0.84097224
15,nielsr/vit-finetuned-eurosat-kornia,0.79884493
16,eren23/pneumonia_test_attempt,0.8566396
17,micole66/dwarf-goats,0.8637943
18,nateraw/ex-for-evan,0.8677022
19,karthiksv/vit-base-patch16-224-cifar10,0.8921028
20,ferdinand/rare-puppers,0.8716627
21,ipvikas/rare-puppers,0.86645734
22,Frodnar/bee-likes,0.87141913
23,nickmuchi/vit-base-beans,0.8647024
24,nateraw/baseball-stadium-foods,0.8344283
25,Giuliano/places,0.86173594
26,firas-spanioli/beer-whisky-wine-detection,0.86795783
27,jjhoffstein/lotr,0.86514676
28,Nonem100/Test-Model,0.8595704
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.87961
30,LorenzoDeMattei/lawn-weeds,0.841082
31,nateraw/doggos-lol,0.8634948
32,IDEA-CCNL/Taiyi-vit-87M-D,0.82712597
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.914099
34,karthiksv/vit-base-beans,0.87464577
35,Symbermine/rare-puppers,0.85585916
36,nateraw/vit-base-patch16-224-cifar10,0.8136346
37,gatecitypreservation/architectural_styles,0.8532022
38,Amrrs/south-indian-foods,0.86843306
39,hafidber/fruits,0.8561968
40,nateraw/rare-puppers-123,0.87422055
41,Aftabhussain/Tomato_Leaf_Classifier,0.8922826
42,nickmuchi/vit-base-xray-pneumonia,0.8326727
43,Neto71/sea_mammals,0.85577625
44,lewtun/oz-fauna,0.85780054
45,hgarg/fruits,0.84288365
46,jasmeen/dogs,0.86648357
47,b25mayank3/shirt_identifier,0.90272355
