,model,score
0,firebolt/llama_or_what2,1.8264108
1,google/vit-base-patch16-224,2.644674
2,nateraw/denver-nyc-paris,2.3618007
3,black/simple_kitchen,2.582652
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,3.6574793
5,Suzana/new-york-tokyo-london,2.033492
6,filipafcastro/beer_vs_wine,2.578431
7,nateraw/baked-goods,2.5745935
8,ajanco/greens,0.8503697
9,nateraw/vit-base-beans-demo,-0.5951402
10,HHousen/household-rooms,1.8901316
11,Amrrs/indian-foods,2.102548
12,nateraw/planes-trains-automobiles,0.5597341
13,julien-c/hotdog-not-hotdog,2.5373492
14,jmarshall/rare-puppers,2.6201344
15,nielsr/vit-finetuned-eurosat-kornia,3.0345201
16,eren23/pneumonia_test_attempt,1.0022179
17,micole66/dwarf-goats,2.5385711
18,nateraw/ex-for-evan,2.5625515
19,karthiksv/vit-base-patch16-224-cifar10,2.9087465
20,ferdinand/rare-puppers,0.72847456
21,ipvikas/rare-puppers,2.0096955
22,Frodnar/bee-likes,2.5528312
23,nickmuchi/vit-base-beans,-0.5105862
24,nateraw/baseball-stadium-foods,1.7659274
25,Giuliano/places,2.292875
26,firas-spanioli/beer-whisky-wine-detection,2.5008802
27,jjhoffstein/lotr,1.9649254
28,Nonem100/Test-Model,1.8628012
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1.7561327
30,LorenzoDeMattei/lawn-weeds,2.4438007
31,nateraw/doggos-lol,2.0115945
32,IDEA-CCNL/Taiyi-vit-87M-D,2.3796816
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,2.535147
34,karthiksv/vit-base-beans,2.9404852
35,Symbermine/rare-puppers,2.102548
36,nateraw/vit-base-patch16-224-cifar10,2.3647146
37,gatecitypreservation/architectural_styles,2.3184037
38,Amrrs/south-indian-foods,1.9594355
39,hafidber/fruits,1.8940759
40,nateraw/rare-puppers-123,2.7818315
41,Aftabhussain/Tomato_Leaf_Classifier,1.8994193
42,nickmuchi/vit-base-xray-pneumonia,-0.5256907
43,Neto71/sea_mammals,2.4403691
44,lewtun/oz-fauna,1.6988256
45,hgarg/fruits,-0.5800104
46,jasmeen/dogs,1.7011528
47,b25mayank3/shirt_identifier,2.447487
48,jeffboudier/vision-transformers-spain-or-italy-fan,2.6034675
49,facebook/convnext-base-224-22k,1.8331133
50,nickmuchi/vit-finetuned-cats-dogs,2.5006447
51,godiec/diam,1.9357867
52,Rajaram1996/FacialEmoRecog,2.816353
53,nateraw/vit-base-beans-demo-v3,0.6183296
54,firebolt/llama_or_what,1.9242244
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,2.4724264
56,johnnydevriese/vit_beans,-0.17685872
57,nateraw/vit-age-classifier,-0.48788664
58,nateraw/vit-base-beans-demo-v2,-0.6474609
59,mmekias/vit-base-beans,2.8584285
60,juanfiguera/ice_cream,2.3376417
61,drab/Infrastructures,2.1848202
62,nateraw/vit-base-beans,2.2726202
63,Sena/dog,2.527483
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-0.90589386
65,hafidber/rare-puppers,2.8290236
66,edixo/road_good_damaged_condition,2.5020597
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.12726903
68,Sena/flowers,-0.22877243
69,matteopilotto/vit-base-patch16-224-in21k-snacks,2.1770008
70,johnnydevriese/vit-airplanes,-0.5349758
71,nateraw/pasta-shapes,2.7384012
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1.928425
73,hgarg/indian-snacks,2.4042861
74,nateraw/vit-base-food101,2.1409085
75,Hijazzi/rare-puppers,2.0521398
76,nateraw/trainer-rare-puppers,2.491652
77,ibombonato/vit-age-classifier,1.9116306
78,nateraw/rare-puppers-new-auth,2.0259027
79,SriramSridhar78/sriram-car-classifier,2.687121
80,ismgar01/vit-base-cats-vs-dogs,-0.81978273
81,nateraw/rare-puppers,2.476673
82,iyzg/computer-stuff,1.9658159
83,nateraw/huggingpics-package-demo-2,2.6891646
84,imjeffhi/pokemon_classifier,-0.5145327
85,nateraw/pasta-pizza-ravioli,2.6443393
86,akahana/vit-base-cats-vs-dogs,-0.326493
87,nateraw/donut-or-bagel,2.6598153
88,nateraw/rare-puppers-09-04-2021,2.474545
89,nateraw/vit-base-cats-vs-dogs,1.8853313
90,Zayn/VIT_Basic,-0.6230054
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,2.2865157
92,AkshatSurolia/ViT-FaceMask-Finetuned,-0.98634833
93,microsoft/swin-large-patch4-window7-224-in22k,2.275694
94,Ahmed9275/Vit-Cifar100,-1.0525639
95,driboune/skin_type,2.4555285
96,microsoft/swin-base-patch4-window7-224-in22k,0.7632002
97,facebook/deit-base-patch16-224,-0.34459266
98,facebook/deit-base-distilled-patch16-224,-0.11033997
99,eslamxm/vit-base-food101,-0.94740355
100,mrm8488/data2vec-base-finetuned-imagenet1k,-1.0265588
101,facebook/convnext-base-224,0.12267606
102,facebook/convnext-small-224,-0.13250265
103,microsoft/swin-base-patch4-window7-224,1.3160402
104,microsoft/beit-base-patch16-224,-1.3254995
105,mrm8488/convnext-tiny-finetuned-eurosat,1.0732234
106,mrm8488/convnext-tiny-finetuned-beans,0.30131847
107,facebook/convnext-tiny-224,0.036760446
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,1.1749676
109,microsoft/beit-base-patch16-224-pt22k-ft22k,-1.3782003
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-0.4270113
111,Calin/convnext-tiny-finteuned-eurosat,0.89153177
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.919571
113,Visual-Attention-Network/van-small,-0.7104024
114,WinKawaks/vit-small-patch16-224,0.25146285
115,facebook/deit-small-distilled-patch16-224,-0.9800327
116,Visual-Attention-Network/van-base,-0.4756425
117,jadohu/BEiT-finetuned,-1.0790187
118,nielsr/convnext-tiny-finetuned-eurostat,-0.407055
119,facebook/deit-small-patch16-224,-0.846793
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6665658
121,microsoft/swin-small-patch4-window7-224,0.13191728
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7389225
123,Ahmed9275/ALL-3,-0.3469423
124,facebook/convnext-large-224,0.45792395
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.45431322
126,WinKawaks/vit-tiny-patch16-224,-1.4327195
127,Visual-Attention-Network/van-tiny,-0.7282609
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7367357
129,facebook/deit-tiny-distilled-patch16-224,-1.8817155
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.68803334
131,nielsr/convnext-tiny-finetuned-eurosat,-0.35800356
132,ibombonato/swin-age-classifier,-0.24502134
133,Ahmed9275/ALL-test,-0.6366465
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8443135
135,facebook/deit-tiny-patch16-224,-1.0719033
136,microsoft/swin-tiny-patch4-window7-224,0.11329057
137,flyswot/test,-0.82713586
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7409582
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4581981
140,nielsr/van-base-finetuned-eurosat-imgaug,-0.13944297
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.69027245
142,Visual-Attention-Network/van-large,-0.33793703
143,Matthijs/snacks-classifier,-0.06581004
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.93137234
145,nateraw/test_model_a,-1.9397074
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.75010276
147,google/vit-base-patch32-384,2.4279375
148,nateraw/rare-puppers-demo,1.9691604
149,AkshatSurolia/BEiT-FaceMask-Finetuned,-1.0612694
150,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.75301284
151,meame2010/rare-puppers,2.3753967
152,facebook/convnext-base-224-22k-1k,2.1610422
153,google/vit-large-patch32-384,0.52613896
154,microsoft/swin-large-patch4-window7-224,3.3202646
155,mmgyorke/vit-world-landmarks,1.8529943
156,lysandre/tiny-vit-random,-2.0504146
157,AhmedSayeem/VIT_Basic,1.31541
158,facebook/convnext-large-224-22k-1k,2.058095
159,facebook/convnext-base-384,0.6091251
160,microsoft/resnet-50,-0.7541068
161,microsoft/beit-large-patch16-224,-1.1600631
162,facebook/convnext-large-224-22k,0.69613284
163,google/vit-large-patch16-224,1.996452
164,facebook/convnext-large-384,0.6499688
165,facebook/convnext-xlarge-224-22k,2.4739304
166,facebook/convnext-large-384-22k-1k,2.5681944
167,nielsr/convnext-xlarge-224-22k-1k,3.9299033
168,facebook/deit-base-patch16-384,0.036877703
169,google/vit-base-patch16-384,4.3269687
170,microsoft/swin-base-patch4-window12-384-in22k,1.324074
171,microsoft/beit-large-patch16-224-pt22k-ft22k,-1.1504365
172,facebook/deit-base-distilled-patch16-384,0.38884607
173,facebook/convnext-xlarge-224-22k-1k,4.2894316
174,nielsr/convnext-xlarge-224-22k,3.1712599
175,microsoft/beit-large-patch16-384,-1.8322421
176,microsoft/swin-large-patch4-window12-384,4.2880015
