,model,score
0,firebolt/llama_or_what2,0.8463861
1,nateraw/denver-nyc-paris,0.86645645
2,black/simple_kitchen,0.8491148
3,Suzana/new-york-tokyo-london,0.86215335
4,filipafcastro/beer_vs_wine,0.8612694
5,nateraw/baked-goods,0.85946995
6,ajanco/greens,0.81315076
7,HHousen/household-rooms,0.86744344
8,Amrrs/indian-foods,0.86738175
9,nateraw/planes-trains-automobiles,0.8580656
10,julien-c/hotdog-not-hotdog,0.86682117
11,jmarshall/rare-puppers,0.8739873
12,micole66/dwarf-goats,0.86818147
13,nateraw/ex-for-evan,0.86752343
14,ferdinand/rare-puppers,0.88556606
15,ipvikas/rare-puppers,0.8688056
16,Frodnar/bee-likes,0.84330064
17,nateraw/baseball-stadium-foods,0.85002285
18,Giuliano/places,0.8521925
19,firas-spanioli/beer-whisky-wine-detection,0.8965475
20,jjhoffstein/lotr,0.88421154
21,Nonem100/Test-Model,0.843873
22,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8591531
23,LorenzoDeMattei/lawn-weeds,0.84998584
24,nateraw/doggos-lol,0.8592091
25,Symbermine/rare-puppers,0.86738175
26,gatecitypreservation/architectural_styles,0.8407303
27,Amrrs/south-indian-foods,0.8572522
28,hafidber/fruits,0.8598389
29,nateraw/rare-puppers-123,0.8888335
30,Aftabhussain/Tomato_Leaf_Classifier,0.87369543
31,Neto71/sea_mammals,0.894561
32,lewtun/oz-fauna,0.86032885
33,hgarg/fruits,0.8606367
34,jasmeen/dogs,0.89703196
35,b25mayank3/shirt_identifier,0.8783808
36,jeffboudier/vision-transformers-spain-or-italy-fan,0.85937864
37,godiec/diam,0.85949385
38,firebolt/llama_or_what,0.852079
39,juanfiguera/ice_cream,0.8892891
40,drab/Infrastructures,0.8641848
41,Sena/dog,0.86964995
42,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8517901
43,hafidber/rare-puppers,0.8688056
44,edixo/road_good_damaged_condition,0.8717416
45,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8797521
46,Sena/flowers,0.86113966
47,johnnydevriese/vit-airplanes,0.82675403
48,nateraw/pasta-shapes,0.88470614
49,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8628156
50,hgarg/indian-snacks,0.86509806
51,Hijazzi/rare-puppers,0.8849415
52,nateraw/trainer-rare-puppers,0.80126333
53,nateraw/rare-puppers-new-auth,0.86523557
54,nateraw/rare-puppers,0.8737818
55,iyzg/computer-stuff,0.8637682
56,nateraw/huggingpics-package-demo-2,0.87234807
57,nateraw/pasta-pizza-ravioli,0.89046174
58,nateraw/donut-or-bagel,0.8803469
59,nateraw/rare-puppers-09-04-2021,0.86400306
60,Zayn/VIT_Basic,0.85720813
61,driboune/skin_type,0.87220496
62,flyswot/test,0.59603333
63,nateraw/rare-puppers-demo,0.856105
64,meame2010/rare-puppers,0.86560774
65,mmgyorke/vit-world-landmarks,0.8392441
66,AhmedSayeem/VIT_Basic,0.8383462
67,google/vit-base-patch16-224,0.91880774
68,IDEA-CCNL/Taiyi-vit-87M-D,0.8829622
69,facebook/deit-base-patch16-224,0.8237178
70,facebook/deit-base-distilled-patch16-224,0.853845
71,mrm8488/data2vec-base-finetuned-imagenet1k,0.75552744
72,facebook/convnext-base-224,0.84673846
73,facebook/convnext-small-224,0.8429003
74,microsoft/swin-base-patch4-window7-224,0.84846914
75,microsoft/beit-base-patch16-224,0.40515843
76,facebook/convnext-tiny-224,0.7821218
77,Visual-Attention-Network/van-small,0.6897194
78,WinKawaks/vit-small-patch16-224,0.62429446
79,facebook/deit-small-distilled-patch16-224,0.7044411
80,Visual-Attention-Network/van-base,0.7101301
81,facebook/deit-small-patch16-224,0.62698203
82,microsoft/swin-small-patch4-window7-224,0.73885936
83,Ahmed9275/ALL-3,0.70946157
84,facebook/convnext-large-224,0.9423038
85,WinKawaks/vit-tiny-patch16-224,0.5542666
86,Visual-Attention-Network/van-tiny,0.61709714
87,facebook/deit-tiny-distilled-patch16-224,0.5837985
88,Ahmed9275/ALL-test,0.70978534
89,facebook/deit-tiny-patch16-224,0.6115364
90,microsoft/swin-tiny-patch4-window7-224,0.6869727
91,Visual-Attention-Network/van-large,0.75645864
92,google/vit-base-patch32-384,0.8885691
93,facebook/convnext-base-224-22k-1k,0.8951424
94,google/vit-large-patch32-384,0.8789964
95,microsoft/swin-large-patch4-window7-224,0.9275164
96,lysandre/tiny-vit-random,0.02116283
97,facebook/convnext-large-224-22k-1k,0.926534
98,facebook/convnext-base-384,0.88213956
99,microsoft/resnet-50,0.7073205
100,microsoft/beit-large-patch16-224,0.37512887
101,google/vit-large-patch16-224,0.8575006
102,facebook/convnext-large-384,0.9387955
103,facebook/convnext-large-384-22k-1k,0.9578261
104,microsoft/beit-large-patch16-384,0.460363
105,nielsr/convnext-xlarge-224-22k-1k,0.95422167
106,facebook/deit-base-patch16-384,0.8802246
107,google/vit-base-patch16-384,0.921969
108,facebook/deit-base-distilled-patch16-384,0.8614332
109,microsoft/swin-large-patch4-window12-384,0.9151824
110,facebook/convnext-xlarge-224-22k-1k,0.9599455
111,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.86191535
112,karthiksv/vit-base-patch16-224-cifar10,0.9045309
113,nateraw/vit-base-patch16-224-cifar10,0.8626797
114,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.90966284
115,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8693468
116,jadohu/BEiT-finetuned,0.46653408
117,nateraw/vit-base-beans-demo,0.8211856
118,nickmuchi/vit-base-beans,0.85791063
119,karthiksv/vit-base-beans,0.8601353
120,nateraw/vit-base-beans-demo-v3,0.86121005
121,johnnydevriese/vit_beans,0.85159063
122,nateraw/vit-base-beans-demo-v2,0.85831726
123,mmekias/vit-base-beans,0.85556567
124,nateraw/vit-base-beans,0.8678224
125,mrm8488/convnext-tiny-finetuned-beans,0.8408177
126,nielsr/vit-finetuned-eurosat-kornia,0.83729047
127,mrm8488/convnext-tiny-finetuned-eurosat,0.8146006
128,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8170033
129,Calin/convnext-tiny-finteuned-eurosat,0.80336106
130,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.79737747
131,nielsr/convnext-tiny-finetuned-eurostat,0.80634344
132,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6986209
133,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.71814454
134,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6926386
135,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.71665514
136,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7133961
137,nielsr/convnext-tiny-finetuned-eurosat,0.80634344
138,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.6819722
139,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6860702
140,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.69381016
141,nielsr/van-base-finetuned-eurosat-imgaug,0.7309947
142,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7037164
143,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.66772574
144,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.68814534
145,eren23/pneumonia_test_attempt,0.8600325
146,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8756673
147,nickmuchi/vit-base-xray-pneumonia,0.83157283
148,facebook/convnext-base-224-22k,0.9009075
149,microsoft/swin-large-patch4-window7-224-in22k,0.8887402
150,microsoft/swin-base-patch4-window7-224-in22k,0.8385961
151,microsoft/beit-base-patch16-224-pt22k-ft22k,0.4720627
152,facebook/convnext-large-224-22k,0.95783764
153,facebook/convnext-xlarge-224-22k,0.9826867
154,microsoft/swin-base-patch4-window12-384-in22k,0.8766993
155,microsoft/beit-large-patch16-224-pt22k-ft22k,0.4480906
156,nielsr/convnext-xlarge-224-22k,0.9791641
157,nickmuchi/vit-finetuned-cats-dogs,0.86950344
158,ismgar01/vit-base-cats-vs-dogs,0.8365455
159,akahana/vit-base-cats-vs-dogs,0.82970023
160,nateraw/vit-base-cats-vs-dogs,0.8592931
161,nateraw/test_model_a,0.026490498
162,Rajaram1996/FacialEmoRecog,0.89085585
163,nateraw/vit-age-classifier,0.8435341
164,ibombonato/vit-age-classifier,0.89115614
165,ibombonato/swin-age-classifier,0.6721216
166,matteopilotto/vit-base-patch16-224-in21k-snacks,0.869202
167,Matthijs/snacks-classifier,0.71829575
168,nateraw/vit-base-food101,0.8891137
169,eslamxm/vit-base-food101,0.7850025
170,SriramSridhar78/sriram-car-classifier,0.86896574
171,imjeffhi/pokemon_classifier,0.8145595
172,AkshatSurolia/ViT-FaceMask-Finetuned,0.7966797
173,AkshatSurolia/BEiT-FaceMask-Finetuned,0.46149585
174,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8172425
175,Ahmed9275/Vit-Cifar100,0.78161514
176,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.784068
