,model,score
0,google/vit-base-patch16-224,0.9398975
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8752044
2,facebook/deit-base-patch16-224,0.88193154
3,facebook/deit-base-distilled-patch16-224,0.9039778
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.70820475
5,facebook/convnext-base-224,0.8753175
6,facebook/convnext-small-224,0.85509014
7,microsoft/swin-base-patch4-window7-224,0.8212477
8,microsoft/beit-base-patch16-224,0.610887
9,facebook/convnext-tiny-224,0.8751912
10,Visual-Attention-Network/van-small,0.7509789
11,WinKawaks/vit-small-patch16-224,0.75198823
12,facebook/deit-small-distilled-patch16-224,0.8513444
13,Visual-Attention-Network/van-base,0.8064682
14,facebook/deit-small-patch16-224,0.78384537
15,microsoft/swin-small-patch4-window7-224,0.79089594
16,Ahmed9275/ALL-3,0.7283181
17,facebook/convnext-large-224,0.9416454
18,WinKawaks/vit-tiny-patch16-224,0.60347074
19,Visual-Attention-Network/van-tiny,0.66110665
20,facebook/deit-tiny-distilled-patch16-224,0.6583569
21,Ahmed9275/ALL-test,0.7500475
22,facebook/deit-tiny-patch16-224,0.62610626
23,microsoft/swin-tiny-patch4-window7-224,0.73221505
24,Visual-Attention-Network/van-large,0.84886897
25,google/vit-base-patch32-384,0.90181017
26,facebook/convnext-base-224-22k-1k,0.8778965
27,google/vit-large-patch32-384,0.9272419
28,microsoft/swin-large-patch4-window7-224,0.9570536
29,lysandre/tiny-vit-random,0.015941808
30,facebook/convnext-large-224-22k-1k,0.92997605
31,facebook/convnext-base-384,0.97412544
32,microsoft/resnet-50,0.74738127
33,microsoft/beit-base-patch16-224-pt22k,0.5495447
34,microsoft/beit-large-patch16-224,0.63574946
35,google/vit-large-patch16-224,0.8760993
36,facebook/convnext-large-384,0.95339406
37,facebook/convnext-large-384-22k-1k,1.0055104
38,nielsr/convnext-xlarge-224-22k-1k,0.979954
39,facebook/deit-base-patch16-384,0.9654575
40,google/vit-base-patch16-384,0.96159905
41,facebook/deit-base-distilled-patch16-384,0.97944456
42,facebook/convnext-xlarge-224-22k-1k,0.98558486
43,microsoft/beit-large-patch16-384,0.6180362
44,microsoft/swin-large-patch4-window12-384,0.9706091
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.87934756
46,karthiksv/vit-base-patch16-224-cifar10,0.9296779
47,nateraw/vit-base-patch16-224-cifar10,0.88500434
