,model,score
0,google/vit-base-patch16-224,0.90964603
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8445478
2,facebook/deit-base-patch16-224,0.8405322
3,facebook/deit-base-distilled-patch16-224,0.84947985
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8017908
5,facebook/convnext-base-224,0.90670145
6,facebook/convnext-small-224,0.8642806
7,microsoft/swin-base-patch4-window7-224,0.86622083
8,microsoft/beit-base-patch16-224,0.74407697
9,facebook/convnext-tiny-224,0.7927219
10,Visual-Attention-Network/van-small,0.7543528
11,WinKawaks/vit-small-patch16-224,0.7668919
12,facebook/deit-small-distilled-patch16-224,0.7747559
13,Visual-Attention-Network/van-base,0.81943697
14,facebook/deit-small-patch16-224,0.7073432
15,microsoft/swin-small-patch4-window7-224,0.86895204
16,Ahmed9275/ALL-3,0.7694512
17,facebook/convnext-large-224,0.9387499
18,WinKawaks/vit-tiny-patch16-224,0.6839633
19,Visual-Attention-Network/van-tiny,0.7845514
20,facebook/deit-tiny-distilled-patch16-224,0.7878864
21,Ahmed9275/ALL-test,0.7721266
22,facebook/deit-tiny-patch16-224,0.7224523
23,microsoft/swin-tiny-patch4-window7-224,0.7345448
24,Visual-Attention-Network/van-large,0.8493778
25,google/vit-base-patch32-384,0.8781017
26,facebook/convnext-base-224-22k-1k,0.8916538
27,google/vit-large-patch32-384,0.8975306
28,microsoft/swin-large-patch4-window7-224,0.94157636
29,lysandre/tiny-vit-random,0.00997466
30,facebook/convnext-large-224-22k-1k,0.92114747
31,facebook/convnext-base-384,0.9492315
32,microsoft/resnet-50,0.7462897
33,microsoft/beit-base-patch16-224-pt22k,0.665452
34,microsoft/beit-large-patch16-224,0.63715744
35,google/vit-large-patch16-224,0.8686075
36,facebook/convnext-large-384,0.9271943
37,facebook/convnext-large-384-22k-1k,0.9520116
38,nielsr/convnext-xlarge-224-22k-1k,0.93709415
39,facebook/deit-base-patch16-384,0.93875265
40,google/vit-base-patch16-384,0.92226094
41,facebook/deit-base-distilled-patch16-384,0.91905135
42,facebook/convnext-xlarge-224-22k-1k,0.9490273
43,microsoft/beit-large-patch16-384,0.6853572
44,microsoft/swin-large-patch4-window12-384,0.9345963
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8604259
46,karthiksv/vit-base-patch16-224-cifar10,0.9105013
47,nateraw/vit-base-patch16-224-cifar10,0.8660424
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.926824
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8611131
50,jadohu/BEiT-finetuned,0.7193646
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9227336
52,nateraw/vit-base-beans-demo,0.8460752
53,nickmuchi/vit-base-beans,0.84604377
54,karthiksv/vit-base-beans,0.88799727
55,nateraw/vit-base-beans-demo-v3,0.888954
56,johnnydevriese/vit_beans,0.84579426
57,nateraw/vit-base-beans-demo-v2,0.8821257
58,mmekias/vit-base-beans,0.8724117
59,nateraw/vit-base-beans,0.85586494
60,mrm8488/convnext-tiny-finetuned-beans,0.8074213
61,nielsr/vit-finetuned-eurosat-kornia,0.8613496
62,mrm8488/convnext-tiny-finetuned-eurosat,0.81186825
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.82276434
64,Calin/convnext-tiny-finteuned-eurosat,0.8114499
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7994034
66,nielsr/convnext-tiny-finetuned-eurostat,0.79093766
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7779663
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7358161
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72965974
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72597027
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7054177
72,nielsr/convnext-tiny-finetuned-eurosat,0.7710864
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.68102115
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.71427023
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7474989
76,nielsr/van-base-finetuned-eurosat-imgaug,0.82069594
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.77039737
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72663844
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7175773
80,eren23/pneumonia_test_attempt,0.82114637
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8599371
82,nickmuchi/vit-base-xray-pneumonia,0.824682
83,facebook/convnext-base-224-22k,0.9051868
84,microsoft/swin-large-patch4-window7-224-in22k,0.929416
85,microsoft/swin-base-patch4-window7-224-in22k,0.85517883
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8031477
87,facebook/convnext-large-224-22k,0.9368924
88,facebook/convnext-xlarge-224-22k,0.9582969
89,microsoft/swin-base-patch4-window12-384-in22k,0.9162664
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.72098607
91,nielsr/convnext-xlarge-224-22k,0.94907355
92,nickmuchi/vit-finetuned-cats-dogs,0.8654337
93,ismgar01/vit-base-cats-vs-dogs,0.8450544
94,akahana/vit-base-cats-vs-dogs,0.8157398
95,nateraw/vit-base-cats-vs-dogs,0.8333374
96,nateraw/test_model_a,-0.010677794
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8357888
98,Matthijs/snacks-classifier,0.7062384
99,nateraw/vit-base-food101,0.9013521
100,eslamxm/vit-base-food101,0.81277233
101,SriramSridhar78/sriram-car-classifier,0.8953931
102,imjeffhi/pokemon_classifier,0.8413679
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.80552435
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.45976847
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8432737
106,Ahmed9275/Vit-Cifar100,0.79153085
