,model,score
0,Rajaram1996/FacialEmoRecog,0.9086553
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9094817
2,Matthijs/snacks-classifier,0.8545691
3,ibombonato/vit-age-classifier,0.92647284
4,nateraw/vit-age-classifier,0.9062223
5,ibombonato/swin-age-classifier,0.8232295
6,mmekias/vit-base-beans,0.90858185
7,nateraw/vit-base-beans,0.893328
8,mrm8488/convnext-tiny-finetuned-beans,0.93463594
9,nateraw/vit-base-beans-demo-v2,0.8879632
10,nateraw/vit-base-cats-vs-dogs,0.9041656
11,ismgar01/vit-base-cats-vs-dogs,0.8972248
12,akahana/vit-base-cats-vs-dogs,0.8812039
13,nateraw/test_model_a,-0.0022944207
14,eren23/pneumonia_test_attempt,0.91065216
15,nickmuchi/vit-base-xray-pneumonia,0.8845433
16,nateraw/vit-base-patch16-224-cifar10,0.91491777
17,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9203811
18,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.89546394
19,Ahmed9275/Vit-Cifar100,0.7851136
20,nielsr/vit-finetuned-eurosat-kornia,0.8974373
21,Calin/convnext-tiny-finteuned-eurosat,0.89701647
22,mrm8488/convnext-tiny-finetuned-eurosat,0.927565
23,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8458106
24,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.94771045
25,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.830461
26,nielsr/convnext-tiny-finetuned-eurosat,0.8962173
27,nielsr/convnext-tiny-finetuned-eurostat,0.88679487
28,nielsr/van-base-finetuned-eurosat-imgaug,0.8300112
29,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.90109444
30,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8270834
31,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8640855
32,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8311381
33,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.84819907
34,eslamxm/vit-base-food101,0.8661405
35,nateraw/rare-puppers-09-04-2021,0.9285467
36,nateraw/donut-or-bagel,0.92308575
37,driboune/skin_type,0.9201521
38,jmarshall/rare-puppers,0.8814416
39,firas-spanioli/beer-whisky-wine-detection,0.93147224
40,Zayn/VIT_Basic,0.9069557
41,jjhoffstein/lotr,0.9201972
42,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8907331
43,juanfiguera/ice_cream,0.92262936
44,nateraw/rare-puppers-123,0.92615294
45,nateraw/baked-goods,0.9095626
46,nateraw/rare-puppers-new-auth,0.91598976
47,hafidber/rare-puppers,0.89914066
48,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9012558
49,Suzana/new-york-tokyo-london,0.9047721
50,Sena/dog,0.89920104
51,Neto71/sea_mammals,0.9281035
52,hgarg/indian-snacks,0.9220006
53,Hijazzi/rare-puppers,0.91970265
54,filipafcastro/beer_vs_wine,0.8991785
55,jeffboudier/vision-transformers-spain-or-italy-fan,0.9024506
56,ferdinand/rare-puppers,0.91696715
57,black/simple_kitchen,0.9033192
58,drab/Infrastructures,0.89695406
59,Frodnar/bee-likes,0.89797026
60,nateraw/doggos-lol,0.91048205
61,nateraw/ex-for-evan,0.9108218
62,Sena/flowers,0.9014233
63,Giuliano/places,0.88447505
64,gatecitypreservation/architectural_styles,0.9017093
65,lewtun/oz-fauna,0.90833
