,model,score
0,firebolt/llama_or_what2,0.90327466
1,google/vit-base-patch16-224,0.940543
2,nateraw/denver-nyc-paris,0.90349406
3,black/simple_kitchen,0.9006899
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9212768
5,Suzana/new-york-tokyo-london,0.8919217
6,filipafcastro/beer_vs_wine,0.85819364
7,nateraw/baked-goods,0.89046586
8,ajanco/greens,0.8238791
9,nateraw/vit-base-beans-demo,0.88570553
10,HHousen/household-rooms,0.9133871
11,Amrrs/indian-foods,0.90900916
12,nateraw/planes-trains-automobiles,0.80793595
13,julien-c/hotdog-not-hotdog,0.90672493
14,jmarshall/rare-puppers,0.8065225
15,nielsr/vit-finetuned-eurosat-kornia,0.8637338
16,eren23/pneumonia_test_attempt,0.7799396
17,micole66/dwarf-goats,0.89227724
18,nateraw/ex-for-evan,0.8464702
19,karthiksv/vit-base-patch16-224-cifar10,0.9168462
20,ferdinand/rare-puppers,0.8675621
21,ipvikas/rare-puppers,0.911591
22,Frodnar/bee-likes,0.90300727
23,nickmuchi/vit-base-beans,0.916154
24,nateraw/baseball-stadium-foods,0.7938089
25,Giuliano/places,0.83972704
26,firas-spanioli/beer-whisky-wine-detection,0.8733733
27,jjhoffstein/lotr,0.9005259
28,Nonem100/Test-Model,0.7402939
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.917557
30,LorenzoDeMattei/lawn-weeds,0.8099696
31,nateraw/doggos-lol,0.90368545
32,IDEA-CCNL/Taiyi-vit-87M-D,0.7664725
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.91529286
34,karthiksv/vit-base-beans,0.9027614
35,Symbermine/rare-puppers,0.92154425
36,nateraw/vit-base-patch16-224-cifar10,0.9086721
37,gatecitypreservation/architectural_styles,0.89465356
38,Amrrs/south-indian-foods,0.91274655
39,hafidber/fruits,0.91110307
40,nateraw/rare-puppers-123,0.9440136
41,Aftabhussain/Tomato_Leaf_Classifier,0.9117446
42,nickmuchi/vit-base-xray-pneumonia,0.8345333
43,Neto71/sea_mammals,0.9336738
44,lewtun/oz-fauna,0.8725728
45,hgarg/fruits,0.75424355
46,jasmeen/dogs,0.91620517
47,b25mayank3/shirt_identifier,0.9195569
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8832768
49,facebook/convnext-base-224-22k,0.93644863
50,nickmuchi/vit-finetuned-cats-dogs,0.9268484
51,godiec/diam,0.8129346
52,Rajaram1996/FacialEmoRecog,0.92429817
53,nateraw/vit-base-beans-demo-v3,0.89785343
54,firebolt/llama_or_what,0.8975594
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9212722
56,johnnydevriese/vit_beans,0.88454235
57,nateraw/vit-age-classifier,0.87624395
58,nateraw/vit-base-beans-demo-v2,0.9011973
59,mmekias/vit-base-beans,0.91560614
60,juanfiguera/ice_cream,0.9399773
61,drab/Infrastructures,0.890033
62,nateraw/vit-base-beans,0.90348536
63,Sena/dog,0.904535
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8970526
65,hafidber/rare-puppers,0.829832
66,edixo/road_good_damaged_condition,0.8603895
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.90748584
68,Sena/flowers,0.9015984
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8556454
70,johnnydevriese/vit-airplanes,0.90183353
71,nateraw/pasta-shapes,0.9121307
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9052907
73,hgarg/indian-snacks,0.8653003
74,nateraw/vit-base-food101,0.91754586
75,Hijazzi/rare-puppers,0.9067417
76,nateraw/trainer-rare-puppers,0.851209
77,ibombonato/vit-age-classifier,0.93825895
78,nateraw/rare-puppers-new-auth,0.9067964
79,SriramSridhar78/sriram-car-classifier,0.89151174
80,ismgar01/vit-base-cats-vs-dogs,0.8866694
81,nateraw/rare-puppers,0.924621
82,iyzg/computer-stuff,0.89999914
83,nateraw/huggingpics-package-demo-2,0.89980686
84,imjeffhi/pokemon_classifier,0.8858967
85,nateraw/pasta-pizza-ravioli,0.9506433
86,akahana/vit-base-cats-vs-dogs,0.86795354
87,nateraw/donut-or-bagel,0.8700685
88,nateraw/rare-puppers-09-04-2021,0.8550293
89,nateraw/vit-base-cats-vs-dogs,0.8061353
90,Zayn/VIT_Basic,0.8717662
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9179813
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8832209
93,microsoft/swin-large-patch4-window7-224-in22k,0.95754653
94,Ahmed9275/Vit-Cifar100,0.804895
95,driboune/skin_type,0.88206
96,microsoft/swin-base-patch4-window7-224-in22k,0.8777482
97,facebook/deit-base-patch16-224,0.8251006
98,facebook/deit-base-distilled-patch16-224,0.88260955
99,eslamxm/vit-base-food101,0.81832653
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8653493
101,facebook/convnext-base-224,0.92458385
102,facebook/convnext-small-224,0.8512062
103,microsoft/swin-base-patch4-window7-224,0.8599154
104,microsoft/beit-base-patch16-224,0.70688015
105,mrm8488/convnext-tiny-finetuned-eurosat,0.88937867
106,mrm8488/convnext-tiny-finetuned-beans,0.8877044
107,facebook/convnext-tiny-224,0.8430652
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.81785405
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8164392
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.87440485
111,Calin/convnext-tiny-finteuned-eurosat,0.8695928
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.84826237
113,Visual-Attention-Network/van-small,0.833199
114,WinKawaks/vit-small-patch16-224,0.82058764
115,facebook/deit-small-distilled-patch16-224,0.86411595
116,Visual-Attention-Network/van-base,0.90429854
117,jadohu/BEiT-finetuned,0.813821
118,nielsr/convnext-tiny-finetuned-eurostat,0.81755966
119,facebook/deit-small-patch16-224,0.86688197
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8169947
121,microsoft/swin-small-patch4-window7-224,0.9125672
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7987913
123,Ahmed9275/ALL-3,0.811997
124,facebook/convnext-large-224,0.9822163
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8373141
126,WinKawaks/vit-tiny-patch16-224,0.67031235
127,Visual-Attention-Network/van-tiny,0.872522
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8564106
129,facebook/deit-tiny-distilled-patch16-224,0.87533873
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.86062646
131,nielsr/convnext-tiny-finetuned-eurosat,0.85915685
132,ibombonato/swin-age-classifier,0.8026213
133,Ahmed9275/ALL-test,0.7663726
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.85163325
135,facebook/deit-tiny-patch16-224,0.74404097
136,microsoft/swin-tiny-patch4-window7-224,0.8267877
137,flyswot/test,0.65661633
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8321935
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8369819
140,nielsr/van-base-finetuned-eurosat-imgaug,0.92440134
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.81778944
