,model,score
0,Rajaram1996/FacialEmoRecog,0.8927631
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.86598915
2,Matthijs/snacks-classifier,0.75786346
3,ibombonato/vit-age-classifier,0.8884076
4,nateraw/vit-age-classifier,0.8739612
5,ibombonato/swin-age-classifier,0.72792566
6,mmekias/vit-base-beans,0.85777915
7,karthiksv/vit-base-beans,0.8942166
8,nateraw/vit-base-beans,0.8893692
9,johnnydevriese/vit_beans,0.8679081
10,nickmuchi/vit-base-beans,0.84914666
11,nateraw/vit-base-beans-demo,0.870769
12,nateraw/vit-base-beans-demo-v3,0.8790232
13,mrm8488/convnext-tiny-finetuned-beans,0.8367379
14,nateraw/vit-base-beans-demo-v2,0.8547185
15,nateraw/vit-base-cats-vs-dogs,0.8663693
16,nickmuchi/vit-finetuned-cats-dogs,0.8871735
17,ismgar01/vit-base-cats-vs-dogs,0.8599475
18,akahana/vit-base-cats-vs-dogs,0.83436054
19,nateraw/test_model_a,0.036113415
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8870402
21,eren23/pneumonia_test_attempt,0.86631507
22,nickmuchi/vit-base-xray-pneumonia,0.845409
23,nateraw/vit-base-patch16-224-cifar10,0.8652913
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8950183
25,karthiksv/vit-base-patch16-224-cifar10,0.8996039
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.91528654
27,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.88414055
28,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8798604
29,jadohu/BEiT-finetuned,0.6468533
30,Ahmed9275/Vit-Cifar100,0.74273556
31,nielsr/vit-finetuned-eurosat-kornia,0.8626144
32,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7580557
33,Calin/convnext-tiny-finteuned-eurosat,0.8172098
34,mrm8488/convnext-tiny-finetuned-eurosat,0.8533613
35,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7615503
36,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.84838676
37,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.75150627
38,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.76491386
