,model,score
0,firebolt/llama_or_what2,0.9215069
1,google/vit-base-patch16-224,0.9336375
2,nateraw/denver-nyc-paris,0.9101529
3,black/simple_kitchen,0.8958918
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9174472
5,Suzana/new-york-tokyo-london,0.9226434
6,filipafcastro/beer_vs_wine,0.90584147
7,nateraw/baked-goods,0.9145486
8,ajanco/greens,0.8834671
9,nateraw/vit-base-beans-demo,0.8979704
10,HHousen/household-rooms,0.91888374
11,Amrrs/indian-foods,0.9123536
12,nateraw/planes-trains-automobiles,0.9009821
13,julien-c/hotdog-not-hotdog,0.9130687
14,jmarshall/rare-puppers,0.9090937
15,nielsr/vit-finetuned-eurosat-kornia,0.8935685
16,eren23/pneumonia_test_attempt,0.8892261
17,micole66/dwarf-goats,0.9059815
18,nateraw/ex-for-evan,0.9117128
19,karthiksv/vit-base-patch16-224-cifar10,0.9335552
20,ferdinand/rare-puppers,0.9098105
21,ipvikas/rare-puppers,0.9135708
22,Frodnar/bee-likes,0.8997748
23,nickmuchi/vit-base-beans,0.8899899
24,nateraw/baseball-stadium-foods,0.88878936
25,Giuliano/places,0.8871748
26,firas-spanioli/beer-whisky-wine-detection,0.9389873
27,jjhoffstein/lotr,0.9129719
28,Nonem100/Test-Model,0.91553485
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9306359
30,LorenzoDeMattei/lawn-weeds,0.87573487
31,nateraw/doggos-lol,0.92739666
32,IDEA-CCNL/Taiyi-vit-87M-D,0.90172374
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.93722
34,karthiksv/vit-base-beans,0.9171621
35,Symbermine/rare-puppers,0.91767645
36,nateraw/vit-base-patch16-224-cifar10,0.90361786
37,gatecitypreservation/architectural_styles,0.9086168
38,Amrrs/south-indian-foods,0.9109025
39,hafidber/fruits,0.92299855
40,nateraw/rare-puppers-123,0.92016137
41,Aftabhussain/Tomato_Leaf_Classifier,0.9411188
42,nickmuchi/vit-base-xray-pneumonia,0.892133
43,Neto71/sea_mammals,0.92564344
44,lewtun/oz-fauna,0.9231737
45,hgarg/fruits,0.9076299
46,jasmeen/dogs,0.92816865
47,b25mayank3/shirt_identifier,0.91559994
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8898097
49,facebook/convnext-base-224-22k,0.9664162
50,nickmuchi/vit-finetuned-cats-dogs,0.92900044
51,godiec/diam,0.88047343
52,Rajaram1996/FacialEmoRecog,0.931064
53,nateraw/vit-base-beans-demo-v3,0.91949785
54,firebolt/llama_or_what,0.8984157
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9418402
56,johnnydevriese/vit_beans,0.91049516
57,nateraw/vit-age-classifier,0.89830774
58,nateraw/vit-base-beans-demo-v2,0.8899161
59,mmekias/vit-base-beans,0.9268445
60,juanfiguera/ice_cream,0.9211004
