,model,score
0,firebolt/llama_or_what2,0.8388333
1,google/vit-base-patch16-224,0.85088277
2,nateraw/denver-nyc-paris,0.84357226
3,black/simple_kitchen,0.8264516
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.803309
5,Suzana/new-york-tokyo-london,0.80937684
6,filipafcastro/beer_vs_wine,0.772143
7,nateraw/baked-goods,0.83784854
8,ajanco/greens,0.7652008
9,nateraw/vit-base-beans-demo,0.8367818
10,HHousen/household-rooms,0.85194063
11,Amrrs/indian-foods,0.83432066
12,nateraw/planes-trains-automobiles,0.81104624
13,julien-c/hotdog-not-hotdog,0.8392474
14,jmarshall/rare-puppers,0.82054824
15,nielsr/vit-finetuned-eurosat-kornia,0.842186
16,eren23/pneumonia_test_attempt,0.75764376
17,micole66/dwarf-goats,0.8529212
18,nateraw/ex-for-evan,0.83274156
19,karthiksv/vit-base-patch16-224-cifar10,0.85477453
20,ferdinand/rare-puppers,0.85221684
21,ipvikas/rare-puppers,0.81776035
22,Frodnar/bee-likes,0.84156954
23,nickmuchi/vit-base-beans,0.83444566
24,nateraw/baseball-stadium-foods,0.7634249
25,Giuliano/places,0.763128
26,firas-spanioli/beer-whisky-wine-detection,0.8220148
27,jjhoffstein/lotr,0.81954277
28,Nonem100/Test-Model,0.81250703
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8507332
30,LorenzoDeMattei/lawn-weeds,0.7649681
31,nateraw/doggos-lol,0.8454821
32,IDEA-CCNL/Taiyi-vit-87M-D,0.81178504
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8561134
34,karthiksv/vit-base-beans,0.8390511
35,Symbermine/rare-puppers,0.8419073
36,nateraw/vit-base-patch16-224-cifar10,0.8253958
37,gatecitypreservation/architectural_styles,0.84278756
38,Amrrs/south-indian-foods,0.8467112
39,hafidber/fruits,0.83713055
40,nateraw/rare-puppers-123,0.845358
41,Aftabhussain/Tomato_Leaf_Classifier,0.86031145
42,nickmuchi/vit-base-xray-pneumonia,0.8187905
43,Neto71/sea_mammals,0.8521431
44,lewtun/oz-fauna,0.84241915
45,hgarg/fruits,0.7726082
46,jasmeen/dogs,0.8596864
47,b25mayank3/shirt_identifier,0.83839357
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.84044063
49,facebook/convnext-base-224-22k,0.88035697
50,nickmuchi/vit-finetuned-cats-dogs,0.8580076
51,godiec/diam,0.742652
52,Rajaram1996/FacialEmoRecog,0.84254223
53,nateraw/vit-base-beans-demo-v3,0.83739907
54,firebolt/llama_or_what,0.8436856
