,model,score
0,firebolt/llama_or_what2,0.5675171
1,google/vit-base-patch16-224,-0.28063396
2,nateraw/denver-nyc-paris,0.5282369
3,black/simple_kitchen,0.12897182
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.022778
5,Suzana/new-york-tokyo-london,0.67585737
6,filipafcastro/beer_vs_wine,0.47723383
7,nateraw/baked-goods,0.6709503
8,ajanco/greens,0.088609144
9,nateraw/vit-base-beans-demo,-0.4846106
10,HHousen/household-rooms,0.68757933
11,Amrrs/indian-foods,0.4592708
12,nateraw/planes-trains-automobiles,0.4321194
13,julien-c/hotdog-not-hotdog,0.78227097
14,jmarshall/rare-puppers,1.0669165
15,nielsr/vit-finetuned-eurosat-kornia,0.3003364
16,eren23/pneumonia_test_attempt,0.7404634
17,micole66/dwarf-goats,0.88418126
18,nateraw/ex-for-evan,0.46196026
19,karthiksv/vit-base-patch16-224-cifar10,1.0185877
20,ferdinand/rare-puppers,0.43594563
21,ipvikas/rare-puppers,0.83494616
22,Frodnar/bee-likes,0.45934725
23,nickmuchi/vit-base-beans,-0.34485558
24,nateraw/baseball-stadium-foods,0.6454882
25,Giuliano/places,0.5461045
26,firas-spanioli/beer-whisky-wine-detection,0.7921211
27,jjhoffstein/lotr,0.6247306
28,Nonem100/Test-Model,0.5651955
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.6305319
30,LorenzoDeMattei/lawn-weeds,0.76564384
31,nateraw/doggos-lol,0.24929081
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.7340218
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.59304297
34,karthiksv/vit-base-beans,0.87263983
35,Symbermine/rare-puppers,0.7125739
36,nateraw/vit-base-patch16-224-cifar10,0.47457254
37,gatecitypreservation/architectural_styles,0.33867598
38,Amrrs/south-indian-foods,0.75328636
39,hafidber/fruits,0.80442625
40,nateraw/rare-puppers-123,0.59367585
41,Aftabhussain/Tomato_Leaf_Classifier,0.71757364
42,nickmuchi/vit-base-xray-pneumonia,-0.84504426
43,Neto71/sea_mammals,0.6537397
44,lewtun/oz-fauna,0.6454958
45,hgarg/fruits,0.04666288
46,jasmeen/dogs,0.39450058
47,b25mayank3/shirt_identifier,0.689278
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.67686206
49,facebook/convnext-base-224-22k,1.1489817
50,nickmuchi/vit-finetuned-cats-dogs,-0.0021120063
51,godiec/diam,0.39031276
52,Rajaram1996/FacialEmoRecog,0.70505416
53,nateraw/vit-base-beans-demo-v3,0.38759404
54,firebolt/llama_or_what,0.48921403
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9533669
56,johnnydevriese/vit_beans,-0.2016812
57,nateraw/vit-age-classifier,-0.123973794
58,nateraw/vit-base-beans-demo-v2,-0.28669694
59,mmekias/vit-base-beans,1.133916
60,juanfiguera/ice_cream,0.89587426
61,drab/Infrastructures,0.47012833
62,nateraw/vit-base-beans,0.5002163
63,Sena/dog,0.90504974
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-0.52787155
65,hafidber/rare-puppers,0.62026936
66,edixo/road_good_damaged_condition,0.29020527
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.34375206
68,Sena/flowers,-0.015917283
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.54845905
70,johnnydevriese/vit-airplanes,-0.40749407
71,nateraw/pasta-shapes,0.20881112
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.53626734
73,hgarg/indian-snacks,1.052924
74,nateraw/vit-base-food101,0.4855765
75,Hijazzi/rare-puppers,0.8870136
76,nateraw/trainer-rare-puppers,0.6197019
77,ibombonato/vit-age-classifier,0.69820464
78,nateraw/rare-puppers-new-auth,0.41254872
79,SriramSridhar78/sriram-car-classifier,1.1276106
80,ismgar01/vit-base-cats-vs-dogs,-0.3635642
81,nateraw/rare-puppers,0.40282154
82,iyzg/computer-stuff,0.43481532
83,nateraw/huggingpics-package-demo-2,0.5066856
84,imjeffhi/pokemon_classifier,-0.65230864
85,nateraw/pasta-pizza-ravioli,0.80479974
86,akahana/vit-base-cats-vs-dogs,-0.399711
87,nateraw/donut-or-bagel,1.043657
88,nateraw/rare-puppers-09-04-2021,0.5879951
89,nateraw/vit-base-cats-vs-dogs,0.6693299
90,Zayn/VIT_Basic,-0.43486503
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.5006391
92,AkshatSurolia/ViT-FaceMask-Finetuned,-1.0381501
93,microsoft/swin-large-patch4-window7-224-in22k,1.3345096
94,Ahmed9275/Vit-Cifar100,-0.6887227
95,driboune/skin_type,0.8006852
96,microsoft/swin-base-patch4-window7-224-in22k,0.8919986
97,facebook/deit-base-patch16-224,-0.55927354
98,facebook/deit-base-distilled-patch16-224,-0.49369118
99,eslamxm/vit-base-food101,-0.39431676
100,mrm8488/data2vec-base-finetuned-imagenet1k,-0.88239354
