,model,score
0,google/vit-base-patch16-224,0.5075722291908562
1,IDEA-CCNL/Taiyi-vit-87M-D,0.5064945913600525
2,facebook/deit-base-patch16-224,0.5005926343965541
3,facebook/deit-base-distilled-patch16-224,0.5170717224009707
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.2592699503650522
5,facebook/convnext-base-224,0.5789952120088913
6,facebook/convnext-small-224,0.5620412701008775
7,microsoft/swin-base-patch4-window7-224,0.5532888104617371
8,microsoft/beit-base-patch16-224,0.17504936926960113
9,facebook/convnext-tiny-224,0.544727640729235
10,Visual-Attention-Network/van-small,0.47644031136294984
11,WinKawaks/vit-small-patch16-224,0.5109859587277299
12,facebook/deit-small-distilled-patch16-224,0.5203654567791602
13,Visual-Attention-Network/van-base,0.5046399012974518
14,facebook/deit-small-patch16-224,0.5244781678131005
15,microsoft/swin-small-patch4-window7-224,0.4783478369281795
16,Ahmed9275/ALL-3,0.5320433131090851
17,facebook/convnext-large-224,0.577231269487612
18,WinKawaks/vit-tiny-patch16-224,0.45653568515595566
19,Visual-Attention-Network/van-tiny,0.4958285171693717
20,facebook/deit-tiny-distilled-patch16-224,0.40056504383872493
21,Ahmed9275/ALL-test,0.5418258725285625
22,facebook/deit-tiny-patch16-224,0.4200812054471328
23,microsoft/swin-tiny-patch4-window7-224,0.5141050600788333
24,Visual-Attention-Network/van-large,0.5021937326075943
25,google/vit-base-patch32-384,0.5260663577153366
26,facebook/convnext-base-224-22k-1k,0.559000406756951
27,google/vit-large-patch32-384,0.5645456312386443
28,microsoft/swin-large-patch4-window7-224,0.5783253556304828
29,lysandre/tiny-vit-random,-0.16225894696842147
30,facebook/convnext-large-224-22k-1k,0.5748051474015767
31,facebook/convnext-base-384,0.5224818748247628
32,microsoft/resnet-50,0.536330618528865
33,microsoft/beit-base-patch16-224-pt22k,0.0824473025564032
34,microsoft/beit-large-patch16-224,0.33489182825351804
35,google/vit-large-patch16-224,0.576139697426612
36,facebook/convnext-large-384,0.6028746309578139
37,facebook/convnext-large-384-22k-1k,0.6238309986827346
38,nielsr/convnext-xlarge-224-22k-1k,0.6013339810608898
39,facebook/deit-base-patch16-384,0.5210698577888309
40,google/vit-base-patch16-384,0.5506472742895596
41,facebook/deit-base-distilled-patch16-384,0.5292868552401444
42,facebook/convnext-xlarge-224-22k-1k,0.5923421314383006
43,microsoft/beit-large-patch16-384,0.646408096300803
44,microsoft/swin-large-patch4-window12-384,0.5698282374445682
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.5085597624457989
46,karthiksv/vit-base-patch16-224-cifar10,0.509666987533052
47,nateraw/vit-base-patch16-224-cifar10,0.5057412842633369
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.4995183194868389
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.5140816307524858
50,jadohu/BEiT-finetuned,0.535905620177715
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.5170164207551409
52,nateraw/vit-base-beans-demo,0.5213961562955376
53,nickmuchi/vit-base-beans,0.5264077773590827
54,karthiksv/vit-base-beans,0.4987120087643291
55,nateraw/vit-base-beans-demo-v3,0.5191826774616004
56,johnnydevriese/vit_beans,0.5236145071171734
57,nateraw/vit-base-beans-demo-v2,0.5095743355622346
58,mmekias/vit-base-beans,0.508142103296592
59,nateraw/vit-base-beans,0.5336093106367628
60,mrm8488/convnext-tiny-finetuned-beans,0.5349744260650198
61,nielsr/vit-finetuned-eurosat-kornia,0.4009485340806407
62,mrm8488/convnext-tiny-finetuned-eurosat,0.5215901024172638
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.5231999452727507
64,Calin/convnext-tiny-finteuned-eurosat,0.5063569235957459
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.501582229526008
66,nielsr/convnext-tiny-finetuned-eurostat,0.5060432768700878
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.49618590627065373
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5103197054139912
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5093832158944736
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5157098428001348
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5103590241413087
72,nielsr/convnext-tiny-finetuned-eurosat,0.5202421499915602
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.5110586689230843
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5037524682990409
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5148180980085328
76,nielsr/van-base-finetuned-eurosat-imgaug,0.49748789684613826
