,model,score
0,karthiksv/vit-base-beans,0.8626747267226165
1,nateraw/vit-base-beans-demo-v3,0.8555400263080628
2,nateraw/test_model_a,-0.05626148253895735
3,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8662363402509072
4,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8828688266003155
5,nateraw/huggingpics-package-demo-2,0.8729649251640694
6,AhmedSayeem/VIT_Basic,0.8621727278482467
7,hafidber/fruits,0.8652194141136533
8,jasmeen/dogs,0.8675148006441304
9,flyswot/test,0.7124504480088945
10,microsoft/swin-base-patch4-window7-224,0.8787291822168299
11,facebook/convnext-base-384,0.9273542643973087
12,facebook/deit-small-patch16-224,0.7917164347368271
13,Ahmed9275/ALL-test,0.804962829131
14,facebook/convnext-base-224,0.8719123395762836
15,microsoft/swin-base-patch4-window12-384-in22k,0.9541836121866254
16,SriramSridhar78/sriram-car-classifier,0.8618044091572301
