,model,score
0,firebolt/llama_or_what2,0.8167114
1,google/vit-base-patch16-224,0.8167114
2,nateraw/denver-nyc-paris,0.8167114
3,black/simple_kitchen,0.8167114
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8167114
5,Suzana/new-york-tokyo-london,0.8167114
6,filipafcastro/beer_vs_wine,0.8167114
7,nateraw/baked-goods,0.8167114
8,ajanco/greens,0.8167114
9,nateraw/vit-base-beans-demo,0.8167114
10,HHousen/household-rooms,0.8167114
11,Amrrs/indian-foods,0.8167114
12,nateraw/planes-trains-automobiles,0.8167114
13,julien-c/hotdog-not-hotdog,0.8167114
14,jmarshall/rare-puppers,0.8167114
15,nielsr/vit-finetuned-eurosat-kornia,0.8167114
16,eren23/pneumonia_test_attempt,0.8167114
17,micole66/dwarf-goats,0.8167114
18,nateraw/ex-for-evan,0.8167114
19,karthiksv/vit-base-patch16-224-cifar10,0.8167114
20,ferdinand/rare-puppers,0.8167114
21,ipvikas/rare-puppers,0.8167114
22,Frodnar/bee-likes,0.8167114
23,nickmuchi/vit-base-beans,0.8167114
24,nateraw/baseball-stadium-foods,0.8167114
25,Giuliano/places,0.8167114
26,firas-spanioli/beer-whisky-wine-detection,0.8167114
27,jjhoffstein/lotr,0.8167114
28,Nonem100/Test-Model,0.8167114
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8167114
30,LorenzoDeMattei/lawn-weeds,0.8167114
31,nateraw/doggos-lol,0.8167114
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8167114
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8167114
34,karthiksv/vit-base-beans,0.8167114
35,Symbermine/rare-puppers,0.8167114
36,nateraw/vit-base-patch16-224-cifar10,0.8167114
37,gatecitypreservation/architectural_styles,0.8167114
38,Amrrs/south-indian-foods,0.8167114
39,hafidber/fruits,0.8167114
40,nateraw/rare-puppers-123,0.8167114
41,Aftabhussain/Tomato_Leaf_Classifier,0.8167114
42,nickmuchi/vit-base-xray-pneumonia,0.8167114
43,Neto71/sea_mammals,0.8167114
44,lewtun/oz-fauna,0.8167114
45,hgarg/fruits,0.8167114
46,jasmeen/dogs,0.8167114
47,b25mayank3/shirt_identifier,0.8167114
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8167114
49,facebook/convnext-base-224-22k,0.8167114
50,nickmuchi/vit-finetuned-cats-dogs,0.8167114
51,godiec/diam,0.8167114
52,Rajaram1996/FacialEmoRecog,0.8167114
53,nateraw/vit-base-beans-demo-v3,0.8167114
54,firebolt/llama_or_what,0.8167114
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8167114
56,johnnydevriese/vit_beans,0.8167114
57,nateraw/vit-age-classifier,0.8167114
58,nateraw/vit-base-beans-demo-v2,0.8167114
59,mmekias/vit-base-beans,0.8167114
60,juanfiguera/ice_cream,0.8167114
61,drab/Infrastructures,0.8167114
62,nateraw/vit-base-beans,0.8167114
63,Sena/dog,0.8167114
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8167114
65,hafidber/rare-puppers,0.8167114
66,edixo/road_good_damaged_condition,0.8167114
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8167114
68,Sena/flowers,0.8167114
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8167114
70,johnnydevriese/vit-airplanes,0.8167114
71,nateraw/pasta-shapes,0.8167114
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8167114
73,hgarg/indian-snacks,0.8167114
74,nateraw/vit-base-food101,0.8167114
75,Hijazzi/rare-puppers,0.8167114
76,nateraw/trainer-rare-puppers,0.8167114
77,ibombonato/vit-age-classifier,0.8167114
78,nateraw/rare-puppers-new-auth,0.8167114
79,SriramSridhar78/sriram-car-classifier,0.8167114
80,ismgar01/vit-base-cats-vs-dogs,0.8167114
81,nateraw/rare-puppers,0.8167114
82,iyzg/computer-stuff,0.8167114
83,nateraw/huggingpics-package-demo-2,0.8167114
84,imjeffhi/pokemon_classifier,0.8323364
85,nateraw/pasta-pizza-ravioli,0.8167114
86,akahana/vit-base-cats-vs-dogs,0.8167114
87,nateraw/donut-or-bagel,0.8167114
88,nateraw/rare-puppers-09-04-2021,0.8167114
89,nateraw/vit-base-cats-vs-dogs,0.8167114
90,Zayn/VIT_Basic,0.8167114
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8167114
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8167114
93,microsoft/swin-large-patch4-window7-224-in22k,0.8167114
94,Ahmed9275/Vit-Cifar100,0.8167114
95,driboune/skin_type,0.8167114
96,microsoft/swin-base-patch4-window7-224-in22k,0.8167114
97,facebook/deit-base-patch16-224,0.8167114
98,facebook/deit-base-distilled-patch16-224,0.8167114
99,eslamxm/vit-base-food101,0.8167114
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8167114
101,facebook/convnext-base-224,0.8167114
102,facebook/convnext-small-224,0.8167114
103,microsoft/swin-base-patch4-window7-224,0.8167114
104,microsoft/beit-base-patch16-224,0.8167114
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8167114
106,mrm8488/convnext-tiny-finetuned-beans,0.8167114
