,model,score
0,karthiksv/vit-base-beans,-13232.629566239979
1,nateraw/vit-base-beans-demo-v3,-13232.636741737784
2,nateraw/test_model_a,-13233.547123493732
3,nickmuchi/vit-finetuned-chest-xray-pneumonia,-13232.620908311896
4,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-13232.611897442004
5,nateraw/huggingpics-package-demo-2,-13232.645148446554
6,AhmedSayeem/VIT_Basic,-13232.631491932952
7,hafidber/fruits,-13232.61899415086
8,jasmeen/dogs,-13232.624789674677
9,flyswot/test,-13232.781596453031
10,microsoft/swin-base-patch4-window7-224,-13232.60825118852
11,facebook/convnext-base-384,-13232.568823105374
12,facebook/deit-small-patch16-224,-13232.69537127998
13,Ahmed9275/ALL-test,-13232.684239648253
14,facebook/convnext-base-224,-13232.614362626462
15,microsoft/swin-base-patch4-window12-384-in22k,-13232.532419921696
16,SriramSridhar78/sriram-car-classifier,-13232.632732491202
