,model,score
0,firebolt/llama_or_what2,0.7980621904810237
1,google/vit-base-patch16-224,0.9200997295724165
2,nateraw/denver-nyc-paris,0.8122155994570719
3,black/simple_kitchen,0.8343193435477325
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8715601067612265
5,Suzana/new-york-tokyo-london,0.8351455615673136
6,filipafcastro/beer_vs_wine,0.7639987033201455
7,nateraw/baked-goods,0.8911781437393601
8,ajanco/greens,0.9030303265476741
9,nateraw/vit-base-beans-demo,0.7859114343924867
10,HHousen/household-rooms,0.8493745853836772
11,Amrrs/indian-foods,0.9211257983485582
12,nateraw/planes-trains-automobiles,0.8620540826288048
13,julien-c/hotdog-not-hotdog,0.8694392423325475
14,jmarshall/rare-puppers,0.8574306360054943
15,nielsr/vit-finetuned-eurosat-kornia,0.9081028278245347
16,eren23/pneumonia_test_attempt,0.8438229190652115
17,micole66/dwarf-goats,0.8446540649569336
18,nateraw/ex-for-evan,0.826038032775845
19,karthiksv/vit-base-patch16-224-cifar10,0.8525650671372793
20,ferdinand/rare-puppers,0.8763995836630936
21,ipvikas/rare-puppers,0.9558200135211944
22,Frodnar/bee-likes,0.8075681257071005
23,nickmuchi/vit-base-beans,0.9462420718162164
24,nateraw/baseball-stadium-foods,0.8737557376891556
25,Giuliano/places,0.8523121195807808
26,firas-spanioli/beer-whisky-wine-detection,0.8470971608936976
27,jjhoffstein/lotr,0.8928299311873573
28,Nonem100/Test-Model,0.8223253610321514
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8335212535855836
30,LorenzoDeMattei/lawn-weeds,0.840271754117389
31,nateraw/doggos-lol,0.9162633012084552
32,IDEA-CCNL/Taiyi-vit-87M-D,0.914636927292961
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8959839159630084
34,karthiksv/vit-base-beans,0.7921304256069344
35,Symbermine/rare-puppers,0.9030282084555736
36,nateraw/vit-base-patch16-224-cifar10,0.8412715011564383
37,gatecitypreservation/architectural_styles,0.8219061036870662
38,Amrrs/south-indian-foods,0.8523780922125965
39,hafidber/fruits,0.7601291400197251
40,nateraw/rare-puppers-123,0.9182320801580506
41,Aftabhussain/Tomato_Leaf_Classifier,0.7912300769215717
42,nickmuchi/vit-base-xray-pneumonia,0.8603511754217511
43,Neto71/sea_mammals,0.7930698780954047
44,lewtun/oz-fauna,0.9164210059045428
45,hgarg/fruits,0.9430836858719861
46,jasmeen/dogs,0.7801562436730947
47,b25mayank3/shirt_identifier,0.8665866275410175
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8372164268388226
49,facebook/convnext-base-224-22k,0.8344497516935835
50,nickmuchi/vit-finetuned-cats-dogs,0.7927664834187595
51,godiec/diam,0.8934965586715082
52,Rajaram1996/FacialEmoRecog,0.8976123300796782
53,nateraw/vit-base-beans-demo-v3,0.8910884581454107
54,firebolt/llama_or_what,0.8752980221289276
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8641249664437174
