,model,score
0,google/vit-base-patch16-224,0.8647067599979332
1,IDEA-CCNL/Taiyi-vit-87M-D,0.871056594274218
2,facebook/deit-base-patch16-224,0.8289606719981977
3,facebook/deit-base-distilled-patch16-224,0.8403811440491233
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.7937026744370508
5,facebook/convnext-base-224,0.9708182131289206
6,facebook/convnext-small-224,0.7999222818490254
7,microsoft/swin-base-patch4-window7-224,0.9222861527006223
8,microsoft/beit-base-patch16-224,0.7433494971627104
9,facebook/convnext-tiny-224,0.7883687866467533
10,Visual-Attention-Network/van-small,0.7401116906910798
11,WinKawaks/vit-small-patch16-224,0.8195320035950011
12,facebook/deit-small-distilled-patch16-224,0.7823517895894506
13,Visual-Attention-Network/van-base,0.8738427799570846
14,facebook/deit-small-patch16-224,0.8241372513344069
15,microsoft/swin-small-patch4-window7-224,0.8385168952536908
16,Ahmed9275/ALL-3,0.8648662092134134
17,facebook/convnext-large-224,0.7935206522072058
18,WinKawaks/vit-tiny-patch16-224,0.7080063693596815
19,Visual-Attention-Network/van-tiny,0.9367106576580178
20,facebook/deit-tiny-distilled-patch16-224,0.80987942903572
21,Ahmed9275/ALL-test,0.9299008928302884
22,facebook/deit-tiny-patch16-224,0.6660963646184288
23,microsoft/swin-tiny-patch4-window7-224,0.8780806231193506
24,Visual-Attention-Network/van-large,0.9071276471168934
25,google/vit-base-patch32-384,0.887754878171499
26,facebook/convnext-base-224-22k-1k,0.9599758437098135
27,google/vit-large-patch32-384,0.7710894420766553
28,microsoft/swin-large-patch4-window7-224,0.9545163164791588
29,lysandre/tiny-vit-random,0.23225435332730227
30,facebook/convnext-large-224-22k-1k,0.8997368369688394
31,facebook/convnext-base-384,0.9140696898744186
32,microsoft/resnet-50,0.89471915751386
33,microsoft/beit-base-patch16-224-pt22k,0.6637303146939332
34,microsoft/beit-large-patch16-224,0.7215506040826589
35,google/vit-large-patch16-224,0.9011129923830313
36,facebook/convnext-large-384,1.0906306179424097
37,facebook/convnext-large-384-22k-1k,0.9681172377338298
38,nielsr/convnext-xlarge-224-22k-1k,0.989725493762802
39,facebook/deit-base-patch16-384,0.8868992122849128
40,google/vit-base-patch16-384,1.009400215588149
41,facebook/deit-base-distilled-patch16-384,0.8821821801466714
42,facebook/convnext-xlarge-224-22k-1k,0.9244505318105052
43,microsoft/beit-large-patch16-384,0.8472083287196024
44,microsoft/swin-large-patch4-window12-384,0.9963421293528414
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8755309623836435
46,karthiksv/vit-base-patch16-224-cifar10,0.8835088245310833
47,nateraw/vit-base-patch16-224-cifar10,0.8829901709222086
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9041524299388232
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.97895725175614
50,jadohu/BEiT-finetuned,0.7998309900988737
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8351583219467585
52,nateraw/vit-base-beans-demo,0.7702835034709758
53,nickmuchi/vit-base-beans,0.9284788042858845
54,karthiksv/vit-base-beans,0.799300766151475
55,nateraw/vit-base-beans-demo-v3,0.9591419054483847
56,johnnydevriese/vit_beans,0.9637959153655578
57,nateraw/vit-base-beans-demo-v2,0.8418405787423221
58,mmekias/vit-base-beans,0.9825553588901781
59,nateraw/vit-base-beans,0.9395138260420701
60,mrm8488/convnext-tiny-finetuned-beans,0.8763234590726243
61,nielsr/vit-finetuned-eurosat-kornia,0.9809655872621901
62,mrm8488/convnext-tiny-finetuned-eurosat,0.9030620170493515
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7906961761063466
64,Calin/convnext-tiny-finteuned-eurosat,0.7946537913693855
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8896883121881971
66,nielsr/convnext-tiny-finetuned-eurostat,0.9164313725704997
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8080009791705165
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8311644642769116
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8023551546984865
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.831925406529006
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7291317465682028
72,nielsr/convnext-tiny-finetuned-eurosat,0.9047538465907032
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.941084866710369
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7634524780559214
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7599119246243919
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8437533471763999
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8054542028577781
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7667944485368323
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8162431999839574
80,eren23/pneumonia_test_attempt,0.9007796506469272
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9012188000743626
82,nickmuchi/vit-base-xray-pneumonia,0.8499654701413126
83,facebook/convnext-base-224-22k,0.9791594617579287
84,microsoft/swin-large-patch4-window7-224-in22k,0.9540428170810756
85,microsoft/swin-base-patch4-window7-224-in22k,0.8382814985712059
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.69965672425536
87,facebook/convnext-large-224-22k,1.0627250584921313
88,facebook/convnext-xlarge-224-22k,0.892100313059053
89,microsoft/swin-base-patch4-window12-384-in22k,0.9903193924920828
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8092427214909363
91,nielsr/convnext-xlarge-224-22k,1.0088176689596062
92,nickmuchi/vit-finetuned-cats-dogs,0.7973944084260393
93,ismgar01/vit-base-cats-vs-dogs,0.9695588403362536
94,akahana/vit-base-cats-vs-dogs,0.8657677780089774
95,nateraw/vit-base-cats-vs-dogs,0.794361798897944
96,nateraw/test_model_a,0.37576740233434625
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8211700461292151
98,Matthijs/snacks-classifier,0.727763495997228
99,nateraw/vit-base-food101,0.9863340853557578
100,eslamxm/vit-base-food101,0.8127347742896409
101,SriramSridhar78/sriram-car-classifier,0.838475252334015
102,imjeffhi/pokemon_classifier,0.8445702742191934
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.874971094722057
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.6943731305663935
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.775449141773644
106,Ahmed9275/Vit-Cifar100,0.7787247931799137
