,model,score
0,firebolt/llama_or_what2,0.8502616508771635
1,google/vit-base-patch16-224,0.7965078284535311
2,nateraw/denver-nyc-paris,0.8422895839602834
3,black/simple_kitchen,0.7574561120912764
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8863625653838076
5,Suzana/new-york-tokyo-london,0.8429109591949038
6,filipafcastro/beer_vs_wine,0.8146858030873472
7,nateraw/baked-goods,0.7992016030134736
8,ajanco/greens,0.8727815180139282
9,nateraw/vit-base-beans-demo,0.7807625656907393
10,HHousen/household-rooms,0.8527572431961721
11,Amrrs/indian-foods,0.8168678311383379
12,nateraw/planes-trains-automobiles,0.7795825799731781
13,julien-c/hotdog-not-hotdog,0.847357259303525
14,jmarshall/rare-puppers,0.7921857953503224
15,nielsr/vit-finetuned-eurosat-kornia,0.7802072908626626
16,eren23/pneumonia_test_attempt,0.8135959938566772
17,micole66/dwarf-goats,0.8405588209383806
18,nateraw/ex-for-evan,0.8634361019394579
19,karthiksv/vit-base-patch16-224-cifar10,0.815978876223157
20,ferdinand/rare-puppers,0.8184550003469121
21,ipvikas/rare-puppers,0.778954204806807
22,Frodnar/bee-likes,0.8362067003120481
23,nickmuchi/vit-base-beans,0.8152477185229559
24,nateraw/baseball-stadium-foods,0.8058781575370442
25,Giuliano/places,0.8386480851405969
26,firas-spanioli/beer-whisky-wine-detection,0.829504720809072
27,jjhoffstein/lotr,0.7912092798673818
28,Nonem100/Test-Model,0.7737267828288804
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7984799767063636
30,LorenzoDeMattei/lawn-weeds,0.8364713364298306
31,nateraw/doggos-lol,0.7965098312132355
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8239027427576151
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7920043005051315
34,karthiksv/vit-base-beans,0.7856962245444196
35,Symbermine/rare-puppers,0.8528312449429227
36,nateraw/vit-base-patch16-224-cifar10,0.8136858911302782
37,gatecitypreservation/architectural_styles,0.8306308376239107
38,Amrrs/south-indian-foods,0.792073290483468
39,hafidber/fruits,0.7510255058114796
40,nateraw/rare-puppers-123,0.7552839145972741
41,Aftabhussain/Tomato_Leaf_Classifier,0.8386973582532473
42,nickmuchi/vit-base-xray-pneumonia,0.8103524579181921
43,Neto71/sea_mammals,0.7878716744036056
44,lewtun/oz-fauna,0.849954406854835
45,hgarg/fruits,0.80293753120411
46,jasmeen/dogs,0.7936654894373096
47,b25mayank3/shirt_identifier,0.7728486799247873
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8082106199022032
49,facebook/convnext-base-224-22k,0.8009678780069602
50,nickmuchi/vit-finetuned-cats-dogs,0.7762248792848387
51,godiec/diam,0.8110398422930973
52,Rajaram1996/FacialEmoRecog,0.8008627918104407
53,nateraw/vit-base-beans-demo-v3,0.7359917624125693
54,firebolt/llama_or_what,0.8094594074902932
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8330672954246985
56,johnnydevriese/vit_beans,0.8087683872923055
57,nateraw/vit-age-classifier,0.8558573682642628
58,nateraw/vit-base-beans-demo-v2,0.8349542949381294
59,mmekias/vit-base-beans,0.7656685015483753
60,juanfiguera/ice_cream,0.7887221315580615
61,drab/Infrastructures,0.7631019537788041
62,nateraw/vit-base-beans,0.825042774103469
63,Sena/dog,0.8121485532173129
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.799390544870316
65,hafidber/rare-puppers,0.7975052208533141
66,edixo/road_good_damaged_condition,0.7723359161689365
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.809876063375641
68,Sena/flowers,0.7867755451562083
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8012396173251242
70,johnnydevriese/vit-airplanes,0.7725882011658016
71,nateraw/pasta-shapes,0.7727094127015852
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8209358353756138
73,hgarg/indian-snacks,0.8316238524741562
74,nateraw/vit-base-food101,0.8061735317491628
75,Hijazzi/rare-puppers,0.7976157410688052
76,nateraw/trainer-rare-puppers,0.7727028595466873
77,ibombonato/vit-age-classifier,0.8066521046603441
78,nateraw/rare-puppers-new-auth,0.741930205202743
79,SriramSridhar78/sriram-car-classifier,0.7544470636130975
80,ismgar01/vit-base-cats-vs-dogs,0.763160770446712
81,nateraw/rare-puppers,0.8529788251438701
82,iyzg/computer-stuff,0.8241439410639357
83,nateraw/huggingpics-package-demo-2,0.7829224395753203
84,imjeffhi/pokemon_classifier,0.8730530905990379
85,nateraw/pasta-pizza-ravioli,0.7921443551467979
86,akahana/vit-base-cats-vs-dogs,0.8263030005026908
87,nateraw/donut-or-bagel,0.7761489753455824
88,nateraw/rare-puppers-09-04-2021,0.8508871591818369
89,nateraw/vit-base-cats-vs-dogs,0.8038225518332
90,Zayn/VIT_Basic,0.8010636896470412
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.820333654834329
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.7965434426227119
93,microsoft/swin-large-patch4-window7-224-in22k,0.8401170939718334
94,Ahmed9275/Vit-Cifar100,0.7985705458128193
95,driboune/skin_type,0.8114168516181774
96,microsoft/swin-base-patch4-window7-224-in22k,0.7874642910556366
97,facebook/deit-base-patch16-224,0.7818388273258636
98,facebook/deit-base-distilled-patch16-224,0.7717436448972893
99,eslamxm/vit-base-food101,0.8071778728685148
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.7155656834211138
101,facebook/convnext-base-224,0.8063198323459422
102,facebook/convnext-small-224,0.7511093625875858
103,microsoft/swin-base-patch4-window7-224,0.7756422152738469
104,microsoft/beit-base-patch16-224,0.7721834366627676
105,mrm8488/convnext-tiny-finetuned-eurosat,0.7406480310908163
106,mrm8488/convnext-tiny-finetuned-beans,0.827222272925012
107,facebook/convnext-tiny-224,0.7666237300835892
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8080398317066664
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7526901834139109
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.7589314367552593
111,Calin/convnext-tiny-finteuned-eurosat,0.746471286962281
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.736314763754412
113,Visual-Attention-Network/van-small,0.7166104816870685
114,WinKawaks/vit-small-patch16-224,0.7680952921652131
115,facebook/deit-small-distilled-patch16-224,0.825322151132651
116,Visual-Attention-Network/van-base,0.7542613439417383
117,jadohu/BEiT-finetuned,0.7819173603870668
118,nielsr/convnext-tiny-finetuned-eurostat,0.7502008242124527
119,facebook/deit-small-patch16-224,0.7756569594213505
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8129072699174402
121,microsoft/swin-small-patch4-window7-224,0.7139975570985382
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7672538343447843
123,Ahmed9275/ALL-3,0.7783900480583623
124,facebook/convnext-large-224,0.7922494723877573
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7114599237688277
126,WinKawaks/vit-tiny-patch16-224,0.7715517864670027
127,Visual-Attention-Network/van-tiny,0.7835186033459884
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8020065996114838
129,facebook/deit-tiny-distilled-patch16-224,0.754472689178135
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7663445515999012
131,nielsr/convnext-tiny-finetuned-eurosat,0.7604165571793091
132,ibombonato/swin-age-classifier,0.7714092713533887
133,Ahmed9275/ALL-test,0.7460080870293215
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7804666021097377
135,facebook/deit-tiny-patch16-224,0.7447675674027971
136,microsoft/swin-tiny-patch4-window7-224,0.7144346471826067
137,flyswot/test,0.8175825560951049
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7965166555234622
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7947700991583161
140,nielsr/van-base-finetuned-eurosat-imgaug,0.8116800469258008
