,model,score
0,firebolt/llama_or_what2,0.40564931446599756
1,google/vit-base-patch16-224,0.3782995947344694
2,nateraw/denver-nyc-paris,0.44858751910583233
3,black/simple_kitchen,0.4776641038580633
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.5131993074464799
5,Suzana/new-york-tokyo-london,0.40009356157833986
6,filipafcastro/beer_vs_wine,0.3888374434708417
7,nateraw/baked-goods,0.4143191591726282
8,ajanco/greens,0.4361627122511094
9,nateraw/vit-base-beans-demo,0.412392871741395
10,HHousen/household-rooms,0.49064268003943934
11,Amrrs/indian-foods,0.45925786170983235
12,nateraw/planes-trains-automobiles,0.41303101965341243
13,julien-c/hotdog-not-hotdog,0.4291443619198659
14,jmarshall/rare-puppers,0.38852702274644574
15,nielsr/vit-finetuned-eurosat-kornia,0.42628442348030343
16,eren23/pneumonia_test_attempt,0.4144814024711717
17,micole66/dwarf-goats,0.44779030210670684
18,nateraw/ex-for-evan,0.45630717489823536
19,karthiksv/vit-base-patch16-224-cifar10,0.4758771707670802
20,ferdinand/rare-puppers,0.3834637014586664
21,ipvikas/rare-puppers,0.48957674980286964
22,Frodnar/bee-likes,0.4922457169051162
23,nickmuchi/vit-base-beans,0.46619392084315703
24,nateraw/baseball-stadium-foods,0.4524893155301042
25,Giuliano/places,0.44442429578161563
26,firas-spanioli/beer-whisky-wine-detection,0.4710325429377148
27,jjhoffstein/lotr,0.4484984569461736
28,Nonem100/Test-Model,0.4091998281813406
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.4382054805784965
30,LorenzoDeMattei/lawn-weeds,0.44665547502249814
31,nateraw/doggos-lol,0.428705834154984
32,IDEA-CCNL/Taiyi-vit-87M-D,0.3592019534273714
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.4193520734405121
34,karthiksv/vit-base-beans,0.49721322337793594
35,Symbermine/rare-puppers,0.43217495163255926
36,nateraw/vit-base-patch16-224-cifar10,0.4260811399799923
37,gatecitypreservation/architectural_styles,0.4665298255915322
38,Amrrs/south-indian-foods,0.46579598804476147
39,hafidber/fruits,0.3802204162742854
40,nateraw/rare-puppers-123,0.4803080246750571
41,Aftabhussain/Tomato_Leaf_Classifier,0.44206636568172075
42,nickmuchi/vit-base-xray-pneumonia,0.331661577334684
43,Neto71/sea_mammals,0.4341884970047368
44,lewtun/oz-fauna,0.44175769585358543
45,hgarg/fruits,0.46812146988166936
46,jasmeen/dogs,0.48437758609054143
47,b25mayank3/shirt_identifier,0.4414676854297699
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.4719345946258583
49,facebook/convnext-base-224-22k,0.613367551899817
50,nickmuchi/vit-finetuned-cats-dogs,0.42336797966257544
51,godiec/diam,0.434287449120803
52,Rajaram1996/FacialEmoRecog,0.4380549689605395
53,nateraw/vit-base-beans-demo-v3,0.4010639588941445
54,firebolt/llama_or_what,0.4387696548397513
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.47967631651194365
56,johnnydevriese/vit_beans,0.47830958818997504
57,nateraw/vit-age-classifier,0.4610402014133595
58,nateraw/vit-base-beans-demo-v2,0.4135922049350309
59,mmekias/vit-base-beans,0.4638056589245352
60,juanfiguera/ice_cream,0.4745443669956699
61,drab/Infrastructures,0.41715480617348755
62,nateraw/vit-base-beans,0.4255448282682098
63,Sena/dog,0.41397094764957326
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.3692297506804962
65,hafidber/rare-puppers,0.4730834929343252
66,edixo/road_good_damaged_condition,0.47700808905631426
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.4564018904041057
68,Sena/flowers,0.4535137006054827
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.44786129452421725
70,johnnydevriese/vit-airplanes,0.39644129553874496
71,nateraw/pasta-shapes,0.48939671492063225
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.3962113697503066
73,hgarg/indian-snacks,0.41740736191487
