,model,score
0,nateraw/vit-age-classifier,0.898314136055087
1,ibombonato/vit-age-classifier,0.909355346505841
2,karthiksv/vit-base-beans,0.9148667188629827
3,mmekias/vit-base-beans,0.9163997617764175
4,johnnydevriese/vit_beans,0.9055557464619559
5,nateraw/vit-base-beans-demo,0.8964127249798842
6,nickmuchi/vit-finetuned-cats-dogs,0.91746553010509
7,ismgar01/vit-base-cats-vs-dogs,0.8941492939029763
8,nateraw/test_model_a,0.014676052221838876
9,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9110191027957155
10,nateraw/vit-base-patch16-224-cifar10,0.9077799926562379
11,Ahmed9275/Vit-Cifar100,0.8329817608968364
12,nielsr/vit-finetuned-eurosat-kornia,0.9181407823150228
13,Calin/convnext-tiny-finteuned-eurosat,0.9409212369850946
14,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8824117457626459
15,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8828163891679839
16,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8863282619035289
17,nateraw/vit-base-food101,0.9124150428048189
18,ipvikas/rare-puppers,0.9148010618694138
19,Sena/flowers,0.9108956436231814
20,julien-c/hotdog-not-hotdog,0.9147019999673975
21,firas-spanioli/beer-whisky-wine-detection,0.9206423899523168
22,nateraw/denver-nyc-paris,0.9213119425673174
23,LorenzoDeMattei/lawn-weeds,0.9116906484650567
24,hgarg/fruits,0.9172196661771888
25,Amrrs/indian-foods,0.9124373939144754
26,iyzg/computer-stuff,0.9079229425933947
27,Neto71/sea_mammals,0.914320504002875
28,jmarshall/rare-puppers,0.9094504224348775
29,Aftabhussain/Tomato_Leaf_Classifier,0.9216182861153898
30,nateraw/baked-goods,0.917681345027487
31,nateraw/rare-puppers-123,0.918647141870217
32,nateraw/rare-puppers-new-auth,0.9044586710294686
33,ferdinand/rare-puppers,0.9135708456428614
34,Amrrs/south-indian-foods,0.9159312646090869
35,Symbermine/rare-puppers,0.9144785949966947
36,nateraw/trainer-rare-puppers,0.8562912721033287
37,flyswot/test,0.769605462767652
38,IDEA-CCNL/Taiyi-vit-87M-D,0.9118591912271271
39,facebook/convnext-large-224,0.9210803841275133
40,facebook/convnext-base-384,0.9648081839216496
41,microsoft/swin-tiny-patch4-window7-224,0.8805957963891826
42,Visual-Attention-Network/van-tiny,0.8239496263506378
43,Ahmed9275/ALL-3,0.8733829796488009
44,Visual-Attention-Network/van-base,0.8965234467463987
45,Visual-Attention-Network/van-large,0.8827837529808613
46,facebook/convnext-base-224,0.929811208063916
47,facebook/convnext-large-224-22k-1k,0.9671717265575888
48,microsoft/beit-large-patch16-224,0.6611207353844568
49,microsoft/swin-base-patch4-window7-224-in22k,0.9461224860071478
50,microsoft/swin-large-patch4-window7-224-in22k,0.974348620217654
51,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7288813160506666
52,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8765875171871311
