,model,score
0,firebolt/llama_or_what2,0.8732978442361073
1,google/vit-base-patch16-224,0.8580544155753438
2,nateraw/denver-nyc-paris,0.8590669391480839
3,black/simple_kitchen,0.860334740188116
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8685506165218817
5,Suzana/new-york-tokyo-london,0.8659411336073127
6,filipafcastro/beer_vs_wine,0.8569548509766374
7,nateraw/baked-goods,0.8582744632048427
8,ajanco/greens,0.8598462702282632
9,nateraw/vit-base-beans-demo,0.8629730081522471
10,HHousen/household-rooms,0.8593025771130522
11,Amrrs/indian-foods,0.8666485261398944
12,nateraw/planes-trains-automobiles,0.8575621691067846
13,julien-c/hotdog-not-hotdog,0.8672550920031519
14,jmarshall/rare-puppers,0.8664327172649336
15,nielsr/vit-finetuned-eurosat-kornia,0.8605849154298004
16,eren23/pneumonia_test_attempt,0.8695350202047187
17,micole66/dwarf-goats,0.8698771874150663
18,nateraw/ex-for-evan,0.8658955253508703
19,karthiksv/vit-base-patch16-224-cifar10,0.8617129407715376
20,ferdinand/rare-puppers,0.8640986173910095
21,ipvikas/rare-puppers,0.857266427219783
22,Frodnar/bee-likes,0.8587957214814368
23,nickmuchi/vit-base-beans,0.8713761355242309
24,nateraw/baseball-stadium-foods,0.8575850381570483
25,Giuliano/places,0.8566272332341283
26,firas-spanioli/beer-whisky-wine-detection,0.8570560142051624
27,jjhoffstein/lotr,0.8638418085384791
28,Nonem100/Test-Model,0.8669902071939993
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8573997131219542
30,LorenzoDeMattei/lawn-weeds,0.8659784219723765
31,nateraw/doggos-lol,0.8666374874644494
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8584441309541937
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.870674837027129
34,karthiksv/vit-base-beans,0.8640492360019763
35,Symbermine/rare-puppers,0.8656398073233018
36,nateraw/vit-base-patch16-224-cifar10,0.8706347521150357
37,gatecitypreservation/architectural_styles,0.8602051075756255
38,Amrrs/south-indian-foods,0.8666095985233412
