,model,score
0,Rajaram1996/FacialEmoRecog,0.9336125638266839
1,Matthijs/snacks-classifier,0.9349700496303731
2,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9353621909950018
3,nateraw/vit-age-classifier,0.9353621909950018
4,ibombonato/vit-age-classifier,0.9336125638266839
5,ibombonato/swin-age-classifier,0.936560187046866
6,nateraw/vit-base-beans,0.9336125638266839
7,karthiksv/vit-base-beans,0.9353621909950018
8,mmekias/vit-base-beans,0.9353621909950018
9,nateraw/vit-base-beans-demo-v2,0.9327003816877317
10,johnnydevriese/vit_beans,0.9353621909950018
11,nickmuchi/vit-base-beans,0.9327003816877317
12,mrm8488/convnext-tiny-finetuned-beans,0.9356480049079139
13,nateraw/vit-base-beans-demo,0.9336125638266839
14,nateraw/vit-base-beans-demo-v3,0.9339814166137574
15,nickmuchi/vit-finetuned-cats-dogs,0.9341829494602879
16,ismgar01/vit-base-cats-vs-dogs,0.9336125638266839
17,nateraw/vit-base-cats-vs-dogs,0.9336125638266839
18,akahana/vit-base-cats-vs-dogs,0.9347364163454719
19,nateraw/test_model_a,0.010177093560577286
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9341829494602879
21,nickmuchi/vit-base-xray-pneumonia,0.9336125638266839
22,eren23/pneumonia_test_attempt,0.9327003816877317
23,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9350578058082837
24,nateraw/vit-base-patch16-224-cifar10,0.9348087241098179
25,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9348087241098179
26,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9336125638266839
27,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9348087241098179
28,karthiksv/vit-base-patch16-224-cifar10,0.9348087241098179
29,jadohu/BEiT-finetuned,0.8589060114809066
30,Ahmed9275/Vit-Cifar100,0.8709799806916777
31,nielsr/vit-finetuned-eurosat-kornia,0.9327003816877317
32,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.937684039565654
33,nielsr/van-base-finetuned-eurosat-imgaug,0.9356480049079139
34,Calin/convnext-tiny-finteuned-eurosat,0.9371305726804701
35,nielsr/convnext-tiny-finetuned-eurosat,0.937684039565654
36,nielsr/convnext-tiny-finetuned-eurostat,0.9356480049079139
37,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.937684039565654
38,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9362183905415182
39,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9371305726804701
40,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9362183905415182
41,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9356480049079139
42,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.937684039565654
43,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9356480049079139
44,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9362183905415182
45,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9374996080099157
46,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.9368551162016863
47,mrm8488/convnext-tiny-finetuned-eurosat,0.9362183905415182
48,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9362183905415182
49,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9356480049079139
50,nateraw/vit-base-food101,0.9336125638266839
51,eslamxm/vit-base-food101,0.8960396502904721
52,ipvikas/rare-puppers,0.9347364163454719
53,edixo/road_good_damaged_condition,0.9336125638266839
54,Sena/flowers,0.9353621909950018
55,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9353621909950018
56,julien-c/hotdog-not-hotdog,0.9336125638266839
57,gatecitypreservation/architectural_styles,0.9341829494602879
58,firas-spanioli/beer-whisky-wine-detection,0.9336125638266839
