,model,score
0,Rajaram1996/FacialEmoRecog,0.7391280794059187
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.741564627176158
2,nateraw/vit-age-classifier,0.7391280794059187
3,ibombonato/vit-age-classifier,0.7396112637883313
4,ibombonato/swin-age-classifier,0.7587528220258832
5,nateraw/vit-base-beans,0.7399392479593111
6,karthiksv/vit-base-beans,0.7395416841213421
7,mmekias/vit-base-beans,0.7395416841213421
8,nateraw/vit-base-beans-demo-v2,0.7399392479593111
9,johnnydevriese/vit_beans,0.7395416841213421
10,mrm8488/convnext-tiny-finetuned-beans,0.7557504996968736
11,nateraw/vit-base-beans-demo,0.7399392479593111
12,nateraw/vit-base-beans-demo-v3,0.7399392479593111
13,nickmuchi/vit-finetuned-cats-dogs,0.7419528483620099
14,ismgar01/vit-base-cats-vs-dogs,0.7419528483620099
15,nateraw/vit-base-cats-vs-dogs,0.7419528483620099
16,akahana/vit-base-cats-vs-dogs,0.741564627176158
17,nateraw/test_model_a,0.13281696749681704
18,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7399392479593111
19,nickmuchi/vit-base-xray-pneumonia,0.7395416841213421
20,eren23/pneumonia_test_attempt,0.7399392479593111
21,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.7461061497377988
22,nateraw/vit-base-patch16-224-cifar10,0.7419528483620099
23,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7419528483620099
24,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7419528483620099
25,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7419528483620099
26,karthiksv/vit-base-patch16-224-cifar10,0.7419528483620099
27,jadohu/BEiT-finetuned,0.6705631516139627
28,Ahmed9275/Vit-Cifar100,0.6657816622983236
29,nielsr/vit-finetuned-eurosat-kornia,0.7408893203048553
30,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7567005720424178
31,nielsr/van-base-finetuned-eurosat-imgaug,0.7532614229055216
32,Calin/convnext-tiny-finteuned-eurosat,0.7567005720424178
33,nielsr/convnext-tiny-finetuned-eurosat,0.7567005720424178
34,nielsr/convnext-tiny-finetuned-eurostat,0.7567005720424178
35,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
36,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
37,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
38,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
39,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
40,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
41,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
42,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
43,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
44,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7567005720424178
45,mrm8488/convnext-tiny-finetuned-eurosat,0.7567005720424178
46,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7567005720424178
47,nateraw/vit-base-food101,0.732170403743703
48,ipvikas/rare-puppers,0.73834145383803
49,Sena/flowers,0.7389021800049552
50,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.7384189956225427
51,julien-c/hotdog-not-hotdog,0.7389021800049552
52,gatecitypreservation/architectural_styles,0.7389021800049552
53,firas-spanioli/beer-whisky-wine-detection,0.7384189956225427
54,Suzana/new-york-tokyo-london,0.7287137167788176
55,nateraw/denver-nyc-paris,0.7397052281834752
56,LorenzoDeMattei/lawn-weeds,0.7384189956225427
57,hgarg/fruits,0.7384189956225427
58,Amrrs/indian-foods,0.7384189956225427
59,filipafcastro/beer_vs_wine,0.7384189956225427
60,ajanco/greens,0.7389021800049552
