,model,score
0,firebolt/llama_or_what2,-0.13508935775270314
1,google/vit-base-patch16-224,-0.11241312186573771
2,nateraw/denver-nyc-paris,-0.08989037602319785
3,black/simple_kitchen,-0.25671488562350936
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.09613515644098271
5,Suzana/new-york-tokyo-london,-0.10614930249801628
6,filipafcastro/beer_vs_wine,-0.10614930249801628
7,nateraw/baked-goods,-0.0860700035729946
8,ajanco/greens,-0.11841310168373717
9,nateraw/vit-base-beans-demo,-0.09240039359750345
10,HHousen/household-rooms,-0.0888371405402017
11,Amrrs/indian-foods,-0.21520827794111233
12,nateraw/planes-trains-automobiles,-0.22777483036882246
13,julien-c/hotdog-not-hotdog,-0.0888371405402017
14,jmarshall/rare-puppers,-0.234505368553451
15,nielsr/vit-finetuned-eurosat-kornia,-0.09240039359750345
16,eren23/pneumonia_test_attempt,-0.234505368553451
17,micole66/dwarf-goats,-0.1690611995059875
18,nateraw/ex-for-evan,-0.08947304642905028
19,karthiksv/vit-base-patch16-224-cifar10,-0.09613515644098271
20,ferdinand/rare-puppers,-0.14303039851554258
21,ipvikas/rare-puppers,-0.08947304642905028
22,Frodnar/bee-likes,-0.12297494548199898
23,nickmuchi/vit-base-beans,-0.1695933167898269
24,nateraw/baseball-stadium-foods,-0.234505368553451
25,Giuliano/places,-0.08947304642905028
26,firas-spanioli/beer-whisky-wine-detection,-0.14012114425130062
27,jjhoffstein/lotr,-0.12134044885219036
28,Nonem100/Test-Model,-0.14012114425130062
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.08424330152880363
30,LorenzoDeMattei/lawn-weeds,-0.22777483036882246
31,nateraw/doggos-lol,-0.08947304642905028
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.10069891899370349
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.09240039359750345
34,karthiksv/vit-base-beans,-0.12158275672414982
35,Symbermine/rare-puppers,-0.10614930249801628
36,nateraw/vit-base-patch16-224-cifar10,-0.08947304642905028
37,gatecitypreservation/architectural_styles,-0.11841310168373717
38,Amrrs/south-indian-foods,-0.2243717875127668
39,hafidber/fruits,-0.08947304642905028
40,nateraw/rare-puppers-123,-0.09240039359750345
41,Aftabhussain/Tomato_Leaf_Classifier,-0.234505368553451
42,nickmuchi/vit-base-xray-pneumonia,-0.234505368553451
43,Neto71/sea_mammals,-0.2309421154961492
44,lewtun/oz-fauna,-0.22826058813566616
45,hgarg/fruits,-0.12158275672414982
46,jasmeen/dogs,-0.08947304642905028
47,b25mayank3/shirt_identifier,-0.19721856499826515
48,jeffboudier/vision-transformers-spain-or-italy-fan,-0.2634454238081379
49,facebook/convnext-base-224-22k,0.7647654968723273
50,nickmuchi/vit-finetuned-cats-dogs,-0.07124133157716668
51,godiec/diam,-0.09240039359750345
52,Rajaram1996/FacialEmoRecog,-0.234505368553451
53,nateraw/vit-base-beans-demo-v3,-0.19722442975731638
