,model,score
0,google/vit-base-patch16-224,0.8161171765347005
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8259303567356443
2,facebook/deit-base-patch16-224,0.8330562865246287
3,facebook/deit-base-distilled-patch16-224,0.8444197948071585
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8329859477305915
5,facebook/convnext-base-224,0.8430579787917644
6,facebook/convnext-small-224,0.8204653352440734
7,microsoft/swin-base-patch4-window7-224,0.8399762707856259
8,microsoft/beit-base-patch16-224,0.6693226838299089
9,facebook/convnext-tiny-224,0.8104500040682631
10,Visual-Attention-Network/van-small,0.8035047695156287
11,WinKawaks/vit-small-patch16-224,0.8095477839407269
12,facebook/deit-small-distilled-patch16-224,0.8176665763200365
13,Visual-Attention-Network/van-base,0.8253573950401694
14,facebook/deit-small-patch16-224,0.8136198556652012
15,microsoft/swin-small-patch4-window7-224,0.8055896829041758
16,Ahmed9275/ALL-3,0.8096147489331433
17,facebook/convnext-large-224,0.8317701890384861
18,WinKawaks/vit-tiny-patch16-224,0.7791114790150333
19,Visual-Attention-Network/van-tiny,0.802332722576554
20,facebook/deit-tiny-distilled-patch16-224,0.7961323597473533
21,Ahmed9275/ALL-test,0.8194251222985209
22,facebook/deit-tiny-patch16-224,0.7916580805192399
23,microsoft/swin-tiny-patch4-window7-224,0.8107400627883231
24,Visual-Attention-Network/van-large,0.8085714180458023
25,google/vit-base-patch32-384,0.8301989386731584
26,facebook/convnext-base-224-22k-1k,0.8277834530189054
27,google/vit-large-patch32-384,0.8224418625890872
28,microsoft/swin-large-patch4-window7-224,0.8467811635444695
29,lysandre/tiny-vit-random,0.32540546426903416
30,facebook/convnext-large-224-22k-1k,0.8509815618283745
31,facebook/convnext-base-384,0.8377657127589218
32,microsoft/resnet-50,0.818212196445597
33,microsoft/beit-base-patch16-224-pt22k,0.696184279070791
34,microsoft/beit-large-patch16-224,0.7700004225037843
35,google/vit-large-patch16-224,0.827144583491611
36,facebook/convnext-large-384,0.8366850377802202
37,facebook/convnext-large-384-22k-1k,0.8493990998420574
