,model,score
0,google/vit-base-patch16-224,0.8420418374082295
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8422539825389489
2,facebook/deit-base-patch16-224,0.8356825191011472
3,facebook/deit-base-distilled-patch16-224,0.8520380529569493
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8273910240070032
5,facebook/convnext-base-224,0.846792195887514
6,facebook/convnext-small-224,0.8199987266807617
7,microsoft/swin-base-patch4-window7-224,0.8404894028953838
8,microsoft/beit-base-patch16-224,0.720411060117005
9,facebook/convnext-tiny-224,0.8378907303968645
10,Visual-Attention-Network/van-small,0.8170885705498976
11,WinKawaks/vit-small-patch16-224,0.8284391281054446
12,facebook/deit-small-distilled-patch16-224,0.8236507129471705
13,Visual-Attention-Network/van-base,0.8526076904508387
14,facebook/deit-small-patch16-224,0.8165767007562
15,microsoft/swin-small-patch4-window7-224,0.8294519154746125
16,Ahmed9275/ALL-3,0.8281301098847167
17,facebook/convnext-large-224,0.8525371961576156
18,WinKawaks/vit-tiny-patch16-224,0.7716582921301067
19,Visual-Attention-Network/van-tiny,0.8162299230675855
20,facebook/deit-tiny-distilled-patch16-224,0.7428426255738213
21,Ahmed9275/ALL-test,0.8254238955755511
22,facebook/deit-tiny-patch16-224,0.7976959115598167
23,microsoft/swin-tiny-patch4-window7-224,0.8170911120030631
24,Visual-Attention-Network/van-large,0.8386680956454395
25,google/vit-base-patch32-384,0.8393417466027698
26,facebook/convnext-base-224-22k-1k,0.8474064659446471
27,google/vit-large-patch32-384,0.8374875833919044
28,microsoft/swin-large-patch4-window7-224,0.8491242347316227
29,lysandre/tiny-vit-random,0.15951646189348842
30,facebook/convnext-large-224-22k-1k,0.8555778955325117
31,facebook/convnext-base-384,0.8586745338837944
32,microsoft/resnet-50,0.8184329232059118
33,microsoft/beit-base-patch16-224-pt22k,0.7234916772968596
34,microsoft/beit-large-patch16-224,0.7368716180574758
35,google/vit-large-patch16-224,0.8500238588716066
36,facebook/convnext-large-384,0.8601290463352469
37,facebook/convnext-large-384-22k-1k,0.8696453201736257
38,nielsr/convnext-xlarge-224-22k-1k,0.8662920024622811
39,facebook/deit-base-patch16-384,0.8504457539230066
40,google/vit-base-patch16-384,0.870987169934933
41,facebook/deit-base-distilled-patch16-384,0.8770697175697092
42,facebook/convnext-xlarge-224-22k-1k,0.8559146561976603
43,microsoft/beit-large-patch16-384,0.7059306509286242
44,microsoft/swin-large-patch4-window12-384,0.8611270812517062
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8166881509611318
46,karthiksv/vit-base-patch16-224-cifar10,0.8255519729999159
47,nateraw/vit-base-patch16-224-cifar10,0.846595071205434
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8298442732820535
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8416147803544147
50,jadohu/BEiT-finetuned,0.7492192998422473
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8238147898671028
52,nateraw/vit-base-beans-demo,0.8285474918480101
53,nickmuchi/vit-base-beans,0.8380424606089006
54,karthiksv/vit-base-beans,0.8276797705994858
55,nateraw/vit-base-beans-demo-v3,0.8238881823673998
56,johnnydevriese/vit_beans,0.8307294690933013
57,nateraw/vit-base-beans-demo-v2,0.8365434661303923
58,mmekias/vit-base-beans,0.8369920448035124
59,nateraw/vit-base-beans,0.8359507902096922
60,mrm8488/convnext-tiny-finetuned-beans,0.8305632709373806
61,nielsr/vit-finetuned-eurosat-kornia,0.8432801008940102
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8448610162249136
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8285455272539543
64,Calin/convnext-tiny-finteuned-eurosat,0.8323549813694274
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8552355440762441
66,nielsr/convnext-tiny-finetuned-eurostat,0.8312916645304501
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8287982588039483
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8294505041122133
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8208901997927596
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8266372975718772
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8304776298644638
72,nielsr/convnext-tiny-finetuned-eurosat,0.8415376153791115
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8239813752596714
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8279037616083912
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8277571834238018
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8270762029235326
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8160313382846759
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8334819426650601
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8174960714536464
80,eren23/pneumonia_test_attempt,0.8346315086790582
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.837742193073666
82,nickmuchi/vit-base-xray-pneumonia,0.8276337967602889
83,facebook/convnext-base-224-22k,0.8482833146544222
84,microsoft/swin-large-patch4-window7-224-in22k,0.8626296704275705
85,microsoft/swin-base-patch4-window7-224-in22k,0.8404722449803854
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7546911032450933
87,facebook/convnext-large-224-22k,0.8700036709320846
88,facebook/convnext-xlarge-224-22k,0.8653984085974059
89,microsoft/swin-base-patch4-window12-384-in22k,0.8693516186550327
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7650527363376212
91,nielsr/convnext-xlarge-224-22k,0.8617895113935248
92,nickmuchi/vit-finetuned-cats-dogs,0.8331007181945717
93,ismgar01/vit-base-cats-vs-dogs,0.8314073400017218
94,akahana/vit-base-cats-vs-dogs,0.8218053882521804
95,nateraw/vit-base-cats-vs-dogs,0.8336719151059817
96,nateraw/test_model_a,0.22764027119072391
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8349842135869747
98,Matthijs/snacks-classifier,0.8271360605902544
99,nateraw/vit-base-food101,0.828927976109043
100,eslamxm/vit-base-food101,0.8336318802718462
101,SriramSridhar78/sriram-car-classifier,0.8292795020715127
102,imjeffhi/pokemon_classifier,0.839461245133209
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.8114047056327099
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.7077672074688747
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8267158581281826
106,Ahmed9275/Vit-Cifar100,0.8366145937207401
