,model,score
0,karthiksv/vit-base-beans,0.9193268915164953
1,nateraw/vit-base-beans-demo-v3,0.9160904763892187
2,nateraw/test_model_a,0.0
3,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9094850957635695
4,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9107783340238487
5,nateraw/huggingpics-package-demo-2,0.912619032537816
6,AhmedSayeem/VIT_Basic,0.909954929134337
7,hafidber/fruits,0.9094760454222758
8,jasmeen/dogs,0.913418797547561
9,flyswot/test,0.7599538016957716
10,microsoft/swin-base-patch4-window7-224,0.9261689864507051
11,facebook/convnext-base-384,0.9339957261151656
12,facebook/deit-small-patch16-224,0.8781009882444287
13,Ahmed9275/ALL-test,0.8952539878879096
14,facebook/convnext-base-224,0.920224331516167
15,microsoft/swin-base-patch4-window12-384-in22k,0.9625910595946578
16,SriramSridhar78/sriram-car-classifier,0.9057865845885851
