,model,score
0,google/vit-base-patch16-224,0.8354930004631462
1,IDEA-CCNL/Taiyi-vit-87M-D,0.825783846687201
2,facebook/deit-base-patch16-224,0.8265286452618986
3,facebook/deit-base-distilled-patch16-224,0.8438668176323438
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8237012993153564
5,facebook/convnext-base-224,0.847830643213084
6,facebook/convnext-small-224,0.8293581070923469
7,microsoft/swin-base-patch4-window7-224,0.8515749850795785
8,microsoft/beit-base-patch16-224,0.7014083510659127
9,facebook/convnext-tiny-224,0.8352732031966826
10,Visual-Attention-Network/van-small,0.8188282541947062
11,WinKawaks/vit-small-patch16-224,0.8199090917854609
12,facebook/deit-small-distilled-patch16-224,0.8127136435248171
13,Visual-Attention-Network/van-base,0.8498943748390864
14,facebook/deit-small-patch16-224,0.8181091731267389
15,microsoft/swin-small-patch4-window7-224,0.8295963840678705
16,Ahmed9275/ALL-3,0.834352927230966
17,facebook/convnext-large-224,0.8489251318565575
18,WinKawaks/vit-tiny-patch16-224,0.8052703078542115
19,Visual-Attention-Network/van-tiny,0.8158837708291083
20,facebook/deit-tiny-distilled-patch16-224,0.7764342377039923
21,Ahmed9275/ALL-test,0.8147551034334368
22,facebook/deit-tiny-patch16-224,0.7930777283315044
23,microsoft/swin-tiny-patch4-window7-224,0.8355388708521805
24,Visual-Attention-Network/van-large,0.8376518877060035
25,google/vit-base-patch32-384,0.8448682655387134
26,facebook/convnext-base-224-22k-1k,0.8448533719298458
27,google/vit-large-patch32-384,0.8399985973009686
28,microsoft/swin-large-patch4-window7-224,0.8597114498282521
29,lysandre/tiny-vit-random,0.2431648326777195
30,facebook/convnext-large-224-22k-1k,0.8532281979135172
31,facebook/convnext-base-384,0.8523520502391588
32,microsoft/resnet-50,0.8157624136418934
33,microsoft/beit-base-patch16-224-pt22k,0.7236481117729278
34,microsoft/beit-large-patch16-224,0.7450805667228839
35,google/vit-large-patch16-224,0.845753652511607
36,facebook/convnext-large-384,0.8627128278168251
37,facebook/convnext-large-384-22k-1k,0.8558609670226042
38,nielsr/convnext-xlarge-224-22k-1k,0.845863020997148
39,facebook/deit-base-patch16-384,0.8408080851822465
40,google/vit-base-patch16-384,0.8522838456034049
41,facebook/deit-base-distilled-patch16-384,0.8657636099024938
42,facebook/convnext-xlarge-224-22k-1k,0.8358248539199267
43,microsoft/beit-large-patch16-384,0.7438701114444537
44,microsoft/swin-large-patch4-window12-384,0.8607865806176436
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8201905501403138
46,karthiksv/vit-base-patch16-224-cifar10,0.8243813978145093
47,nateraw/vit-base-patch16-224-cifar10,0.8346312741397023
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8215564695663384
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8307084113926458
50,jadohu/BEiT-finetuned,0.733200333154284
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8237912159919472
52,nateraw/vit-base-beans-demo,0.8118168058440653
53,nickmuchi/vit-base-beans,0.8174141120795935
54,karthiksv/vit-base-beans,0.8197869653317169
55,nateraw/vit-base-beans-demo-v3,0.8174067115034912
56,johnnydevriese/vit_beans,0.8247618262109772
57,nateraw/vit-base-beans-demo-v2,0.8194352767959971
58,mmekias/vit-base-beans,0.8213781660430584
59,nateraw/vit-base-beans,0.8337897510270943
60,mrm8488/convnext-tiny-finetuned-beans,0.819287641239421
61,nielsr/vit-finetuned-eurosat-kornia,0.8342090041460706
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8028224403494035
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8231578421260476
64,Calin/convnext-tiny-finteuned-eurosat,0.8206532964934117
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8228777975319739
