,model,score
0,firebolt/llama_or_what2,0.9105598342846188
1,google/vit-base-patch16-224,0.9085184737623538
2,nateraw/denver-nyc-paris,0.9105598342846188
3,black/simple_kitchen,0.9105598342846188
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.909278177593189
5,Suzana/new-york-tokyo-london,0.9083489576349224
6,filipafcastro/beer_vs_wine,0.910730652182179
7,nateraw/baked-goods,0.9105598342846188
8,ajanco/greens,0.9105598342846188
9,nateraw/vit-base-beans-demo,0.9099153933411224
10,HHousen/household-rooms,0.9105598342846188
11,Amrrs/indian-foods,0.9101354980614371
12,nateraw/planes-trains-automobiles,0.9097838629702619
13,julien-c/hotdog-not-hotdog,0.9111549884053606
14,jmarshall/rare-puppers,0.9101354980614371
15,nielsr/vit-finetuned-eurosat-kornia,0.9083436156433606
16,eren23/pneumonia_test_attempt,0.9105105474618641
17,micole66/dwarf-goats,0.9093684479788459
18,nateraw/ex-for-evan,0.9101354980614371
19,karthiksv/vit-base-patch16-224-cifar10,0.9083436156433606
20,ferdinand/rare-puppers,0.9072046499519564
21,ipvikas/rare-puppers,0.9101354980614371
22,Frodnar/bee-likes,0.9105598342846188
23,nickmuchi/vit-base-beans,0.9099153933411224
24,nateraw/baseball-stadium-foods,0.9083489576349224
25,Giuliano/places,0.9098517848688727
26,firas-spanioli/beer-whisky-wine-detection,0.9101354980614371
27,jjhoffstein/lotr,0.9087732938581041
28,Nonem100/Test-Model,0.9101354980614371
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9098517848688727
30,LorenzoDeMattei/lawn-weeds,0.9101354980614371
31,nateraw/doggos-lol,0.9101354980614371
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9085184737623538
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9105105474618641
34,karthiksv/vit-base-beans,0.906842655873604
35,Symbermine/rare-puppers,0.9083489576349224
36,nateraw/vit-base-patch16-224-cifar10,0.9083436156433606
37,gatecitypreservation/architectural_styles,0.9105598342846188
38,Amrrs/south-indian-foods,0.9105598342846188
39,hafidber/fruits,0.9097838629702619
40,nateraw/rare-puppers-123,0.9101354980614371
41,Aftabhussain/Tomato_Leaf_Classifier,0.9104469389896146
42,nickmuchi/vit-base-xray-pneumonia,0.9092243504208605
43,Neto71/sea_mammals,0.9105598342846188
44,lewtun/oz-fauna,0.9105598342846188
45,hgarg/fruits,0.9101354980614371
46,jasmeen/dogs,0.908065244442358
47,b25mayank3/shirt_identifier,0.9087732938581041
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9093684479788459
49,facebook/convnext-base-224-22k,0.9146293872405608
50,nickmuchi/vit-finetuned-cats-dogs,0.9101589123706888
51,godiec/diam,0.9101354980614371
52,Rajaram1996/FacialEmoRecog,0.9107953912858181
53,nateraw/vit-base-beans-demo-v3,0.9077772178234322
