,model,score
0,google/vit-base-patch16-224,0.8573191145021426
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8573191137028686
2,facebook/deit-base-patch16-224,0.857319113639879
3,facebook/deit-base-distilled-patch16-224,0.85628567211018
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.857368304569932
5,facebook/convnext-base-224,0.8546086278975955
6,facebook/convnext-small-224,0.8793115340246902
7,microsoft/swin-base-patch4-window7-224,0.8557094790938191
8,microsoft/beit-base-patch16-224,0.8573683132195438
9,facebook/convnext-tiny-224,0.8292964244350264
10,Visual-Attention-Network/van-small,0.7560373723235921
11,WinKawaks/vit-small-patch16-224,0.8007483377529522
12,facebook/deit-small-distilled-patch16-224,0.8026112512178835
13,Visual-Attention-Network/van-base,0.8212085403404139
14,facebook/deit-small-patch16-224,0.8007483401205007
15,microsoft/swin-small-patch4-window7-224,0.8787527582170859
16,Ahmed9275/ALL-3,0.8281246963710179
17,facebook/convnext-large-224,0.9150970995004458
18,WinKawaks/vit-tiny-patch16-224,0.7022662155268272
19,Visual-Attention-Network/van-tiny,0.6906237845840728
20,facebook/deit-tiny-distilled-patch16-224,0.703642438192848
21,Ahmed9275/ALL-test,0.8281246792359466
22,facebook/deit-tiny-patch16-224,0.7022662164461903
23,microsoft/swin-tiny-patch4-window7-224,0.8281246830197752
24,Visual-Attention-Network/van-large,0.872742552767779
25,google/vit-base-patch32-384,0.8550016850608424
26,facebook/convnext-base-224-22k-1k,0.8546085871600287
27,google/vit-large-patch32-384,0.8163931215815557
28,microsoft/swin-large-patch4-window7-224,0.91449241355718
29,lysandre/tiny-vit-random,0.6601846309188284
30,facebook/convnext-large-224-22k-1k,0.9150970982827027
31,facebook/convnext-base-384,0.8546086581665616
32,microsoft/resnet-50,0.8168591577950127
33,microsoft/beit-base-patch16-224-pt22k,0.8585261619376418
34,microsoft/beit-large-patch16-224,0.8149471173288054
35,google/vit-large-patch16-224,0.8148864725493283
36,facebook/convnext-large-384,0.9150971512159815
37,facebook/convnext-large-384-22k-1k,0.9150971567526348
38,microsoft/beit-large-patch16-384,0.8152909755555569
39,nielsr/convnext-xlarge-224-22k-1k,0.8900481024048776
40,facebook/deit-base-patch16-384,0.8569277332294675
41,google/vit-base-patch16-384,0.8569278542197015
42,facebook/deit-base-distilled-patch16-384,0.8558948258846432
43,microsoft/swin-large-patch4-window12-384,0.9145980309751918
44,facebook/convnext-xlarge-224-22k-1k,0.8900481030534619
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8583402405833904
46,karthiksv/vit-base-patch16-224-cifar10,0.8583402425447023
47,nateraw/vit-base-patch16-224-cifar10,0.8583402669614697
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8583402423786951
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8583402667152666
50,jadohu/BEiT-finetuned,0.8583894068908395
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8583402653798824
52,nateraw/vit-base-beans-demo,0.8583474562335929
53,nickmuchi/vit-base-beans,0.8583474563978434
54,karthiksv/vit-base-beans,0.8583474491265075
55,nateraw/vit-base-beans-demo-v3,0.858347449073208
56,johnnydevriese/vit_beans,0.8583474570567615
57,nateraw/vit-base-beans-demo-v2,0.8583474576379121
58,mmekias/vit-base-beans,0.8583474571940516
59,nateraw/vit-base-beans,0.8583474825064281
60,mrm8488/convnext-tiny-finetuned-beans,0.8262826235661872
61,nielsr/vit-finetuned-eurosat-kornia,0.8583402662544481
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8263040920235446
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8263041122698946
64,Calin/convnext-tiny-finteuned-eurosat,0.8263041116834403
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8263042358612727
66,nielsr/convnext-tiny-finetuned-eurostat,0.8263040918955291
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978044774121
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978183641601
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978009930201
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978072071279
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978047413099
72,nielsr/convnext-tiny-finetuned-eurosat,0.8263040933090463
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8250978011306332
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978068431618
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978069879024
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8190677501882287
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978174244283
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978186844122
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8250978068313233
80,eren23/pneumonia_test_attempt,0.858348488057884
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8583485205463839
82,nickmuchi/vit-base-xray-pneumonia,0.8583484867940385
83,facebook/convnext-base-224-22k,0.8318051608939698
84,microsoft/swin-large-patch4-window7-224-in22k,0.9006366733059408
85,microsoft/swin-base-patch4-window7-224-in22k,0.8323433711239796
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8378378438742393
87,facebook/convnext-large-224-22k,0.8989850520973568
88,facebook/convnext-xlarge-224-22k,0.9482833584927939
89,microsoft/swin-base-patch4-window12-384-in22k,0.8322525176112816
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8406676537406474
91,nielsr/convnext-xlarge-224-22k,0.9482833581811168
