,model,score
0,firebolt/llama_or_what2,0.8823464527856402
1,nateraw/denver-nyc-paris,0.8823469903463477
2,black/simple_kitchen,0.8823469187885442
3,Suzana/new-york-tokyo-london,0.8823468965952136
4,filipafcastro/beer_vs_wine,0.882347456707288
5,nateraw/baked-goods,0.882346914869536
6,ajanco/greens,0.8823458450854176
7,HHousen/household-rooms,0.8823459162005259
8,Amrrs/indian-foods,0.8823459302313124
9,nateraw/planes-trains-automobiles,0.8823469982457948
10,julien-c/hotdog-not-hotdog,0.8823474546810476
11,jmarshall/rare-puppers,0.8823469962132804
12,micole66/dwarf-goats,0.882347431062008
13,nateraw/ex-for-evan,0.882346456941963
14,ferdinand/rare-puppers,0.8823469141110136
15,ipvikas/rare-puppers,0.8823469205814803
16,Frodnar/bee-likes,0.882346910978773
17,nateraw/baseball-stadium-foods,0.8823458171563713
18,Giuliano/places,0.8823469157034719
19,firas-spanioli/beer-whisky-wine-detection,0.8823469192526118
20,jjhoffstein/lotr,0.8823458166514564
21,Nonem100/Test-Model,0.8823459284682766
22,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8823464653678063
23,LorenzoDeMattei/lawn-weeds,0.8823469111623113
24,nateraw/doggos-lol,0.8823469850390641
25,Symbermine/rare-puppers,0.8823458171608444
26,gatecitypreservation/architectural_styles,0.882345916468481
27,Amrrs/south-indian-foods,0.8823458457426454
28,hafidber/fruits,0.8823458349831003
29,nateraw/rare-puppers-123,0.8823469094868424
30,Aftabhussain/Tomato_Leaf_Classifier,0.8823475397758326
31,Neto71/sea_mammals,0.8823469865770767
32,lewtun/oz-fauna,0.8823458357382298
33,hgarg/fruits,0.882345922425516
34,jasmeen/dogs,0.8823468918634103
35,b25mayank3/shirt_identifier,0.8823463541261828
36,jeffboudier/vision-transformers-spain-or-italy-fan,0.8823474278255129
37,godiec/diam,0.8823464579705081
38,firebolt/llama_or_what,0.8823464529742205
39,juanfiguera/ice_cream,0.8823474461840906
40,drab/Infrastructures,0.8823469132935496
41,Sena/dog,0.8823469865488889
42,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8823474517370468
43,hafidber/rare-puppers,0.8823469148555158
44,edixo/road_good_damaged_condition,0.8823474513143049
45,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8823469171815124
46,Sena/flowers,0.8823458375426593
47,johnnydevriese/vit-airplanes,0.882346918817393
48,nateraw/pasta-shapes,0.8823469867723395
49,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8823475227977047
50,hgarg/indian-snacks,0.8823459126374711
51,Hijazzi/rare-puppers,0.8823470033478263
52,nateraw/trainer-rare-puppers,0.8823469192127464
53,nateraw/rare-puppers-new-auth,0.8823469087375444
54,nateraw/rare-puppers,0.882346919533326
55,iyzg/computer-stuff,0.8823458393968014
56,nateraw/huggingpics-package-demo-2,0.8823469953556005
57,nateraw/pasta-pizza-ravioli,0.8823469099558185
58,nateraw/donut-or-bagel,0.8823474303513056
59,nateraw/rare-puppers-09-04-2021,0.8823469088273853
60,Zayn/VIT_Basic,0.8823458157095428
61,driboune/skin_type,0.882347544049179
62,flyswot/test,0.7801463017328886
63,nateraw/rare-puppers-demo,0.8823463534291597
64,meame2010/rare-puppers,0.8823463568890071
65,mmgyorke/vit-world-landmarks,0.8823458466578525
66,AhmedSayeem/VIT_Basic,0.8823458193223221
67,google/vit-base-patch16-224,0.8818113668472424
68,IDEA-CCNL/Taiyi-vit-87M-D,0.8818113645346175
69,facebook/deit-base-patch16-224,0.8818113643522109
70,facebook/deit-base-distilled-patch16-224,0.8812729964944318
71,mrm8488/data2vec-base-finetuned-imagenet1k,0.8818369699383171
72,facebook/convnext-base-224,0.8803988307773118
73,facebook/convnext-small-224,0.8932455178715022
74,microsoft/swin-base-patch4-window7-224,0.8809727431477349
75,microsoft/beit-base-patch16-224,0.8818369949607956
76,facebook/convnext-tiny-224,0.8630465075597936
77,Visual-Attention-Network/van-small,0.8163752417708438
78,WinKawaks/vit-small-patch16-224,0.8451080459968715
79,facebook/deit-small-distilled-patch16-224,0.8462895887557398
80,Visual-Attention-Network/van-base,0.8580035912739211
81,facebook/deit-small-patch16-224,0.845108051232895
82,microsoft/swin-small-patch4-window7-224,0.8929226321735831
83,Ahmed9275/ALL-3,0.8623179614161887
84,facebook/convnext-large-224,0.8906151343902478
85,WinKawaks/vit-tiny-patch16-224,0.781058429682906
86,Visual-Attention-Network/van-tiny,0.7733249256941706
87,facebook/deit-tiny-distilled-patch16-224,0.7819707447569599
88,Ahmed9275/ALL-test,0.8623179223053086
89,facebook/deit-tiny-patch16-224,0.7810584315458484
90,microsoft/swin-tiny-patch4-window7-224,0.8623179309415114
91,Visual-Attention-Network/van-large,0.889417499766654
92,google/vit-base-patch32-384,0.8806036908651018
93,facebook/convnext-base-224-22k-1k,0.8803987121138405
94,google/vit-large-patch32-384,0.8244880002293712
95,microsoft/swin-large-patch4-window7-224,0.8903073365261569
96,lysandre/tiny-vit-random,0.7529846579510281
97,facebook/convnext-large-224-22k-1k,0.8906151295970592
98,facebook/convnext-base-384,0.8803989189077521
99,microsoft/resnet-50,0.855277654047561
