,model,score
0,firebolt/llama_or_what2,-0.11378774955747345
1,google/vit-base-patch16-224,-0.11845177456533246
2,nateraw/denver-nyc-paris,-0.11378290581467748
3,black/simple_kitchen,-0.11378299979549483
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.1138168983755285
5,Suzana/new-york-tokyo-london,-0.11378302893956299
6,filipafcastro/beer_vs_wine,-0.11377815526475893
7,nateraw/baked-goods,-0.11378300494226229
8,ajanco/greens,-0.11379268509943513
9,nateraw/vit-base-beans-demo,-0.11378301030569954
10,HHousen/household-rooms,-0.11379259170037287
11,Amrrs/indian-foods,-0.11379257327095443
12,nateraw/planes-trains-automobiles,-0.11378289543888892
13,julien-c/hotdog-not-hotdog,-0.11377815792527218
14,jmarshall/rare-puppers,-0.11378289810879966
15,nielsr/vit-finetuned-eurosat-kornia,-0.11381680105160713
16,eren23/pneumonia_test_attempt,-0.11377816400833568
17,micole66/dwarf-goats,-0.11377818894147967
18,nateraw/ex-for-evan,-0.11378774409816333
19,karthiksv/vit-base-patch16-224-cifar10,-0.11381689094163233
20,ferdinand/rare-puppers,-0.11378300593753637
21,ipvikas/rare-puppers,-0.11378299744128001
22,Frodnar/bee-likes,-0.11378301005155739
23,nickmuchi/vit-base-beans,-0.11378300968305105
24,nateraw/baseball-stadium-foods,-0.1137927217757399
25,Giuliano/places,-0.11378300384653822
26,firas-spanioli/beer-whisky-wine-detection,-0.11378299918634721
27,jjhoffstein/lotr,-0.11379272243819144
28,Nonem100/Test-Model,-0.11379257558635197
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.1137877330301193
30,LorenzoDeMattei/lawn-weeds,-0.11378300981042772
31,nateraw/doggos-lol,-0.11378291278582603
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.11845177759808917
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.11377804083251669
34,karthiksv/vit-base-beans,-0.11378303724107225
35,Symbermine/rare-puppers,-0.11379272176954086
36,nateraw/vit-base-patch16-224-cifar10,-0.11381679837024244
37,gatecitypreservation/architectural_styles,-0.11379259134860414
38,Amrrs/south-indian-foods,-0.1137926842368317
39,hafidber/fruits,-0.11379269836600209
40,nateraw/rare-puppers-123,-0.11378301201069424
41,Aftabhussain/Tomato_Leaf_Classifier,-0.11377804616357706
42,nickmuchi/vit-base-xray-pneumonia,-0.11377816879822239
43,Neto71/sea_mammals,-0.11378291076518626
44,lewtun/oz-fauna,-0.11379269737447534
45,hgarg/fruits,-0.1137925835240357
46,jasmeen/dogs,-0.11378303515338423
47,b25mayank3/shirt_identifier,-0.11378787912673044
48,jeffboudier/vision-transformers-spain-or-italy-fan,-0.11377819319171506
49,facebook/convnext-base-224-22k,-0.061816515624156854
50,nickmuchi/vit-finetuned-cats-dogs,-0.11377816861704354
51,godiec/diam,-0.11378774274651277
52,Rajaram1996/FacialEmoRecog,-0.11380710154842516
53,nateraw/vit-base-beans-demo-v3,-0.11378303744288171
54,firebolt/llama_or_what,-0.11378774930965191
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.11381689157074809
56,johnnydevriese/vit_beans,-0.11378300718565765
57,nateraw/vit-age-classifier,-0.11381206360550317
58,nateraw/vit-base-beans-demo-v2,-0.11378300498293975
59,mmekias/vit-base-beans,-0.11378300666541247
60,juanfiguera/ice_cream,-0.11377816908404531
61,drab/Infrastructures,-0.1137830070118257
62,nateraw/vit-base-beans,-0.1137829107029677
63,Sena/dog,-0.1137829108021628
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-0.1137781617916494
65,hafidber/rare-puppers,-0.1137830049602721
66,edixo/road_good_damaged_condition,-0.11377816234697385
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.11378300190555629
68,Sena/flowers,-0.1137926950051607
69,matteopilotto/vit-base-patch16-224-in21k-snacks,-0.11386529970199305
70,johnnydevriese/vit-airplanes,-0.1137829997576702
71,nateraw/pasta-shapes,-0.11378291050908768
