,model,score
0,firebolt/llama_or_what2,0.8903021239405874
1,google/vit-base-patch16-224,0.8897326165398304
2,nateraw/denver-nyc-paris,0.8903027102707123
3,black/simple_kitchen,0.890302685756892
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8902985822918039
5,Suzana/new-york-tokyo-london,0.8903026781531226
6,filipafcastro/beer_vs_wine,0.8903032722383749
7,nateraw/baked-goods,0.8903026844143249
8,ajanco/greens,0.8903015136113774
9,nateraw/vit-base-beans-demo,0.8903026830150176
10,HHousen/household-rooms,0.8903015379732939
11,Amrrs/indian-foods,0.8903015427794347
12,nateraw/planes-trains-automobiles,0.8903027129766612
13,julien-c/hotdog-not-hotdog,0.8903032715441469
14,jmarshall/rare-puppers,0.8903027122803615
15,nielsr/vit-finetuned-eurosat-kornia,0.8902986076773101
16,eren23/pneumonia_test_attempt,0.8903032699571748
17,micole66/dwarf-goats,0.8903032634518662
18,nateraw/ex-for-evan,0.8903021253643747
19,karthiksv/vit-base-patch16-224-cifar10,0.8902985842313345
20,ferdinand/rare-puppers,0.890302684154298
21,ipvikas/rare-puppers,0.8903026863709897
22,Frodnar/bee-likes,0.8903026830811572
23,nickmuchi/vit-base-beans,0.8903026831772589
24,nateraw/baseball-stadium-foods,0.8903015040423798
25,Giuliano/places,0.8903026846998483
26,firas-spanioli/beer-whisky-wine-detection,0.8903026859158877
27,jjhoffstein/lotr,0.8903015038694304
28,Nonem100/Test-Model,0.8903015421755355
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8903021282505139
30,LorenzoDeMattei/lawn-weeds,0.8903026831441383
31,nateraw/doggos-lol,0.8903027084528417
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8897326157512941
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8903033020853398
34,karthiksv/vit-base-beans,0.8903026759871973
35,Symbermine/rare-puppers,0.8903015040439496
36,nateraw/vit-base-patch16-224-cifar10,0.8902986083765831
37,gatecitypreservation/architectural_styles,0.8903015380651209
38,Amrrs/south-indian-foods,0.8903015138366297
39,hafidber/fruits,0.8903015101504401
40,nateraw/rare-puppers-123,0.8903026825700665
41,Aftabhussain/Tomato_Leaf_Classifier,0.8903033006950476
42,nickmuchi/vit-base-xray-pneumonia,0.8903032687074608
43,Neto71/sea_mammals,0.890302708979622
44,lewtun/oz-fauna,0.89030151040899
