,model,score
0,google/vit-base-patch16-224,0.9094287
1,IDEA-CCNL/Taiyi-vit-87M-D,0.95383155
2,facebook/deit-base-patch16-224,0.9542543
3,facebook/deit-base-distilled-patch16-224,0.93553644
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8719217
5,facebook/convnext-base-224,0.9417397
6,facebook/convnext-small-224,0.97346944
7,microsoft/swin-base-patch4-window7-224,0.9353195
8,microsoft/beit-base-patch16-224,0.48169282
9,facebook/convnext-tiny-224,0.96920425
10,Visual-Attention-Network/van-small,0.9441895
11,WinKawaks/vit-small-patch16-224,0.8983723
12,facebook/deit-small-distilled-patch16-224,0.9417239
13,Visual-Attention-Network/van-base,0.9480701
14,facebook/deit-small-patch16-224,0.851754
15,microsoft/swin-small-patch4-window7-224,0.9151231
16,Ahmed9275/ALL-3,0.9050702
17,facebook/convnext-large-224,0.931238
18,WinKawaks/vit-tiny-patch16-224,0.7701742
19,Visual-Attention-Network/van-tiny,0.79597217
20,facebook/deit-tiny-distilled-patch16-224,0.84937376
21,Ahmed9275/ALL-test,0.878829
22,facebook/deit-tiny-patch16-224,0.79067636
23,microsoft/swin-tiny-patch4-window7-224,0.9316693
24,Visual-Attention-Network/van-large,0.9192471
25,google/vit-base-patch32-384,0.9079422
26,facebook/convnext-base-224-22k-1k,0.9755525
27,google/vit-large-patch32-384,0.9371475
28,microsoft/swin-large-patch4-window7-224,0.9766468
29,lysandre/tiny-vit-random,0.023496132
30,facebook/convnext-large-224-22k-1k,0.97662085
31,facebook/convnext-base-384,0.94346553
32,microsoft/resnet-50,0.8961154
33,microsoft/beit-base-patch16-224-pt22k,0.553297
34,microsoft/beit-large-patch16-224,0.64846873
35,google/vit-large-patch16-224,0.87727886
36,facebook/convnext-large-384,0.95019686
37,facebook/convnext-large-384-22k-1k,0.9905978
38,microsoft/beit-large-patch16-384,0.67043895
39,nielsr/convnext-xlarge-224-22k-1k,0.9699385
40,facebook/deit-base-patch16-384,0.9354737
41,google/vit-base-patch16-384,0.93705225
42,facebook/deit-base-distilled-patch16-384,0.93579143
43,microsoft/swin-large-patch4-window12-384,0.9793569
44,facebook/convnext-xlarge-224-22k-1k,0.9686057
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9582588
46,karthiksv/vit-base-patch16-224-cifar10,0.9608158
47,nateraw/vit-base-patch16-224-cifar10,0.965224
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9608158
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9656752
50,jadohu/BEiT-finetuned,0.8224053
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9666371
52,nateraw/vit-base-beans-demo,0.94252706
53,nickmuchi/vit-base-beans,0.9470923
54,karthiksv/vit-base-beans,0.9553405
55,nateraw/vit-base-beans-demo-v3,0.9494686
56,johnnydevriese/vit_beans,0.9513833
57,nateraw/vit-base-beans-demo-v2,0.9556891
58,mmekias/vit-base-beans,0.9513833
59,nateraw/vit-base-beans,0.9619294
60,mrm8488/convnext-tiny-finetuned-beans,0.95027214
61,nielsr/vit-finetuned-eurosat-kornia,0.96194583
62,mrm8488/convnext-tiny-finetuned-eurosat,0.9439658
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.96787494
64,Calin/convnext-tiny-finteuned-eurosat,0.96622956
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.97995013
66,nielsr/convnext-tiny-finetuned-eurostat,0.9440084
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.90897197
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94308686
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87623066
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9114792
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89203644
72,nielsr/convnext-tiny-finetuned-eurosat,0.93941677
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8681498
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91505075
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9114792
76,nielsr/van-base-finetuned-eurosat-imgaug,0.9225002
