,model,score
0,google/vit-base-patch16-224,0.97288394
1,IDEA-CCNL/Taiyi-vit-87M-D,0.970722
2,facebook/deit-base-patch16-224,0.9747561
3,facebook/deit-base-distilled-patch16-224,0.9779502
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.9092477
5,facebook/convnext-base-224,0.9639882
6,facebook/convnext-small-224,0.9875011
7,microsoft/swin-base-patch4-window7-224,0.9802132
8,microsoft/beit-base-patch16-224,0.6606112
9,facebook/convnext-tiny-224,0.9745762
10,Visual-Attention-Network/van-small,0.9583781
11,WinKawaks/vit-small-patch16-224,0.9509899
12,facebook/deit-small-distilled-patch16-224,0.96965706
13,Visual-Attention-Network/van-base,0.9736193
14,facebook/deit-small-patch16-224,0.92896724
15,microsoft/swin-small-patch4-window7-224,0.97506404
16,Ahmed9275/ALL-3,0.934212
17,facebook/convnext-large-224,0.9677368
18,WinKawaks/vit-tiny-patch16-224,0.7251772
19,Visual-Attention-Network/van-tiny,0.9484376
20,facebook/deit-tiny-distilled-patch16-224,0.80844355
21,Ahmed9275/ALL-test,0.92749643
22,facebook/deit-tiny-patch16-224,0.84281
23,microsoft/swin-tiny-patch4-window7-224,0.9351922
24,Visual-Attention-Network/van-large,0.93791634
25,google/vit-base-patch32-384,0.9516327
26,facebook/convnext-base-224-22k-1k,0.9919589
27,google/vit-large-patch32-384,0.9180301
28,microsoft/swin-large-patch4-window7-224,0.98987436
29,lysandre/tiny-vit-random,0.01991381
30,facebook/convnext-large-224-22k-1k,0.98700327
31,facebook/convnext-base-384,0.9743901
32,microsoft/resnet-50,0.9269713
33,microsoft/beit-base-patch16-224-pt22k,0.6928308
34,microsoft/beit-large-patch16-224,0.5669448
35,google/vit-large-patch16-224,0.8951855
36,facebook/convnext-large-384,0.9718963
37,facebook/convnext-large-384-22k-1k,0.9955372
38,nielsr/convnext-xlarge-224-22k-1k,0.98592585
39,facebook/deit-base-patch16-384,0.96114117
40,google/vit-base-patch16-384,0.97534156
41,facebook/deit-base-distilled-patch16-384,0.97310185
42,facebook/convnext-xlarge-224-22k-1k,0.98355633
43,microsoft/beit-large-patch16-384,0.55799365
44,microsoft/swin-large-patch4-window12-384,0.9950975
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.972361
46,karthiksv/vit-base-patch16-224-cifar10,0.97023696
47,nateraw/vit-base-patch16-224-cifar10,0.96737444
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.96645874
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9675177
