,model,score
0,Rajaram1996/FacialEmoRecog,0.92590296
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9128972
2,nateraw/vit-age-classifier,0.89344805
3,ibombonato/vit-age-classifier,0.91991687
4,ibombonato/swin-age-classifier,0.8520818
5,nateraw/vit-base-beans,0.9206581
6,karthiksv/vit-base-beans,0.9210144
7,mmekias/vit-base-beans,0.9201036
8,nateraw/vit-base-beans-demo-v2,0.926063
9,johnnydevriese/vit_beans,0.9096166
10,mrm8488/convnext-tiny-finetuned-beans,0.9410743
11,nateraw/vit-base-beans-demo,0.9006114
12,nateraw/vit-base-beans-demo-v3,0.9163243
13,nickmuchi/vit-finetuned-cats-dogs,0.9308103
14,ismgar01/vit-base-cats-vs-dogs,0.9178824
15,nateraw/vit-base-cats-vs-dogs,0.92926747
16,akahana/vit-base-cats-vs-dogs,0.9026582
17,nateraw/test_model_a,-0.0010696922
18,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.93118453
19,nickmuchi/vit-base-xray-pneumonia,0.8678807
20,eren23/pneumonia_test_attempt,0.9358348
21,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9239138
22,nateraw/vit-base-patch16-224-cifar10,0.92656004
23,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9178264
24,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9300071
25,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9226912
26,karthiksv/vit-base-patch16-224-cifar10,0.93140817
27,jadohu/BEiT-finetuned,0.7268856
28,Ahmed9275/Vit-Cifar100,0.8170055
29,nielsr/vit-finetuned-eurosat-kornia,0.9190856
30,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.93540525
31,nielsr/van-base-finetuned-eurosat-imgaug,0.8673294
32,Calin/convnext-tiny-finteuned-eurosat,0.9367388
33,nielsr/convnext-tiny-finetuned-eurosat,0.90560836
34,nielsr/convnext-tiny-finetuned-eurostat,0.9132921
35,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8724921
36,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.855468
37,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8549915
38,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8774471
39,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8680712
40,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.86021626
41,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.88227504
