,model,score
0,firebolt/llama_or_what2,0.94754064
1,google/vit-base-patch16-224,0.9445404
2,nateraw/denver-nyc-paris,0.96258956
3,black/simple_kitchen,0.9507263
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9566432
5,Suzana/new-york-tokyo-london,0.9527033
6,filipafcastro/beer_vs_wine,0.9523667
7,nateraw/baked-goods,0.9570532
8,ajanco/greens,0.95178497
9,nateraw/vit-base-beans-demo,0.9144277
10,HHousen/household-rooms,0.9484345
11,Amrrs/indian-foods,0.94967794
12,nateraw/planes-trains-automobiles,0.94345737
13,julien-c/hotdog-not-hotdog,0.95909816
14,jmarshall/rare-puppers,0.944344
15,nielsr/vit-finetuned-eurosat-kornia,0.9796186
16,eren23/pneumonia_test_attempt,0.95808196
17,micole66/dwarf-goats,0.95276207
18,nateraw/ex-for-evan,0.9528879
19,karthiksv/vit-base-patch16-224-cifar10,0.9506505
20,ferdinand/rare-puppers,0.93428355
21,ipvikas/rare-puppers,0.94455546
22,Frodnar/bee-likes,0.92602354
23,nickmuchi/vit-base-beans,0.9260842
24,nateraw/baseball-stadium-foods,0.94484663
25,Giuliano/places,0.9393416
26,firas-spanioli/beer-whisky-wine-detection,0.9505369
27,jjhoffstein/lotr,0.9402809
28,Nonem100/Test-Model,0.92170674
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9442048
30,LorenzoDeMattei/lawn-weeds,0.93890655
31,nateraw/doggos-lol,0.92636025
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9257575
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.95500475
34,karthiksv/vit-base-beans,0.95181125
35,Symbermine/rare-puppers,0.95279795
36,nateraw/vit-base-patch16-224-cifar10,0.9479859
37,gatecitypreservation/architectural_styles,0.95845944
38,Amrrs/south-indian-foods,0.95927966
39,hafidber/fruits,0.94889957
40,nateraw/rare-puppers-123,0.9504395
41,Aftabhussain/Tomato_Leaf_Classifier,0.94663376
42,nickmuchi/vit-base-xray-pneumonia,0.9258744
43,Neto71/sea_mammals,0.9542865
44,lewtun/oz-fauna,0.9578333
45,hgarg/fruits,0.95599157
46,jasmeen/dogs,0.9420624
47,b25mayank3/shirt_identifier,0.9555733
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9450389
49,facebook/convnext-base-224-22k,0.96382445
50,nickmuchi/vit-finetuned-cats-dogs,0.9458377
51,godiec/diam,0.9430344
52,Rajaram1996/FacialEmoRecog,0.9486044
53,nateraw/vit-base-beans-demo-v3,0.9431675
54,firebolt/llama_or_what,0.9449108
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9605816
56,johnnydevriese/vit_beans,0.93593436
57,nateraw/vit-age-classifier,0.9297966
58,nateraw/vit-base-beans-demo-v2,0.9381114
59,mmekias/vit-base-beans,0.95824075
60,juanfiguera/ice_cream,0.9582066
61,drab/Infrastructures,0.9428637
62,nateraw/vit-base-beans,0.94895345
63,Sena/dog,0.9501325
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9395948
65,hafidber/rare-puppers,0.9224603
66,edixo/road_good_damaged_condition,0.9491201
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9428691
68,Sena/flowers,0.94484186
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9358273
70,johnnydevriese/vit-airplanes,0.93322253
71,nateraw/pasta-shapes,0.9494874
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.95525634
73,hgarg/indian-snacks,0.9530351
74,nateraw/vit-base-food101,0.95799863
75,Hijazzi/rare-puppers,0.9556278
76,nateraw/trainer-rare-puppers,0.8172821
77,ibombonato/vit-age-classifier,0.9330517
78,nateraw/rare-puppers-new-auth,0.95291334
79,SriramSridhar78/sriram-car-classifier,0.9686698
80,ismgar01/vit-base-cats-vs-dogs,0.9309982
81,nateraw/rare-puppers,0.9606076
82,iyzg/computer-stuff,0.9560207
83,nateraw/huggingpics-package-demo-2,0.9593454
84,imjeffhi/pokemon_classifier,0.867715
85,nateraw/pasta-pizza-ravioli,0.9550289
86,akahana/vit-base-cats-vs-dogs,0.8983202
87,nateraw/donut-or-bagel,0.9473518
88,nateraw/rare-puppers-09-04-2021,0.97074026
89,nateraw/vit-base-cats-vs-dogs,0.9320074
90,Zayn/VIT_Basic,0.9290336
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9479598
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.79653513
93,microsoft/swin-large-patch4-window7-224-in22k,0.9608126
94,Ahmed9275/Vit-Cifar100,0.8485637
95,driboune/skin_type,0.941286
96,microsoft/swin-base-patch4-window7-224-in22k,0.9258426
97,facebook/deit-base-patch16-224,0.93709654
98,facebook/deit-base-distilled-patch16-224,0.92289466
99,eslamxm/vit-base-food101,0.88256073
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.69039446
101,facebook/convnext-base-224,0.88684297
102,facebook/convnext-small-224,0.8835198
