,model,score
0,google/vit-base-patch16-224,0.9561907
1,IDEA-CCNL/Taiyi-vit-87M-D,0.96530545
2,facebook/deit-base-patch16-224,0.9692345
3,facebook/deit-base-distilled-patch16-224,0.9438035
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.90971756
5,facebook/convnext-base-224,0.9445321
6,facebook/convnext-small-224,0.95649153
7,microsoft/swin-base-patch4-window7-224,0.94789094
8,microsoft/beit-base-patch16-224,0.6688552
9,facebook/convnext-tiny-224,0.95830643
10,Visual-Attention-Network/van-small,0.92891866
11,WinKawaks/vit-small-patch16-224,0.92682105
12,facebook/deit-small-distilled-patch16-224,0.9182472
13,Visual-Attention-Network/van-base,0.92511004
14,facebook/deit-small-patch16-224,0.911754
15,microsoft/swin-small-patch4-window7-224,0.9038761
16,Ahmed9275/ALL-3,0.9327484
17,facebook/convnext-large-224,0.93484616
18,WinKawaks/vit-tiny-patch16-224,0.6957095
19,Visual-Attention-Network/van-tiny,0.8036902
20,facebook/deit-tiny-distilled-patch16-224,0.77658457
21,Ahmed9275/ALL-test,0.8843548
22,facebook/deit-tiny-patch16-224,0.8005347
23,microsoft/swin-tiny-patch4-window7-224,0.8988891
24,Visual-Attention-Network/van-large,0.91587675
25,google/vit-base-patch32-384,0.9391551
26,facebook/convnext-base-224-22k-1k,0.9721391
27,google/vit-large-patch32-384,0.9517031
28,microsoft/swin-large-patch4-window7-224,0.97719496
29,lysandre/tiny-vit-random,-0.0029418299
30,facebook/convnext-large-224-22k-1k,0.97405285
31,facebook/convnext-base-384,0.9503035
32,microsoft/resnet-50,0.8964417
33,microsoft/beit-base-patch16-224-pt22k,0.65544224
34,microsoft/beit-large-patch16-224,0.6801722
35,google/vit-large-patch16-224,0.8846783
36,facebook/convnext-large-384,0.9636395
37,facebook/convnext-large-384-22k-1k,0.9892897
38,microsoft/beit-large-patch16-384,0.6548229
39,nielsr/convnext-xlarge-224-22k-1k,0.9831845
40,facebook/deit-base-patch16-384,0.9719231
41,google/vit-base-patch16-384,0.9704437
42,facebook/deit-base-distilled-patch16-384,0.93284947
43,microsoft/swin-large-patch4-window12-384,0.981286
44,facebook/convnext-xlarge-224-22k-1k,0.9831845
