,model,score
0,firebolt/llama_or_what2,0.90180105
1,google/vit-base-patch16-224,0.9212301
2,nateraw/denver-nyc-paris,0.91000104
3,black/simple_kitchen,0.91433793
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.91744584
5,Suzana/new-york-tokyo-london,0.9125175
6,filipafcastro/beer_vs_wine,0.9151483
7,nateraw/baked-goods,0.9120277
8,ajanco/greens,0.8908009
9,nateraw/vit-base-beans-demo,0.87795335
10,HHousen/household-rooms,0.89942145
11,Amrrs/indian-foods,0.89695466
12,nateraw/planes-trains-automobiles,0.89719194
13,julien-c/hotdog-not-hotdog,0.9075255
14,jmarshall/rare-puppers,0.9139845
15,nielsr/vit-finetuned-eurosat-kornia,0.90482605
16,eren23/pneumonia_test_attempt,0.89059865
17,micole66/dwarf-goats,0.9101709
18,nateraw/ex-for-evan,0.9023932
19,karthiksv/vit-base-patch16-224-cifar10,0.91560644
20,ferdinand/rare-puppers,0.90895414
21,ipvikas/rare-puppers,0.9114074
22,Frodnar/bee-likes,0.90586513
23,nickmuchi/vit-base-beans,0.8967897
24,nateraw/baseball-stadium-foods,0.8869599
25,Giuliano/places,0.90001506
26,firas-spanioli/beer-whisky-wine-detection,0.9122789
27,jjhoffstein/lotr,0.9027538
28,Nonem100/Test-Model,0.8650379
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.90055335
30,LorenzoDeMattei/lawn-weeds,0.89834976
31,nateraw/doggos-lol,0.8358699
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9047668
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9162173
34,karthiksv/vit-base-beans,0.90829855
35,Symbermine/rare-puppers,0.90139085
36,nateraw/vit-base-patch16-224-cifar10,0.9027536
37,gatecitypreservation/architectural_styles,0.9089107
38,Amrrs/south-indian-foods,0.9072391
39,hafidber/fruits,0.8996789
40,nateraw/rare-puppers-123,0.9121981
41,Aftabhussain/Tomato_Leaf_Classifier,0.9028511
42,nickmuchi/vit-base-xray-pneumonia,0.86712337
43,Neto71/sea_mammals,0.9053282
44,lewtun/oz-fauna,0.90834624
45,hgarg/fruits,0.9020494
46,jasmeen/dogs,0.90341884
47,b25mayank3/shirt_identifier,0.90289956
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9087382
49,facebook/convnext-base-224-22k,0.9656791
50,nickmuchi/vit-finetuned-cats-dogs,0.9063258
51,godiec/diam,0.8840287
52,Rajaram1996/FacialEmoRecog,0.90033925
53,nateraw/vit-base-beans-demo-v3,0.9039778
54,firebolt/llama_or_what,0.89620364
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.902722
56,johnnydevriese/vit_beans,0.89934385
57,nateraw/vit-age-classifier,0.87684274
58,nateraw/vit-base-beans-demo-v2,0.90404177
59,mmekias/vit-base-beans,0.9067004
60,juanfiguera/ice_cream,0.9070411
61,drab/Infrastructures,0.9056866
62,nateraw/vit-base-beans,0.9039737
63,Sena/dog,0.8890681
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.88774437
65,hafidber/rare-puppers,0.8907151
66,edixo/road_good_damaged_condition,0.9109052
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.90479875
68,Sena/flowers,0.8985111
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8615791
70,johnnydevriese/vit-airplanes,0.8779064
71,nateraw/pasta-shapes,0.9033839
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9075916
73,hgarg/indian-snacks,0.90207756
74,nateraw/vit-base-food101,0.91734594
75,Hijazzi/rare-puppers,0.90228647
76,nateraw/trainer-rare-puppers,0.888621
77,ibombonato/vit-age-classifier,0.905184
78,nateraw/rare-puppers-new-auth,0.90986365
79,SriramSridhar78/sriram-car-classifier,0.8875239
80,ismgar01/vit-base-cats-vs-dogs,0.8909746
81,nateraw/rare-puppers,0.8972286
82,iyzg/computer-stuff,0.9096025
83,nateraw/huggingpics-package-demo-2,0.9041929
84,imjeffhi/pokemon_classifier,0.89963096
85,nateraw/pasta-pizza-ravioli,0.9064752
86,akahana/vit-base-cats-vs-dogs,0.8879692
87,nateraw/donut-or-bagel,0.9087944
88,nateraw/rare-puppers-09-04-2021,0.90379876
89,nateraw/vit-base-cats-vs-dogs,0.8740682
90,Zayn/VIT_Basic,0.8934785
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9047207
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.76091963
93,microsoft/swin-large-patch4-window7-224-in22k,0.96305215
94,Ahmed9275/Vit-Cifar100,0.86878943
95,driboune/skin_type,0.91085386
96,microsoft/swin-base-patch4-window7-224-in22k,0.91045517
97,facebook/deit-base-patch16-224,0.9083411
98,facebook/deit-base-distilled-patch16-224,0.9405088
99,eslamxm/vit-base-food101,0.8387995
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.6836078
101,facebook/convnext-base-224,0.9237449
102,facebook/convnext-small-224,0.9035021
103,microsoft/swin-base-patch4-window7-224,0.88640964
104,microsoft/beit-base-patch16-224,0.48597947
105,mrm8488/convnext-tiny-finetuned-eurosat,0.93186635
106,mrm8488/convnext-tiny-finetuned-beans,0.9179988
107,facebook/convnext-tiny-224,0.9168971
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9147029
