,model,score
0,firebolt/llama_or_what2,0.73715174
1,google/vit-base-patch16-224,0.6678526
2,nateraw/denver-nyc-paris,0.7148001
3,black/simple_kitchen,0.6818435
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.75857157
5,Suzana/new-york-tokyo-london,0.6863701
6,filipafcastro/beer_vs_wine,0.73326516
7,nateraw/baked-goods,0.7538706
8,ajanco/greens,0.72083217
9,nateraw/vit-base-beans-demo,0.6214864
10,HHousen/household-rooms,0.73753136
11,Amrrs/indian-foods,0.7760083
12,nateraw/planes-trains-automobiles,0.6922164
13,julien-c/hotdog-not-hotdog,0.7463326
14,jmarshall/rare-puppers,0.7019863
15,nielsr/vit-finetuned-eurosat-kornia,0.7367473
16,eren23/pneumonia_test_attempt,0.72465545
17,micole66/dwarf-goats,0.6980635
18,nateraw/ex-for-evan,0.7689808
19,karthiksv/vit-base-patch16-224-cifar10,0.75952786
20,ferdinand/rare-puppers,0.68705326
21,ipvikas/rare-puppers,0.7464619
22,Frodnar/bee-likes,0.7231752
23,nickmuchi/vit-base-beans,0.6691142
24,nateraw/baseball-stadium-foods,0.67068666
25,Giuliano/places,0.70881987
26,firas-spanioli/beer-whisky-wine-detection,0.7425046
27,jjhoffstein/lotr,0.7432418
28,Nonem100/Test-Model,0.6977425
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7303748
30,LorenzoDeMattei/lawn-weeds,0.7362167
31,nateraw/doggos-lol,0.71521515
32,IDEA-CCNL/Taiyi-vit-87M-D,0.5898716
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7467218
34,karthiksv/vit-base-beans,0.77258724
35,Symbermine/rare-puppers,0.714982
36,nateraw/vit-base-patch16-224-cifar10,0.736078
37,gatecitypreservation/architectural_styles,0.6630007
38,Amrrs/south-indian-foods,0.76581377
39,hafidber/fruits,0.7409849
40,nateraw/rare-puppers-123,0.6811257
41,Aftabhussain/Tomato_Leaf_Classifier,0.7238634
42,nickmuchi/vit-base-xray-pneumonia,0.5294501
43,Neto71/sea_mammals,0.71048194
44,lewtun/oz-fauna,0.69642186
45,hgarg/fruits,0.76660377
46,jasmeen/dogs,0.7141528
47,b25mayank3/shirt_identifier,0.6906563
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.73811656
49,facebook/convnext-base-224-22k,0.8499081
50,nickmuchi/vit-finetuned-cats-dogs,0.627646
51,godiec/diam,0.7059686
52,Rajaram1996/FacialEmoRecog,0.7574178
53,nateraw/vit-base-beans-demo-v3,0.68576485
54,firebolt/llama_or_what,0.6830394
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.75818944
56,johnnydevriese/vit_beans,0.588383
57,nateraw/vit-age-classifier,0.67782
58,nateraw/vit-base-beans-demo-v2,0.69635254
59,mmekias/vit-base-beans,0.7654408
60,juanfiguera/ice_cream,0.72549945
61,drab/Infrastructures,0.7458778
62,nateraw/vit-base-beans,0.74709386
63,Sena/dog,0.67618
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.6650168
65,hafidber/rare-puppers,0.7477207
66,edixo/road_good_damaged_condition,0.6597789
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.66809905
68,Sena/flowers,0.71482664
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.74333715
70,johnnydevriese/vit-airplanes,0.55475193
71,nateraw/pasta-shapes,0.7477666
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7619007
73,hgarg/indian-snacks,0.67864287
74,nateraw/vit-base-food101,0.7160477
75,Hijazzi/rare-puppers,0.7475224
76,nateraw/trainer-rare-puppers,0.7072757
77,ibombonato/vit-age-classifier,0.72234595
78,nateraw/rare-puppers-new-auth,0.75096226
79,SriramSridhar78/sriram-car-classifier,0.6985936
80,ismgar01/vit-base-cats-vs-dogs,0.62204933
81,nateraw/rare-puppers,0.7410226
82,iyzg/computer-stuff,0.6954741
83,nateraw/huggingpics-package-demo-2,0.6835392
84,imjeffhi/pokemon_classifier,0.61465573
85,nateraw/pasta-pizza-ravioli,0.660177
86,akahana/vit-base-cats-vs-dogs,0.58708006
87,nateraw/donut-or-bagel,0.7139611
88,nateraw/rare-puppers-09-04-2021,0.7014418
89,nateraw/vit-base-cats-vs-dogs,0.69449145
90,Zayn/VIT_Basic,0.61406857
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.74444103
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.54263854
93,microsoft/swin-large-patch4-window7-224-in22k,0.8654494
94,Ahmed9275/Vit-Cifar100,0.6096407
95,driboune/skin_type,0.7278649
96,microsoft/swin-base-patch4-window7-224-in22k,0.813872
97,facebook/deit-base-patch16-224,0.7723639
98,facebook/deit-base-distilled-patch16-224,0.8396151
99,eslamxm/vit-base-food101,0.5780532
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.6271329
101,facebook/convnext-base-224,0.79343414
102,facebook/convnext-small-224,0.74130964
103,microsoft/swin-base-patch4-window7-224,0.82661766
104,microsoft/beit-base-patch16-224,0.5704622
105,mrm8488/convnext-tiny-finetuned-eurosat,0.7965759
106,mrm8488/convnext-tiny-finetuned-beans,0.790495
107,facebook/convnext-tiny-224,0.7870106
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.84466195
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.53858596
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.6806232
111,Calin/convnext-tiny-finteuned-eurosat,0.8207587
