,model,score
0,firebolt/llama_or_what2,0.96035737
1,google/vit-base-patch16-224,0.9664363
2,nateraw/denver-nyc-paris,0.9747943
3,black/simple_kitchen,0.9617116
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9580998
5,Suzana/new-york-tokyo-london,0.9287824
6,filipafcastro/beer_vs_wine,0.9660529
7,nateraw/baked-goods,0.9728248
8,ajanco/greens,0.96251607
9,nateraw/vit-base-beans-demo,0.9692171
10,HHousen/household-rooms,0.9670865
11,Amrrs/indian-foods,0.9738045
12,nateraw/planes-trains-automobiles,0.970054
13,julien-c/hotdog-not-hotdog,0.9633395
14,jmarshall/rare-puppers,0.96954364
15,nielsr/vit-finetuned-eurosat-kornia,0.97479844
16,eren23/pneumonia_test_attempt,0.9545149
17,micole66/dwarf-goats,0.94316536
18,nateraw/ex-for-evan,0.96942735
19,karthiksv/vit-base-patch16-224-cifar10,0.96139497
20,ferdinand/rare-puppers,0.9641722
21,ipvikas/rare-puppers,0.96246076
22,Frodnar/bee-likes,0.9676276
23,nickmuchi/vit-base-beans,0.9686672
24,nateraw/baseball-stadium-foods,0.9446934
25,Giuliano/places,0.96345925
26,firas-spanioli/beer-whisky-wine-detection,0.9631623
27,jjhoffstein/lotr,0.9568971
28,Nonem100/Test-Model,0.96536446
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9713478
30,LorenzoDeMattei/lawn-weeds,0.9705059
31,nateraw/doggos-lol,0.97101593
32,IDEA-CCNL/Taiyi-vit-87M-D,0.96768534
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9653525
34,karthiksv/vit-base-beans,0.9395426
35,Symbermine/rare-puppers,0.95087343
36,nateraw/vit-base-patch16-224-cifar10,0.96982986
37,gatecitypreservation/architectural_styles,0.9683712
38,Amrrs/south-indian-foods,0.97109365
39,hafidber/fruits,0.95838106
40,nateraw/rare-puppers-123,0.9718232
41,Aftabhussain/Tomato_Leaf_Classifier,0.9711753
42,nickmuchi/vit-base-xray-pneumonia,0.96963894
43,Neto71/sea_mammals,0.9650236
44,lewtun/oz-fauna,0.97232157
45,hgarg/fruits,0.97075224
46,jasmeen/dogs,0.93630904
47,b25mayank3/shirt_identifier,0.95062655
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.94212323
49,facebook/convnext-base-224-22k,0.9984613
50,nickmuchi/vit-finetuned-cats-dogs,0.96385396
51,godiec/diam,0.9701645
52,Rajaram1996/FacialEmoRecog,0.96931475
53,nateraw/vit-base-beans-demo-v3,0.9373221
54,firebolt/llama_or_what,0.96407115
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.96139497
56,johnnydevriese/vit_beans,0.96087474
57,nateraw/vit-age-classifier,0.923356
58,nateraw/vit-base-beans-demo-v2,0.9645632
59,mmekias/vit-base-beans,0.96087474
60,juanfiguera/ice_cream,0.9710563
61,drab/Infrastructures,0.96762407
62,nateraw/vit-base-beans,0.9708007
63,Sena/dog,0.9686038
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9610349
65,hafidber/rare-puppers,0.9638703
66,edixo/road_good_damaged_condition,0.96584743
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9642253
68,Sena/flowers,0.9681101
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.93773913
70,johnnydevriese/vit-airplanes,0.96320325
71,nateraw/pasta-shapes,0.96954364
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9707309
73,hgarg/indian-snacks,0.96678925
74,nateraw/vit-base-food101,0.96371657
75,Hijazzi/rare-puppers,0.96927756
76,nateraw/trainer-rare-puppers,0.9638111
77,ibombonato/vit-age-classifier,0.95730853
78,nateraw/rare-puppers-new-auth,0.9625104
79,SriramSridhar78/sriram-car-classifier,0.9688382
80,ismgar01/vit-base-cats-vs-dogs,0.9590679
81,nateraw/rare-puppers,0.96248853
82,iyzg/computer-stuff,0.96863323
83,nateraw/huggingpics-package-demo-2,0.96954364
84,imjeffhi/pokemon_classifier,0.82225233
85,nateraw/pasta-pizza-ravioli,0.9665075
86,akahana/vit-base-cats-vs-dogs,0.9582001
87,nateraw/donut-or-bagel,0.93777543
88,nateraw/rare-puppers-09-04-2021,0.9781008
