,Unnamed: 0,model,score,runtime
0,72,ibombonato/swin-age-classifier,-2.1849191145559312,108.422
1,71,hgarg/indian-snacks,-2.191461089775567,145.514
2,68,hafidber/fruits,-2.191834888719004,142.68
3,27,Suzana/new-york-tokyo-london,-2.192202920831615,142.529
4,126,nateraw/vit-age-classifier,-2.1926255485979613,142.608
5,36,Zayn/VIT_Basic,-2.1926396905788432,143.026
6,94,matteopilotto/vit-base-patch16-224-in21k-snacks,-2.1926486875517988,153.225
7,125,nateraw/trainer-rare-puppers,-2.192661703408694,142.676
8,142,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-2.19281842609157,105.082
9,145,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-2.1949457786784783,155.393
10,29,Symbermine/rare-puppers,-2.1955250312926764,142.197
11,90,karthiksv/vit-base-patch16-224-cifar10,-2.195540194919185,152.265
12,19,LorenzoDeMattei/lawn-weeds,-2.1956840161736157,144.645
13,89,karthiksv/vit-base-beans,-2.195845623534836,151.851
14,73,ibombonato/vit-age-classifier,-2.195925812825116,148.596
15,64,godiec/diam,-2.1959804402268457,142.019
16,139,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-2.1963099396212886,106.336
17,41,b25mayank3/shirt_identifier,-2.1963654863417403,143.231
18,15,HHousen/household-rooms,-2.1963770116737065,142.27
19,103,mmekias/vit-base-beans,-2.1963845041219296,153.181
20,98,michaelbenayoun/vit-base-beans,-2.196447866537659,151.214
21,75,ipvikas/rare-puppers,-2.1964576107174625,148.352
22,76,ismgar01/vit-base-cats-vs-dogs,-2.196575875796161,148.451
23,114,nateraw/ex-for-evan,-2.1967300946629584,143.287
24,92,lewtun/oz-fauna,-2.1967491803242423,149.129
25,96,meame2010/rare-puppers,-2.196845120861268,148.766
26,60,firebolt/llama_or_what,-2.196906185298965,143.215
27,122,nateraw/rare-puppers-demo,-2.196931315892656,143.434
28,123,nateraw/rare-puppers-new-auth,-2.1969665905949136,142.824
29,99,micole66/dwarf-goats,-2.196981741519888,149.293
30,59,firas-spanioli/beer-whisky-wine-detection,-2.196983799894225,142.824
31,45,driboune/skin_type,-2.1970417556587973,142.174
32,110,nateraw/baseball-stadium-foods,-2.197045609223057,151.058
33,83,jjhoffstein/lotr,-2.197058061629669,152.443
34,127,nateraw/vit-base-beans,-2.197079391249727,142.802
35,28,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-2.197083423805628,93.987
36,88,julien-c/hotdog-not-hotdog,-2.1970867788944872,148.349
37,6,AkshatSurolia/ViT-FaceMask-Finetuned,-2.197107684426424,141.804
38,108,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,-2.197110798970886,154.173
39,63,gatecitypreservation/architectural_styles,-2.197111494247332,143.031
40,62,flyswot/test,-2.197139196759748,75.018
41,119,nateraw/rare-puppers,-2.197152856064769,143.46
42,12,Frodnar/bee-likes,-2.1971531543507066,141.69
43,86,johnnydevriese/vit_beans,-2.1971826296733186,151.322
44,77,iyzg/computer-stuff,-2.1971859985150397,150.284
45,82,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.1972058427068206,102.051
46,46,edixo/road_good_damaged_condition,-2.1972151259268524,142.442
47,70,hgarg/fruits,-2.1972159320546494,142.617
48,113,nateraw/donut-or-bagel,-2.19722781515991,143.274
49,81,jeffboudier/vision-transformers-spain-or-italy-fan,-2.1972283657734164,150.675
50,44,drab/Infrastructures,-2.197255049077776,142.815
51,3,AkshatSurolia/BEiT-FaceMask-Finetuned,-2.197259954113698,144.162
52,24,Sena/dog,-2.197272141631094,142.94
53,58,filipafcastro/beer_vs_wine,-2.197286777389928,142.662
54,137,nickmuchi/vit-finetuned-cats-dogs,-2.19728917120988,153.129
55,4,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-2.1972969599387304,93.976
56,128,nateraw/vit-base-beans-demo,-2.1973053245942107,142.743
57,42,black/simple_kitchen,-2.197322405891359,142.463
58,10,AykeeSalazar/vc-bantai-vit-withoutAMBI,-2.197323288818707,141.82
59,0,Aftabhussain/Tomato_Leaf_Classifier,-2.19733269660207,141.666
60,111,nateraw/denver-nyc-paris,-2.1973415261849767,147.985
61,69,hafidber/rare-puppers,-2.197352640912486,142.91
62,47,eren23/pneumonia_test_attempt,-2.197369480189132,142.81
63,120,nateraw/rare-puppers-09-04-2021,-2.1973700533919063,143.036
64,138,nickmuchi/vit-finetuned-chest-xray-pneumonia,-2.1974005256889675,147.843
65,8,Amrrs/south-indian-foods,-2.1974529624350945,141.901
66,57,ferdinand/rare-puppers,-2.1975255513067653,142.841
67,87,juanfiguera/ice_cream,-2.197527377588422,148.89
68,116,nateraw/pasta-pizza-ravioli,-2.197535906564012,143.55
