,model,score
0,google/vit-base-patch16-224,0.8469149010330145
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8358987629934044
2,facebook/deit-base-patch16-224,0.8260731669736974
3,facebook/deit-base-distilled-patch16-224,0.8500384594796695
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8386726986820736
5,facebook/convnext-base-224,0.843435984516824
6,facebook/convnext-small-224,0.8227501220091648
7,microsoft/swin-base-patch4-window7-224,0.8381432413100414
8,microsoft/beit-base-patch16-224,0.8629628068555627
9,facebook/convnext-tiny-224,0.8146358389901285
10,Visual-Attention-Network/van-small,0.7956671925675641
11,WinKawaks/vit-small-patch16-224,0.8058140244146963
12,facebook/deit-small-distilled-patch16-224,0.8066693446828178
13,Visual-Attention-Network/van-base,0.8036209451931111
14,facebook/deit-small-patch16-224,0.7662775953347993
15,microsoft/swin-small-patch4-window7-224,0.8265252404939998
16,Ahmed9275/ALL-3,0.8080579388749503
17,facebook/convnext-large-224,0.9007563798460926
18,WinKawaks/vit-tiny-patch16-224,0.7873930888844662
19,Visual-Attention-Network/van-tiny,0.789173472186755
20,facebook/deit-tiny-distilled-patch16-224,0.7964537802931617
21,Ahmed9275/ALL-test,0.8215556951115142
22,facebook/deit-tiny-patch16-224,0.7825450381854958
23,microsoft/swin-tiny-patch4-window7-224,0.817002107666227
24,Visual-Attention-Network/van-large,0.8203670452448119
25,google/vit-base-patch32-384,0.9211716303341753
26,facebook/convnext-base-224-22k-1k,0.8500042781344911
27,google/vit-large-patch32-384,1.0283867482278686
28,microsoft/swin-large-patch4-window7-224,0.8946305319383284
29,lysandre/tiny-vit-random,0.7950965434255814
30,facebook/convnext-large-224-22k-1k,0.9046360177616876
31,facebook/convnext-base-384,0.95462108042618
32,microsoft/resnet-50,0.8175927857282335
33,microsoft/beit-base-patch16-224-pt22k,0.8536833248034833
34,microsoft/beit-large-patch16-224,0.9589267441878343
35,google/vit-large-patch16-224,0.9483161976120839
36,nielsr/convnext-xlarge-224-22k-1k,0.9769311702653446
37,facebook/deit-base-patch16-384,0.9314306368947226
38,google/vit-base-patch16-384,0.9317985511761815
39,facebook/deit-base-distilled-patch16-384,0.9549395895370882
40,facebook/convnext-xlarge-224-22k-1k,0.9738236927328777
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.873298969369933
42,karthiksv/vit-base-patch16-224-cifar10,0.8700661998702504
43,nateraw/vit-base-patch16-224-cifar10,0.8601588336570944
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8700151936902489
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8711613642852098
46,jadohu/BEiT-finetuned,0.8784151827230835
47,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8646087986122469
48,nateraw/vit-base-beans-demo,0.880946565144661
49,nickmuchi/vit-base-beans,0.88945676823631
50,karthiksv/vit-base-beans,0.876212452518127
51,nateraw/vit-base-beans-demo-v3,0.8790893499061702
52,johnnydevriese/vit_beans,0.8761336850819197
53,nateraw/vit-base-beans-demo-v2,0.8980466343087958
54,mmekias/vit-base-beans,0.8771893826213335
55,nateraw/vit-base-beans,0.8903565373419914
56,mrm8488/convnext-tiny-finetuned-beans,0.8637800025176317
57,nielsr/vit-finetuned-eurosat-kornia,0.8405436778598367
58,mrm8488/convnext-tiny-finetuned-eurosat,0.8280726988450153
59,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8283590794187152
60,Calin/convnext-tiny-finteuned-eurosat,0.8344629465783548
61,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8293914981796882
62,nielsr/convnext-tiny-finetuned-eurostat,0.8254852169803819
63,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8317233331592278
64,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8221823107564974
65,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.83164148462971
66,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8220424834546611
67,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8218884885384385
68,nielsr/convnext-tiny-finetuned-eurosat,0.8390645039281701
69,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.821609713146024
70,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8322387598600504
71,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8247485683498417
72,nielsr/van-base-finetuned-eurosat-imgaug,0.8209483350364363
73,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8216938521957293
74,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8343742111183098
75,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8212679985144969
76,eren23/pneumonia_test_attempt,0.8632751108004373
77,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8609730867470538
78,nickmuchi/vit-base-xray-pneumonia,0.8798850663027867
79,facebook/convnext-base-224-22k,0.8578932324580073
80,microsoft/swin-large-patch4-window7-224-in22k,0.9124589515751946
81,microsoft/swin-base-patch4-window7-224-in22k,0.8504494314679316
82,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8472087865228658
83,facebook/convnext-large-224-22k,0.9105744307598022
84,facebook/convnext-xlarge-224-22k,0.9998067229179587
85,microsoft/swin-base-patch4-window12-384-in22k,0.9555237380245274
86,microsoft/beit-large-patch16-224-pt22k-ft22k,0.9956923644639445
87,nielsr/convnext-xlarge-224-22k,0.9954440957076639
88,nickmuchi/vit-finetuned-cats-dogs,0.8951954831351288
89,ismgar01/vit-base-cats-vs-dogs,0.8830331049347291
90,akahana/vit-base-cats-vs-dogs,0.8944281309972049
91,nateraw/vit-base-cats-vs-dogs,0.8770904894978502
92,nateraw/test_model_a,0.8383113675259314
93,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8891176602737507
94,Matthijs/snacks-classifier,0.8663509997378724
95,nateraw/vit-base-food101,0.824046873786424
96,eslamxm/vit-base-food101,0.8218338428032558
97,SriramSridhar78/sriram-car-classifier,0.8195678129917223
98,imjeffhi/pokemon_classifier,0.8198121163846145
99,AkshatSurolia/ViT-FaceMask-Finetuned,0.8107725310973019
100,AkshatSurolia/BEiT-FaceMask-Finetuned,0.8377870091804258
101,AkshatSurolia/DeiT-FaceMask-Finetuned,0.818874752936205
102,Ahmed9275/Vit-Cifar100,0.865773157941153
