,model,score
0,google/vit-base-patch16-224,0.8459418795972815
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8348831422968876
2,facebook/deit-base-patch16-224,0.8284657781934396
3,facebook/deit-base-distilled-patch16-224,0.8195674968112046
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8165725800706687
5,facebook/convnext-base-224,0.8113508073493818
6,facebook/convnext-small-224,0.7961288675555274
7,microsoft/swin-base-patch4-window7-224,0.8256608017143704
8,microsoft/beit-base-patch16-224,0.8212022797118782
9,facebook/convnext-tiny-224,0.7903108121764358
10,Visual-Attention-Network/van-small,0.8005361549911325
11,WinKawaks/vit-small-patch16-224,0.8168125341361334
12,facebook/deit-small-distilled-patch16-224,0.7884450054079992
13,Visual-Attention-Network/van-base,0.8072600912681495
14,facebook/deit-small-patch16-224,0.816905500620176
15,microsoft/swin-small-patch4-window7-224,0.8160860805765858
16,Ahmed9275/ALL-3,0.8089945121536852
17,facebook/convnext-large-224,0.8525909713864789
18,WinKawaks/vit-tiny-patch16-224,0.8045440843223874
19,Visual-Attention-Network/van-tiny,0.7928514759964056
20,facebook/deit-tiny-distilled-patch16-224,0.7775760668029964
21,Ahmed9275/ALL-test,0.8196788863302079
22,facebook/deit-tiny-patch16-224,0.7923991313496692
23,microsoft/swin-tiny-patch4-window7-224,0.8085286175368184
24,Visual-Attention-Network/van-large,0.8208532617886128
25,google/vit-base-patch32-384,0.9047531558303918
26,facebook/convnext-base-224-22k-1k,0.814486212041698
27,google/vit-large-patch32-384,0.9814176550987486
28,microsoft/swin-large-patch4-window7-224,0.8682976061267982
29,lysandre/tiny-vit-random,0.8092700056812279
30,facebook/convnext-large-224-22k-1k,0.8550961200155721
31,facebook/convnext-base-384,0.9015196405114252
32,microsoft/resnet-50,0.8057380135858603
33,microsoft/beit-base-patch16-224-pt22k,0.8156226735330795
34,microsoft/beit-large-patch16-224,0.8894556699409525
35,google/vit-large-patch16-224,0.916584160350914
36,nielsr/convnext-xlarge-224-22k-1k,0.9084272099399269
37,facebook/deit-base-patch16-384,0.9158470285695959
38,google/vit-base-patch16-384,0.9174588906466801
39,facebook/deit-base-distilled-patch16-384,0.9069029566326464
40,facebook/convnext-xlarge-224-22k-1k,0.9057429467039211
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8892963274647085
42,karthiksv/vit-base-patch16-224-cifar10,0.8812218282033167
43,nateraw/vit-base-patch16-224-cifar10,0.8750324584176009
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8811777686783638
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8870019054837214
46,jadohu/BEiT-finetuned,0.8563440415058653
47,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8907899221042308
48,nateraw/vit-base-beans-demo,0.8942714672872848
49,nickmuchi/vit-base-beans,0.8988557859673072
50,karthiksv/vit-base-beans,0.8854475809256627
51,nateraw/vit-base-beans-demo-v3,0.8930653610555592
52,johnnydevriese/vit_beans,0.8853795410085666
53,nateraw/vit-base-beans-demo-v2,0.9078186906909586
54,mmekias/vit-base-beans,0.8862914607506326
55,nateraw/vit-base-beans,0.8984385013165008
56,mrm8488/convnext-tiny-finetuned-beans,0.8502218883278189
57,nielsr/vit-finetuned-eurosat-kornia,0.8554569056127701
58,mrm8488/convnext-tiny-finetuned-eurosat,0.8211435868490305
59,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8211421079068012
60,Calin/convnext-tiny-finteuned-eurosat,0.8194110052588407
61,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8173989388903614
62,nielsr/convnext-tiny-finetuned-eurostat,0.8140246628078934
63,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8360349422356532
64,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8347472321113019
65,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8403005931523059
66,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8345766768534053
67,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8350409109496463
68,nielsr/convnext-tiny-finetuned-eurosat,0.8233858662804018
69,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8345014745504031
70,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8417621796338665
71,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8369142140354346
72,nielsr/van-base-finetuned-eurosat-imgaug,0.8415332946319101
73,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8344746118326973
74,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8430095429418354
75,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8336588140362388
76,eren23/pneumonia_test_attempt,0.8813714974220908
77,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8782432274176597
78,nickmuchi/vit-base-xray-pneumonia,0.888566321587787
79,facebook/convnext-base-224-22k,0.8529361469194012
80,microsoft/swin-large-patch4-window7-224-in22k,0.910027184640002
81,microsoft/swin-base-patch4-window7-224-in22k,0.8652387268215058
82,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8408493286450789
83,facebook/convnext-large-224-22k,0.8918539720782293
84,facebook/convnext-xlarge-224-22k,0.9540319719737157
85,microsoft/swin-base-patch4-window12-384-in22k,0.9524373649599266
86,microsoft/beit-large-patch16-224-pt22k-ft22k,0.9493157281948765
87,nielsr/convnext-xlarge-224-22k,0.9532232013940277
88,nickmuchi/vit-finetuned-cats-dogs,0.7610549650573311
89,ismgar01/vit-base-cats-vs-dogs,0.752768384366833
90,akahana/vit-base-cats-vs-dogs,0.759944178245926
91,nateraw/vit-base-cats-vs-dogs,0.7475853355902023
92,nateraw/test_model_a,0.7128823806780962
93,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8880217329083608
94,Matthijs/snacks-classifier,0.860693383424171
95,nateraw/vit-base-food101,0.8399116041484759
96,eslamxm/vit-base-food101,0.8366126187920989
97,SriramSridhar78/sriram-car-classifier,0.8151376234369352
98,imjeffhi/pokemon_classifier,0.8297563442861623
99,AkshatSurolia/ViT-FaceMask-Finetuned,0.8061735767790612
100,AkshatSurolia/BEiT-FaceMask-Finetuned,0.7864914918333683
101,AkshatSurolia/DeiT-FaceMask-Finetuned,0.7943446215664893
102,Ahmed9275/Vit-Cifar100,0.8771129487498613
