,model,score
0,firebolt/llama_or_what2,0.265625
1,google/vit-base-patch16-224,0.28125
2,nateraw/denver-nyc-paris,0.25
3,black/simple_kitchen,0.265625
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.234375
5,Suzana/new-york-tokyo-london,0.25
6,filipafcastro/beer_vs_wine,0.3125
7,nateraw/baked-goods,0.28125
8,ajanco/greens,0.3125
9,nateraw/vit-base-beans-demo,0.3125
10,HHousen/household-rooms,0.28125
11,Amrrs/indian-foods,0.265625
12,nateraw/planes-trains-automobiles,0.28125
13,julien-c/hotdog-not-hotdog,0.25
14,jmarshall/rare-puppers,0.28125
15,nielsr/vit-finetuned-eurosat-kornia,0.234375
16,eren23/pneumonia_test_attempt,0.3125
17,micole66/dwarf-goats,0.296875
18,nateraw/ex-for-evan,0.265625
19,karthiksv/vit-base-patch16-224-cifar10,0.296875
20,ferdinand/rare-puppers,0.28125
21,ipvikas/rare-puppers,0.296875
22,Frodnar/bee-likes,0.28125
23,nickmuchi/vit-base-beans,0.234375
24,nateraw/baseball-stadium-foods,0.328125
25,Giuliano/places,0.28125
26,firas-spanioli/beer-whisky-wine-detection,0.28125
27,jjhoffstein/lotr,0.28125
28,Nonem100/Test-Model,0.28125
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.3125
30,LorenzoDeMattei/lawn-weeds,0.3125
31,nateraw/doggos-lol,0.234375
32,IDEA-CCNL/Taiyi-vit-87M-D,0.296875
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.3125
34,karthiksv/vit-base-beans,0.296875
35,Symbermine/rare-puppers,0.3125
36,nateraw/vit-base-patch16-224-cifar10,0.3125
37,gatecitypreservation/architectural_styles,0.28125
38,Amrrs/south-indian-foods,0.28125
39,hafidber/fruits,0.265625
40,nateraw/rare-puppers-123,0.28125
41,Aftabhussain/Tomato_Leaf_Classifier,0.296875
42,nickmuchi/vit-base-xray-pneumonia,0.234375
43,Neto71/sea_mammals,0.28125
44,lewtun/oz-fauna,0.3125
45,hgarg/fruits,0.28125
46,jasmeen/dogs,0.28125
47,b25mayank3/shirt_identifier,0.3125
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.25
49,facebook/convnext-base-224-22k,0.34375
50,nickmuchi/vit-finetuned-cats-dogs,0.3125
51,godiec/diam,0.3125
52,Rajaram1996/FacialEmoRecog,0.296875
53,nateraw/vit-base-beans-demo-v3,0.3125
54,firebolt/llama_or_what,0.3125
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.296875
56,johnnydevriese/vit_beans,0.3125
57,nateraw/vit-age-classifier,0.265625
58,nateraw/vit-base-beans-demo-v2,0.234375
59,mmekias/vit-base-beans,0.25
60,juanfiguera/ice_cream,0.296875
61,drab/Infrastructures,0.28125
62,nateraw/vit-base-beans,0.296875
63,Sena/dog,0.28125
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.171875
65,hafidber/rare-puppers,0.3125
66,edixo/road_good_damaged_condition,0.28125
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.3125
68,Sena/flowers,0.28125
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.28125
