,model,score
0,google/vit-base-patch16-224,0.241766076572965
1,IDEA-CCNL/Taiyi-vit-87M-D,0.19317818521710406
2,facebook/deit-base-patch16-224,0.25930019928912407
3,facebook/deit-base-distilled-patch16-224,0.31428030248793093
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.12683178678754892
5,facebook/convnext-base-224,0.21210696683873032
6,facebook/convnext-small-224,0.25349502592149764
7,microsoft/swin-base-patch4-window7-224,0.2935791225686154
8,microsoft/beit-base-patch16-224,-0.14433653602381247
9,facebook/convnext-tiny-224,0.25685482302762686
10,Visual-Attention-Network/van-small,0.23456191471667953
11,WinKawaks/vit-small-patch16-224,0.13836870481449526
12,facebook/deit-small-distilled-patch16-224,0.2706192792250528
13,Visual-Attention-Network/van-base,0.23662693271080082
14,facebook/deit-small-patch16-224,0.20031105260874082
15,microsoft/swin-small-patch4-window7-224,0.15379911856740425
16,Ahmed9275/ALL-3,0.20525283383499482
17,facebook/convnext-large-224,0.22887194100327002
18,WinKawaks/vit-tiny-patch16-224,-0.026087322708505112
19,Visual-Attention-Network/van-tiny,0.11650834107935892
20,facebook/deit-tiny-distilled-patch16-224,0.14819292773319437
21,Ahmed9275/ALL-test,0.19925938542355093
22,facebook/deit-tiny-patch16-224,0.1227211184845236
23,microsoft/swin-tiny-patch4-window7-224,0.32430254094477595
24,Visual-Attention-Network/van-large,0.08728521677720769
25,google/vit-base-patch32-384,0.18231247798043604
26,facebook/convnext-base-224-22k-1k,0.21664553181446833
27,google/vit-large-patch32-384,0.23040354819373976
28,microsoft/swin-large-patch4-window7-224,0.3091683995125839
29,lysandre/tiny-vit-random,-0.41912382152112615
30,facebook/convnext-large-224-22k-1k,0.2846854082068647
31,facebook/convnext-base-384,0.26141802443027184
32,microsoft/resnet-50,0.15130444749324268
33,microsoft/beit-base-patch16-224-pt22k,-0.21755364534017962
34,microsoft/beit-large-patch16-224,-0.03835936013991259
35,google/vit-large-patch16-224,0.2449096559338665
36,nielsr/convnext-xlarge-224-22k-1k,0.2898063583325684
37,facebook/deit-base-patch16-384,0.31536660986008813
38,google/vit-base-patch16-384,0.25954212431267243
39,facebook/deit-base-distilled-patch16-384,0.30963093580435297
40,facebook/convnext-xlarge-224-22k-1k,0.27057241238898266
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.2692205156029205
42,karthiksv/vit-base-patch16-224-cifar10,0.28335928038488156
43,nateraw/vit-base-patch16-224-cifar10,0.20853949145809747
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.28336882411296493
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.23496948602964862
46,jadohu/BEiT-finetuned,0.12098595837887216
47,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.26095303186625973
48,nateraw/vit-base-beans-demo,0.20392103091407743
49,nickmuchi/vit-base-beans,0.23151901333042468
50,karthiksv/vit-base-beans,0.25852486655384754
51,nateraw/vit-base-beans-demo-v3,0.2074102563893181
52,johnnydevriese/vit_beans,0.20134380767169735
53,nateraw/vit-base-beans-demo-v2,0.23468532814936072
54,mmekias/vit-base-beans,0.21553583554935396
55,nateraw/vit-base-beans,0.24651176093209448
56,mrm8488/convnext-tiny-finetuned-beans,0.2153337185231624
57,nielsr/vit-finetuned-eurosat-kornia,0.0675249949113591
58,mrm8488/convnext-tiny-finetuned-eurosat,0.18019725571487522
59,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.2884005547928373
60,Calin/convnext-tiny-finteuned-eurosat,0.12412187201309177
61,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.13843312410860542
62,nielsr/convnext-tiny-finetuned-eurostat,0.21972419277868593
63,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.10846894091033776
64,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1314253325592375
65,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1975261508930357
66,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1900846787608954
67,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.28537409331025876
68,nielsr/convnext-tiny-finetuned-eurosat,0.2196888605111167
69,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.07896512059598337
70,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.18606002289009305
71,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1533139714533921
72,nielsr/van-base-finetuned-eurosat-imgaug,0.1185522688401629
73,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.15100955441174335
74,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.1448198873009504
75,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.16812684830349023
76,eren23/pneumonia_test_attempt,0.2112323237499253
77,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.20536483557037322
78,nickmuchi/vit-base-xray-pneumonia,0.1742726724719652
79,facebook/convnext-base-224-22k,0.21629973319563756
80,microsoft/swin-large-patch4-window7-224-in22k,0.3505894650148599
81,microsoft/swin-base-patch4-window7-224-in22k,0.30954341810829744
82,microsoft/beit-base-patch16-224-pt22k-ft22k,0.19476704703454928
83,facebook/convnext-large-224-22k,0.2854046856789193
84,facebook/convnext-xlarge-224-22k,0.33382499936957966
85,microsoft/swin-base-patch4-window12-384-in22k,0.18389401711674092
86,microsoft/beit-large-patch16-224-pt22k-ft22k,0.14731166921158945
87,nielsr/convnext-xlarge-224-22k,0.22971177692121358
88,nickmuchi/vit-finetuned-cats-dogs,0.2334056527070153
89,ismgar01/vit-base-cats-vs-dogs,0.25335505180314877
90,akahana/vit-base-cats-vs-dogs,0.19314620317433961
91,nateraw/vit-base-cats-vs-dogs,0.2562771426023793
92,nateraw/test_model_a,-0.3840210508113431
93,matteopilotto/vit-base-patch16-224-in21k-snacks,0.17227069005645068
94,Matthijs/snacks-classifier,0.23157429182741207
95,nateraw/vit-base-food101,0.2355539401841612
96,eslamxm/vit-base-food101,0.17792339481410546
97,SriramSridhar78/sriram-car-classifier,0.12390917790990952
98,imjeffhi/pokemon_classifier,0.243978716238354
99,AkshatSurolia/ViT-FaceMask-Finetuned,0.11804362027194881
100,AkshatSurolia/BEiT-FaceMask-Finetuned,0.00675703087355628
101,AkshatSurolia/DeiT-FaceMask-Finetuned,0.2306187830550902
102,Ahmed9275/Vit-Cifar100,0.12360794527318442
