,model,score
0,Rajaram1996/FacialEmoRecog,0.9597120493125594
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9661494452557402
2,ibombonato/swin-age-classifier,0.9684400717328486
3,ibombonato/vit-age-classifier,0.961912963202004
4,karthiksv/vit-base-beans,0.9664758298690476
5,nateraw/vit-base-beans-demo-v3,0.949452136239511
6,mmekias/vit-base-beans,0.9583503266447598
7,johnnydevriese/vit_beans,0.9585085055821654
8,mrm8488/convnext-tiny-finetuned-beans,0.9955094604164137
9,nateraw/vit-base-beans-demo,0.9516374272738648
10,nickmuchi/vit-finetuned-cats-dogs,0.983461186010267
11,akahana/vit-base-cats-vs-dogs,0.97135757677764
12,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.969859799787749
13,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9650518839469291
14,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.971543704684289
15,Ahmed9275/Vit-Cifar100,0.8813183169252731
16,nielsr/vit-finetuned-eurosat-kornia,0.9307232986125356
17,nielsr/convnext-tiny-finetuned-eurostat,0.9759307226961192
18,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.9341129466850576
19,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9744682200426084
20,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9341121997942843
21,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9374629067610383
22,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9389584470953779
23,eslamxm/vit-base-food101,0.9060915939648817
24,julien-c/hotdog-not-hotdog,0.9589117423190853
25,edixo/road_good_damaged_condition,0.957387262571965
26,jmarshall/rare-puppers,0.9630520769521035
27,Frodnar/bee-likes,0.9571878140996913
28,drab/Infrastructures,0.9572056266751506
29,nateraw/planes-trains-automobiles,0.9632425936275568
30,lewtun/oz-fauna,0.9567594466140299
31,hgarg/fruits,0.955399125017226
32,Neto71/sea_mammals,0.9585597160529843
33,HHousen/household-rooms,0.9573696502328085
34,nateraw/rare-puppers,0.9632703156905497
35,nateraw/rare-puppers-new-auth,0.9573828140574429
36,Amrrs/south-indian-foods,0.9564844723615424
37,meame2010/rare-puppers,0.9603879118408555
38,black/simple_kitchen,0.969010760695491
39,AhmedSayeem/VIT_Basic,0.9658292008502871
40,nateraw/huggingpics-package-demo-2,0.9559881381482401
41,jeffboudier/vision-transformers-spain-or-italy-fan,0.9710989117322302
42,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9563724142493494
43,hafidber/rare-puppers,0.9625921303432075
44,jasmeen/dogs,0.9567465956209804
45,nateraw/baseball-stadium-foods,0.9670055263702565
46,firas-spanioli/beer-whisky-wine-detection,0.9562582830076516
47,hafidber/fruits,0.9548218757531318
48,Amrrs/indian-foods,0.9557672769802091
49,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9558974043032942
50,ipvikas/rare-puppers,0.9628421241661287
51,nateraw/denver-nyc-paris,0.96661799015615
52,Giuliano/places,0.9557303358094038
53,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9572289968584227
54,Sena/flowers,0.9612207125759077
55,jjhoffstein/lotr,0.9652429847735352
56,gatecitypreservation/architectural_styles,0.9614111026101982
57,micole66/dwarf-goats,0.9635920006201754
58,nateraw/rare-puppers-demo,0.9388181142232963
59,facebook/deit-small-distilled-patch16-224,0.9839791729460393
60,facebook/deit-small-patch16-224,0.90519617234862
61,mrm8488/data2vec-base-finetuned-imagenet1k,0.8669696709768772
62,facebook/deit-base-patch16-224,0.9614979539521918
63,IDEA-CCNL/Taiyi-vit-87M-D,0.9613257951137343
64,facebook/convnext-small-224,1.0128298594295864
65,lysandre/tiny-vit-random,0.09264457635273438
66,facebook/convnext-base-224,0.9553560028456675
67,microsoft/beit-base-patch16-224-pt22k,0.6683558418390203
68,facebook/convnext-base-224-22k-1k,1.0330658823147467
69,microsoft/beit-base-patch16-224,0.7020865925191875
70,google/vit-large-patch16-224,1.004870906527484
71,nielsr/convnext-xlarge-224-22k-1k,1.0263730503688684
72,Visual-Attention-Network/van-small,0.9548536445283712
73,microsoft/resnet-50,0.8846434967247021
74,Visual-Attention-Network/van-large,0.9020045911582522
75,facebook/convnext-large-224,0.9871666117732534
76,google/vit-base-patch32-384,0.9602873846054802
77,facebook/deit-base-distilled-patch16-384,0.9508064988112258
78,facebook/convnext-xlarge-224-22k-1k,1.0233277722566296
79,google/vit-large-patch32-384,0.9471427079890462
80,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8034264700546785
81,facebook/convnext-xlarge-224-22k,1.0988685379790595
82,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8541584037645122
83,facebook/convnext-base-224-22k,1.0228910441025165
84,imjeffhi/pokemon_classifier,0.9564602352202866
85,AkshatSurolia/ViT-FaceMask-Finetuned,0.9416162093511133
86,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.9727643074298523
87,SriramSridhar78/sriram-car-classifier,0.9859430042069527
