,mappedID,model,score
0,73,Aftabhussain/Tomato_Leaf_Classifier,-0.520412
1,74,Ahmed9275/ALL-3,-0.493929
2,75,Ahmed9275/ALL-test,-0.51200217
3,76,Ahmed9275/Vit-Cifar100,-0.520412
4,77,AhmedSayeem/VIT_Basic,-0.49423504
5,78,AkshatSurolia/BEiT-FaceMask-Finetuned,-0.48376432
6,79,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-0.48909733
7,80,AkshatSurolia/DeiT-FaceMask-Finetuned,-0.49291837
8,81,AkshatSurolia/ViT-FaceMask-Finetuned,-0.50359225
9,82,Amrrs/indian-foods,-0.520412
10,83,Amrrs/south-indian-foods,-0.520412
11,84,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.49791723
12,85,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.5132782
13,86,Calin/convnext-tiny-finteuned-eurosat,-0.520412
14,87,Frodnar/bee-likes,-0.51238644
15,88,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.50251794
16,89,Giuliano/places,-0.48948163
17,90,HHousen/household-rooms,-0.4984981
18,91,Hijazzi/rare-puppers,-0.49566776
19,92,IDEA-CCNL/Taiyi-vit-87M-D,-0.520412
20,93,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.48948163
21,94,LorenzoDeMattei/lawn-weeds,-0.48948163
22,95,Matthijs/snacks-classifier,-0.49953556
23,96,Neto71/sea_mammals,-0.49423504
24,97,Nonem100/Test-Model,-0.49566776
25,98,Rajaram1996/FacialEmoRecog,-0.49536029
26,99,Sena/dog,-0.5108007
27,100,Sena/flowers,-0.45746756
28,101,SriramSridhar78/sriram-car-classifier,-0.49291837
29,102,Suzana/new-york-tokyo-london,-0.4918009
30,103,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-0.520412
31,104,Symbermine/rare-puppers,-0.51368415
32,105,Visual-Attention-Network/van-base,-0.49291837
33,106,Visual-Attention-Network/van-large,-0.51293665
34,107,Visual-Attention-Network/van-small,-0.51368415
35,108,Visual-Attention-Network/van-tiny,0.033346213
36,109,WinKawaks/vit-small-patch16-224,-0.49798572
37,110,WinKawaks/vit-tiny-patch16-224,-0.520412
38,111,Zayn/VIT_Basic,-0.5069562
39,112,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.520412
40,113,ajanco/greens,-0.5039766
41,114,akahana/vit-base-cats-vs-dogs,-0.4918009
42,115,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.4918009
43,116,b25mayank3/shirt_identifier,-0.5108007
44,117,black/simple_kitchen,-0.520412
45,118,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.4984981
46,119,drab/Infrastructures,-0.51293665
47,120,driboune/skin_type,-0.51200217
48,121,edixo/road_good_damaged_condition,-0.4898723
49,122,eren23/pneumonia_test_attempt,-0.4984981
50,123,eslamxm/vit-base-food101,-1.5186863
51,124,facebook/convnext-base-224,-0.5132782
52,125,facebook/convnext-base-224-22k,-0.51238644
53,126,facebook/convnext-base-224-22k-1k,-0.4921399
54,127,facebook/convnext-base-384,-0.47892886
55,128,facebook/convnext-base-384-22k-1k,-0.520412
56,129,facebook/convnext-large-224,-0.50757116
57,130,facebook/convnext-large-224-22k,-0.4827158
58,131,facebook/convnext-large-224-22k-1k,-0.49807495
59,132,facebook/convnext-large-384,-0.520412
60,133,facebook/convnext-large-384-22k-1k,-0.5011895
61,134,facebook/convnext-small-224,-0.5005357
62,135,facebook/convnext-tiny-224,-0.4992256
63,136,facebook/convnext-xlarge-224-22k,-0.49119344
64,137,facebook/convnext-xlarge-224-22k-1k,-0.4984981
65,138,facebook/deit-base-distilled-patch16-224,-0.51238644
66,139,facebook/deit-base-distilled-patch16-384,-0.5039766
67,140,facebook/deit-base-patch16-224,-0.50580275
68,141,facebook/deit-base-patch16-384,-0.520412
69,142,facebook/deit-small-distilled-patch16-224,-0.50359225
70,143,facebook/deit-small-patch16-224,-0.5045222
71,144,facebook/deit-tiny-distilled-patch16-224,-0.49798572
72,145,facebook/deit-tiny-patch16-224,-0.5069562
73,146,ferdinand/rare-puppers,-0.4984981
74,147,filipafcastro/beer_vs_wine,-0.508459
75,148,firas-spanioli/beer-whisky-wine-detection,-0.5069562
76,149,firebolt/llama_or_what,-0.4854429
77,150,firebolt/llama_or_what2,-0.48376432
78,151,flyswot/test,-0.4898723
79,152,gatecitypreservation/architectural_styles,-0.5069562
80,153,godiec/diam,-0.520412
81,154,google/vit-base-patch16-224,-0.51200217
82,155,google/vit-base-patch16-384,-0.50971127
83,156,google/vit-base-patch32-384,-0.5069562
84,157,google/vit-large-patch16-224,-0.5089597
85,158,google/vit-large-patch32-384,-0.5011895
86,159,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.50514215
87,160,hafidber/fruits,-0.5139916
88,161,hafidber/rare-puppers,-0.48893982
89,162,hgarg/fruits,-0.5108007
90,163,hgarg/indian-snacks,-0.5069562
91,164,ibombonato/swin-age-classifier,-0.50162864
92,165,ibombonato/vit-age-classifier,-0.5108007
93,166,imjeffhi/pokemon_classifier,-0.63943374
94,167,ipvikas/rare-puppers,-0.520412
95,168,ismgar01/vit-base-cats-vs-dogs,-0.51238644
96,169,iyzg/computer-stuff,-0.51293665
97,170,jadohu/BEiT-finetuned,-0.50359225
98,171,jasmeen/dogs,-0.4854429
99,172,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-0.5000522
100,173,jeffboudier/vision-transformers-spain-or-italy-fan,-0.4979319
101,174,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.48376432
102,175,jjhoffstein/lotr,-0.48506302
103,176,jmarshall/rare-puppers,-0.4754517
104,177,johnnydevriese/vit-airplanes,-0.49291837
105,178,johnnydevriese/vit_beans,-0.51123995
106,179,juanfiguera/ice_cream,-0.4984981
107,180,julien-c/hotdog-not-hotdog,-0.45746756
108,181,karthiksv/vit-base-beans,-0.51429576
109,182,karthiksv/vit-base-patch16-224-cifar10,-0.50971127
110,183,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.4918009
111,184,lewtun/oz-fauna,-0.45855117
112,185,lysandre/tiny-vit-random,-0.520412
113,186,matteopilotto/vit-base-patch16-224-in21k-snacks,-0.49291837
114,187,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.520412
115,188,meame2010/rare-puppers,-0.48506302
116,189,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.51368415
117,190,michaelbenayoun/vit-base-beans,-0.51457524
118,191,micole66/dwarf-goats,-0.5069562
119,192,microsoft/beit-base-patch16-224,-0.48376432
120,193,microsoft/beit-base-patch16-224-pt22k,-0.48376432
121,194,microsoft/beit-base-patch16-224-pt22k-ft22k,-0.4898723
122,195,microsoft/beit-base-patch16-384,-0.520412
123,196,microsoft/beit-large-patch16-224,-0.4975072
124,197,microsoft/beit-large-patch16-224-pt22k-ft22k,-0.520412
125,198,microsoft/beit-large-patch16-384,-0.520412
126,199,microsoft/resnet-50,-0.48863232
127,200,microsoft/swin-base-patch4-window12-384,-0.520412
128,201,microsoft/swin-base-patch4-window12-384-in22k,-0.50971127
129,202,microsoft/swin-base-patch4-window7-224,-0.8867392
130,203,microsoft/swin-base-patch4-window7-224-in22k,-0.49832729
131,204,microsoft/swin-large-patch4-window12-384,-2.2608547
132,205,microsoft/swin-large-patch4-window12-384-in22k,-0.520412
133,206,microsoft/swin-large-patch4-window7-224,-0.50514215
134,207,microsoft/swin-large-patch4-window7-224-in22k,-0.46386763
135,208,microsoft/swin-small-patch4-window7-224,-0.50482965
136,209,microsoft/swin-tiny-patch4-window7-224,-0.520412
137,210,mmekias/vit-base-beans,-0.4941153
138,211,mmgyorke/vit-world-landmarks,-0.50162864
139,212,mrm8488/convnext-tiny-finetuned-beans,-0.50919884
140,213,mrm8488/convnext-tiny-finetuned-eurosat,-0.49943054
141,214,mrm8488/data2vec-base-finetuned-imagenet1k,-0.520412
142,215,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,-0.48948163
143,216,nateraw/baked-goods,-0.5108007
144,217,nateraw/baseball-stadium-foods,-0.4984981
145,218,nateraw/denver-nyc-paris,-0.4791715
146,219,nateraw/doggos-lol,-0.4875411
147,220,nateraw/donut-or-bagel,-0.5000522
148,221,nateraw/ex-for-evan,-0.50971127
149,222,nateraw/food,-0.520412
150,223,nateraw/huggingpics-package-demo-2,-0.4846238
151,224,nateraw/pasta-pizza-ravioli,-0.4898723
152,225,nateraw/pasta-shapes,-0.4703085
153,226,nateraw/planes-trains-automobiles,-0.4979319
154,227,nateraw/rare-puppers,-0.49763772
155,228,nateraw/rare-puppers-09-04-2021,-0.51200217
156,229,nateraw/rare-puppers-123,-0.49418515
157,230,nateraw/rare-puppers-demo,-0.48376432
158,231,nateraw/rare-puppers-new-auth,-0.4918009
159,232,nateraw/test_model_a,-0.42879274
160,233,nateraw/trainer-rare-puppers,-0.4925767
161,234,nateraw/vit-age-classifier,-0.49418515
162,235,nateraw/vit-base-beans,-0.48909733
163,236,nateraw/vit-base-beans-demo,-0.4854429
164,237,nateraw/vit-base-beans-demo-v2,-0.51293665
165,238,nateraw/vit-base-beans-demo-v3,-0.48948163
166,239,nateraw/vit-base-cats-vs-dogs,-0.5072637
167,240,nateraw/vit-base-food101,-0.48107174
168,241,nateraw/vit-base-patch16-224-cifar10,-0.51238644
169,242,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.5072637
170,243,nickmuchi/vit-base-beans,-0.50137794
171,244,nickmuchi/vit-base-xray-pneumonia,-0.4875411
172,245,nickmuchi/vit-finetuned-cats-dogs,-0.51200217
173,246,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.48376432
174,247,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-0.48107174
175,248,nielsr/convnext-tiny-finetuned-eurosat,-0.49418515
176,249,nielsr/convnext-tiny-finetuned-eurostat,-0.51429576
177,250,nielsr/convnext-xlarge-224-22k,-0.5020679
178,251,nielsr/convnext-xlarge-224-22k-1k,-0.520412
179,252,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-0.49566776
180,253,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.50375396
181,254,nielsr/van-base-finetuned-eurosat-imgaug,-0.520412
182,255,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.520412
183,256,nielsr/vit-finetuned-eurosat-kornia,-0.4925767
184,257,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,-0.4975072
