,model,score
0,Rajaram1996/FacialEmoRecog,-53442.160808931294
1,matteopilotto/vit-base-patch16-224-in21k-snacks,-53442.148124548854
2,ibombonato/swin-age-classifier,-53442.164843753315
3,ibombonato/vit-age-classifier,-53442.15670234371
4,karthiksv/vit-base-beans,-53442.14657250457
5,nateraw/vit-base-beans-demo-v3,-53442.15883781355
6,mmekias/vit-base-beans,-53442.14553344398
7,johnnydevriese/vit_beans,-53442.14665628143
8,mrm8488/convnext-tiny-finetuned-beans,-53442.1440370372
9,nateraw/vit-base-beans-demo,-53442.15635694873
10,nickmuchi/vit-finetuned-cats-dogs,-53442.13385110833
11,akahana/vit-base-cats-vs-dogs,-53442.142863756875
12,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-53442.16350042309
13,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-53442.148013194834
14,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-53442.161795598164
15,Ahmed9275/Vit-Cifar100,-53442.26697358544
16,nielsr/vit-finetuned-eurosat-kornia,-53442.15939047636
17,nielsr/convnext-tiny-finetuned-eurostat,-53442.145839462726
18,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-53442.17254520806
19,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-53442.1487211981
20,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-53442.17262785445
21,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-53442.16882757771
22,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-53442.165937264304
23,eslamxm/vit-base-food101,-53442.21214716903
24,julien-c/hotdog-not-hotdog,-53442.15776030393
25,edixo/road_good_damaged_condition,-53442.16122888819
26,jmarshall/rare-puppers,-53442.17175851767
27,Frodnar/bee-likes,-53442.15974037076
28,drab/Infrastructures,-53442.16097585717
29,nateraw/planes-trains-automobiles,-53442.15524214186
30,lewtun/oz-fauna,-53442.16053249268
31,hgarg/fruits,-53442.1635910404
32,Neto71/sea_mammals,-53442.1584423653
33,HHousen/household-rooms,-53442.1597474685
34,nateraw/rare-puppers,-53442.171767163905
35,nateraw/rare-puppers-new-auth,-53442.16038801313
36,Amrrs/south-indian-foods,-53442.16107643496
37,meame2010/rare-puppers,-53442.15368932989
38,black/simple_kitchen,-53442.14539467392
39,AhmedSayeem/VIT_Basic,-53442.15142538602
40,nateraw/huggingpics-package-demo-2,-53442.16250181847
41,jeffboudier/vision-transformers-spain-or-italy-fan,-53442.1410143362
42,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-53442.16147105774
43,hafidber/rare-puppers,-53442.17246229897
44,jasmeen/dogs,-53442.16249700045
45,nateraw/baseball-stadium-foods,-53442.15014868596
46,firas-spanioli/beer-whisky-wine-detection,-53442.16261780106
47,hafidber/fruits,-53442.16446304876
48,Amrrs/indian-foods,-53442.162591345
49,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-53442.16341857999
50,ipvikas/rare-puppers,-53442.172190978745
51,nateraw/denver-nyc-paris,-53442.14995566131
52,Giuliano/places,-53442.16359997413
53,AykeeSalazar/vc-bantai-vit-withoutAMBI,-53442.16133648646
54,Sena/flowers,-53442.15223982677
55,jjhoffstein/lotr,-53442.14561023192
56,gatecitypreservation/architectural_styles,-53442.15443370803
57,micole66/dwarf-goats,-53442.14976190166
58,nateraw/rare-puppers-demo,-53442.15069815818
59,facebook/deit-small-distilled-patch16-224,-53442.15167521895
60,facebook/deit-small-patch16-224,-53442.21407817544
61,mrm8488/data2vec-base-finetuned-imagenet1k,-53442.185465929186
62,facebook/deit-base-patch16-224,-53442.15009540587
63,IDEA-CCNL/Taiyi-vit-87M-D,-53442.150364091314
64,facebook/convnext-small-224,-53442.12804927374
65,lysandre/tiny-vit-random,-53443.0176690822
66,facebook/convnext-base-224,-53442.190996986654
67,microsoft/beit-base-patch16-224-pt22k,-53442.48910605229
68,facebook/convnext-base-224-22k-1k,-53442.10189460116
69,microsoft/beit-base-patch16-224,-53442.3959922862
70,google/vit-large-patch16-224,-53442.19524018711
71,nielsr/convnext-xlarge-224-22k-1k,-53442.09000376698
72,Visual-Attention-Network/van-small,-53442.16903191341
73,microsoft/resnet-50,-53442.22356536481
74,Visual-Attention-Network/van-large,-53442.227945402425
75,facebook/convnext-large-224,-53442.14631959784
76,google/vit-base-patch32-384,-53442.15146557547
77,facebook/deit-base-distilled-patch16-384,-53442.186187016414
78,facebook/convnext-xlarge-224-22k-1k,-53442.09330887282
79,google/vit-large-patch32-384,-53442.14965822834
80,microsoft/beit-base-patch16-224-pt22k-ft22k,-53442.28742752058
81,facebook/convnext-xlarge-224-22k,-53442.007225863126
82,microsoft/beit-large-patch16-224-pt22k-ft22k,-53442.18415165134
83,facebook/convnext-base-224-22k,-53442.116011160746
84,imjeffhi/pokemon_classifier,-53442.16118288081
85,AkshatSurolia/ViT-FaceMask-Finetuned,-53442.14167917032
86,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,-53442.14626660304
87,SriramSridhar78/sriram-car-classifier,-53442.148081125386
