,model,score
0,firebolt/llama_or_what2,1.805263789816788
1,google/vit-base-patch16-224,1.7775785552495016
2,nateraw/denver-nyc-paris,1.7629209414081153
3,black/simple_kitchen,1.7780291873842522
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.7716370286423206
5,Suzana/new-york-tokyo-london,1.746365377324178
6,filipafcastro/beer_vs_wine,1.7969835171484867
7,nateraw/baked-goods,1.8031817884310506
8,ajanco/greens,1.7875343375466137
9,nateraw/vit-base-beans-demo,1.722218652085271
10,HHousen/household-rooms,1.7891809925686637
11,Amrrs/indian-foods,1.7870937114471594
12,nateraw/planes-trains-automobiles,1.7388088278024334
13,julien-c/hotdog-not-hotdog,1.7175846406746125
14,jmarshall/rare-puppers,1.7914017576976669
15,nielsr/vit-finetuned-eurosat-kornia,1.7409226322674236
16,eren23/pneumonia_test_attempt,1.7764115481067257
17,micole66/dwarf-goats,1.7964078162486423
18,nateraw/ex-for-evan,1.7996241667400135
19,karthiksv/vit-base-patch16-224-cifar10,1.7941762761951559
20,ferdinand/rare-puppers,1.7794320375900448
21,ipvikas/rare-puppers,1.765480666763029
22,Frodnar/bee-likes,1.8032403839808602
23,nickmuchi/vit-base-beans,1.824971835847105
24,nateraw/baseball-stadium-foods,1.8191293926239105
25,Giuliano/places,1.7856453540981185
26,firas-spanioli/beer-whisky-wine-detection,1.800046341607537
27,jjhoffstein/lotr,1.77817892278129
28,Nonem100/Test-Model,1.7384998737007642
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,1.7668087665533712
30,LorenzoDeMattei/lawn-weeds,1.8138286133583073
31,nateraw/doggos-lol,1.800700060431705
32,IDEA-CCNL/Taiyi-vit-87M-D,1.7677379290391109
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,1.7807907822666458
34,karthiksv/vit-base-beans,1.7963878973553555
35,Symbermine/rare-puppers,1.8220977747290412
36,nateraw/vit-base-patch16-224-cifar10,1.8056027682880789
37,gatecitypreservation/architectural_styles,1.8015721856701212
38,Amrrs/south-indian-foods,1.7651096980967829
39,hafidber/fruits,1.7799398059963032
40,nateraw/rare-puppers-123,1.7885133757445537
41,Aftabhussain/Tomato_Leaf_Classifier,1.7650051453699156
42,nickmuchi/vit-base-xray-pneumonia,1.7813488141292986
43,Neto71/sea_mammals,1.7278232457539993
44,lewtun/oz-fauna,1.735252670602133
45,hgarg/fruits,1.763622413825491
46,jasmeen/dogs,1.8195210176420353
47,b25mayank3/shirt_identifier,1.7921883220007508
48,jeffboudier/vision-transformers-spain-or-italy-fan,1.7629147991604235
49,facebook/convnext-base-224-22k,1.8225927258292351
50,nickmuchi/vit-finetuned-cats-dogs,1.784676803487013
51,godiec/diam,1.809394769615043
52,Rajaram1996/FacialEmoRecog,1.7821138786665252
53,nateraw/vit-base-beans-demo-v3,1.7358957582086525
54,firebolt/llama_or_what,1.7537948006299011
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1.70864179164165
56,johnnydevriese/vit_beans,1.7812180717433925
57,nateraw/vit-age-classifier,1.7832168954788834
58,nateraw/vit-base-beans-demo-v2,1.822036279836805
59,mmekias/vit-base-beans,1.83552958109669
60,juanfiguera/ice_cream,1.786051634575582
61,drab/Infrastructures,1.7710991971705745
62,nateraw/vit-base-beans,1.731553117454677
63,Sena/dog,1.7741712412025556
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1.7649465292515139
65,hafidber/rare-puppers,1.7344515875630115
66,edixo/road_good_damaged_condition,1.6531497936999138
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,1.780086354406965
68,Sena/flowers,1.8037772671530767
69,matteopilotto/vit-base-patch16-224-in21k-snacks,1.7390235761802408
70,johnnydevriese/vit-airplanes,1.7909712963143711
71,nateraw/pasta-shapes,1.7118104408583186
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,1.803003930539763
73,hgarg/indian-snacks,1.8055093231374393
74,nateraw/vit-base-food101,1.7290469012582328
75,Hijazzi/rare-puppers,1.728629613216885
76,nateraw/trainer-rare-puppers,1.8297238804694835
77,ibombonato/vit-age-classifier,1.7879898747817258
78,nateraw/rare-puppers-new-auth,1.7397418089039896
79,SriramSridhar78/sriram-car-classifier,1.7300504546815922
80,ismgar01/vit-base-cats-vs-dogs,1.800714421364443
81,nateraw/rare-puppers,1.7672721842781023
82,iyzg/computer-stuff,1.7979968633809413
83,nateraw/huggingpics-package-demo-2,1.7316478743409753
84,imjeffhi/pokemon_classifier,1.4965673499359973
85,nateraw/pasta-pizza-ravioli,1.7925979708965833
86,akahana/vit-base-cats-vs-dogs,1.7762484518912025
87,nateraw/donut-or-bagel,1.8039174833089824
88,nateraw/rare-puppers-09-04-2021,1.770040174412916
89,nateraw/vit-base-cats-vs-dogs,1.7924129824821442
90,Zayn/VIT_Basic,1.8388388537534333
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1.796453575130517
92,AkshatSurolia/ViT-FaceMask-Finetuned,1.766839393821197
93,microsoft/swin-large-patch4-window7-224-in22k,1.7964035021139928
94,Ahmed9275/Vit-Cifar100,1.7742520904931816
95,driboune/skin_type,1.7743432179521115
96,microsoft/swin-base-patch4-window7-224-in22k,1.828800236709366
97,facebook/deit-base-patch16-224,1.7959960901367147
98,facebook/deit-base-distilled-patch16-224,1.773316580151171
99,eslamxm/vit-base-food101,1.7728661005229007
100,mrm8488/data2vec-base-finetuned-imagenet1k,1.762519050718847
101,facebook/convnext-base-224,1.7626353749966377
102,facebook/convnext-small-224,1.7892251434838364
103,microsoft/swin-base-patch4-window7-224,1.772106963407463
104,microsoft/beit-base-patch16-224,1.6808226277542424
105,mrm8488/convnext-tiny-finetuned-eurosat,1.7445886056434468
106,mrm8488/convnext-tiny-finetuned-beans,1.7580024713794877
107,facebook/convnext-tiny-224,1.7562610902246583
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,1.7098576971645052
109,microsoft/beit-base-patch16-224-pt22k-ft22k,1.7664523045261582
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,1.6828621861326631
111,Calin/convnext-tiny-finteuned-eurosat,1.745441275783623
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,1.7976554811857746
