,mappedID,model,score
0,73,Aftabhussain/Tomato_Leaf_Classifier,1.5741532
1,74,Ahmed9275/ALL-3,2.128234
2,75,Ahmed9275/ALL-test,1.8861785
3,76,Ahmed9275/Vit-Cifar100,1.5273776
4,77,AhmedSayeem/VIT_Basic,2.506868
5,78,AkshatSurolia/BEiT-FaceMask-Finetuned,2.1206374
6,79,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,2.5863001
7,80,AkshatSurolia/DeiT-FaceMask-Finetuned,2.718399
8,81,AkshatSurolia/ViT-FaceMask-Finetuned,2.4577973
9,82,Amrrs/indian-foods,1.8193903
10,83,Amrrs/south-indian-foods,11.003323
11,84,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,2.2522542
12,85,AykeeSalazar/vc-bantai-vit-withoutAMBI,4.4881086
13,86,Frodnar/bee-likes,2.0363686
14,87,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,2.0566678
15,88,Giuliano/places,2.4447079
16,89,HHousen/household-rooms,2.29732
17,90,Hijazzi/rare-puppers,2.503581
18,91,IDEA-CCNL/Taiyi-vit-87M-D,4.143297
19,92,LorenzoDeMattei/lawn-weeds,2.2835827
20,93,Matthijs/snacks-classifier,2.3610797
21,94,Neto71/sea_mammals,8.96852
22,95,Nonem100/Test-Model,2.5191743
23,96,Rajaram1996/FacialEmoRecog,2.047492
24,97,Sena/dog,12.11159
25,98,Sena/flowers,2.775103
26,99,SriramSridhar78/sriram-car-classifier,2.3959584
27,100,Suzana/new-york-tokyo-london,2.2594368
28,101,Symbermine/rare-puppers,1.7983537
29,102,Visual-Attention-Network/van-base,1.4399519
30,103,Visual-Attention-Network/van-large,2.2674236
31,104,Visual-Attention-Network/van-small,1.4590143
32,105,Visual-Attention-Network/van-tiny,1.7939444
33,106,Zayn/VIT_Basic,23.081392
34,107,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,1.9345685
35,108,ajanco/greens,1.7826355
36,109,akahana/vit-base-cats-vs-dogs,2.5579386
37,110,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,2.1862369
38,111,b25mayank3/shirt_identifier,2.1827216
39,112,black/simple_kitchen,2.3393476
40,113,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,2.4023075
41,114,drab/Infrastructures,2.1633756
42,115,driboune/skin_type,1.9970537
43,116,edixo/road_good_damaged_condition,2.3711724
44,117,eren23/pneumonia_test_attempt,2.6173935
45,118,eslamxm/vit-base-food101,2.145461
46,119,facebook/convnext-base-224,3.8258593
47,120,facebook/convnext-base-224-22k,1.7534056
48,121,facebook/convnext-base-224-22k-1k,2.6668217
49,122,facebook/convnext-base-384,1.8805329
50,123,facebook/convnext-base-384-22k-1k,2.1231816
51,124,facebook/convnext-large-224,3.03296
52,125,facebook/convnext-large-224-22k,2.350987
53,126,facebook/convnext-large-224-22k-1k,1.4259698
54,127,facebook/convnext-large-384,2.025753
55,128,facebook/convnext-large-384-22k-1k,1.946446
56,129,facebook/convnext-small-224,1.8318691
57,130,facebook/convnext-tiny-224,2.4629314
58,131,facebook/convnext-xlarge-224-22k,2.7426953
59,132,facebook/deit-base-distilled-patch16-224,4.7009144
60,133,facebook/deit-base-distilled-patch16-384,2.5371103
61,134,facebook/deit-base-patch16-224,1.9677265
62,135,facebook/deit-base-patch16-384,2.1729
63,136,facebook/deit-small-distilled-patch16-224,2.0989869
64,137,facebook/deit-small-patch16-224,1.3087716
65,138,facebook/deit-tiny-distilled-patch16-224,6.1422195
66,139,facebook/deit-tiny-patch16-224,2.3433108
67,140,ferdinand/rare-puppers,2.5886357
68,141,filipafcastro/beer_vs_wine,2.1253066
69,142,firas-spanioli/beer-whisky-wine-detection,1.931952
70,143,firebolt/llama_or_what,2.2855299
71,144,firebolt/llama_or_what2,1.5030684
72,145,gatecitypreservation/architectural_styles,2.1318655
73,146,godiec/diam,3.5332417
74,147,google/vit-base-patch16-224,1.8953953
75,148,google/vit-base-patch16-384,2.789566
76,149,google/vit-base-patch32-384,1.9173174
77,150,google/vit-large-patch16-224,1.413585
78,151,google/vit-large-patch32-384,1.9379709
79,152,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,2.356224
80,153,hafidber/fruits,2.3077765
81,154,hafidber/rare-puppers,2.3281791
82,155,hgarg/fruits,2.7207246
83,156,hgarg/indian-snacks,2.239678
84,157,ibombonato/swin-age-classifier,2.44619
85,158,ibombonato/vit-age-classifier,2.323348
86,159,imjeffhi/pokemon_classifier,1.6444845
87,160,ipvikas/rare-puppers,2.6770399
88,161,ismgar01/vit-base-cats-vs-dogs,1.5983629
89,162,iyzg/computer-stuff,5.379895
90,163,jadohu/BEiT-finetuned,7.161256
91,164,jasmeen/dogs,2.6643796
92,165,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1.991997
93,166,jeffboudier/vision-transformers-spain-or-italy-fan,2.302053
94,167,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,3.117428
95,168,jjhoffstein/lotr,2.062246
96,169,jmarshall/rare-puppers,2.0323017
97,170,johnnydevriese/vit-airplanes,2.166
98,171,juanfiguera/ice_cream,2.4399252
99,172,julien-c/hotdog-not-hotdog,2.6048765
100,173,lewtun/oz-fauna,2.0951378
101,174,matteopilotto/vit-base-patch16-224-in21k-snacks,2.1090493
102,175,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,2.6282241
103,176,meame2010/rare-puppers,2.5896664
104,177,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,2.5639431
105,178,michaelbenayoun/vit-base-beans,2.233878
106,179,micole66/dwarf-goats,1.7613311
107,180,microsoft/beit-large-patch16-384,2.054879
108,181,microsoft/swin-base-patch4-window12-384,4.1563187
109,182,microsoft/swin-base-patch4-window12-384-in22k,2.701447
110,183,microsoft/swin-base-patch4-window7-224,6.183494
111,184,microsoft/swin-base-patch4-window7-224-in22k,2.2169979
112,185,microsoft/swin-large-patch4-window12-384-in22k,2.1364303
113,186,microsoft/swin-large-patch4-window7-224-in22k,2.1919303
114,187,microsoft/swin-small-patch4-window7-224,2.335009
115,188,microsoft/swin-tiny-patch4-window7-224,1.7248204
116,189,mmgyorke/vit-world-landmarks,3.0026093
117,190,mrm8488/convnext-tiny-finetuned-beans,1.9735289
118,191,mrm8488/convnext-tiny-finetuned-eurosat,16.259045
119,192,nateraw/baked-goods,1.8086692
120,193,nateraw/baseball-stadium-foods,4.353708
121,194,nateraw/denver-nyc-paris,1.7160132
122,195,nateraw/doggos-lol,1.5518185
123,196,nateraw/donut-or-bagel,6.7541347
124,197,nateraw/ex-for-evan,5.938507
125,198,nateraw/food,2.4458144
126,199,nateraw/huggingpics-package-demo-2,2.3280964
127,200,nateraw/pasta-pizza-ravioli,2.6854255
128,201,nateraw/pasta-shapes,2.574851
129,202,nateraw/planes-trains-automobiles,1.8399985
130,203,nateraw/rare-puppers,1.7236407
131,204,nateraw/rare-puppers-09-04-2021,2.491803
132,205,nateraw/rare-puppers-123,2.2970467
133,206,nateraw/rare-puppers-demo,1.980244
134,207,nateraw/rare-puppers-new-auth,2.6883116
135,208,nateraw/trainer-rare-puppers,2.523668
136,209,nateraw/vit-base-beans,2.171914
137,210,nateraw/vit-base-beans-demo,2.101491
138,211,nateraw/vit-base-beans-demo-v2,2.1695275
139,212,nateraw/vit-base-beans-demo-v3,6.4206514
140,213,nateraw/vit-base-cats-vs-dogs,2.3248968
141,214,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,5.6165314
142,215,nickmuchi/vit-base-beans,2.446289
143,216,nickmuchi/vit-finetuned-cats-dogs,2.2349725
144,217,nickmuchi/vit-finetuned-chest-xray-pneumonia,2.4366066
145,218,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,2.4541836
146,219,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,2.511556
147,220,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,1.884171
148,221,nielsr/van-base-finetuned-eurosat-imgaug,4.286542
149,222,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,2.4414504
150,223,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,2.9166527
151,224,nielsr/vit-finetuned-eurosat-kornia,2.4850278
152,225,karthiksv/vit-base-patch16-224-cifar10,5.8478327
153,226,karthiksv/vit-base-beans,2.3777447
154,227,nateraw/vit-base-patch16-224-cifar10,2.6809754
155,228,nickmuchi/vit-base-xray-pneumonia,7.210166
156,229,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,4.491737
157,230,johnnydevriese/vit_beans,1.9098027
158,231,nateraw/vit-age-classifier,1.9546361
159,232,mmekias/vit-base-beans,2.4169707
160,233,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,2.389244
161,234,nateraw/vit-base-food101,3.2201815
162,235,mrm8488/data2vec-base-finetuned-imagenet1k,2.182864
163,236,microsoft/beit-base-patch16-224,2.9297032
164,237,microsoft/beit-base-patch16-224-pt22k-ft22k,3.104811
165,238,Calin/convnext-tiny-finteuned-eurosat,2.5771966
166,239,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,2.210658
167,240,WinKawaks/vit-small-patch16-224,2.30907
168,241,nielsr/convnext-tiny-finetuned-eurostat,2.9621065
169,242,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,2.4539204
170,243,WinKawaks/vit-tiny-patch16-224,2.2961555
171,244,nielsr/convnext-tiny-finetuned-eurosat,2.3690367
172,245,flyswot/test,2.715971
173,246,nateraw/test_model_a,-6.8601336
174,247,microsoft/swin-large-patch4-window7-224,2.1972785
175,248,lysandre/tiny-vit-random,-16.184391
176,249,microsoft/resnet-50,2.332283
177,250,microsoft/beit-base-patch16-224-pt22k,2.5135098
178,251,microsoft/beit-large-patch16-224,1.7781168
179,252,nielsr/convnext-xlarge-224-22k-1k,2.9172525
180,253,microsoft/beit-large-patch16-224-pt22k-ft22k,2.2683985
181,254,microsoft/swin-large-patch4-window12-384,6.149643
182,255,facebook/convnext-xlarge-224-22k-1k,1.8697248
183,256,nielsr/convnext-xlarge-224-22k,1.966306
