,model,score
0,firebolt/llama_or_what2,0.8806800302773468
1,google/vit-base-patch16-224,0.9431314425020826
2,nateraw/denver-nyc-paris,0.908229952644082
3,black/simple_kitchen,0.8566421235756975
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7931189043574497
5,Suzana/new-york-tokyo-london,0.8764314205804452
6,filipafcastro/beer_vs_wine,0.9891416949715487
7,nateraw/baked-goods,0.9334740622131183
8,ajanco/greens,0.9295556224517558
9,nateraw/vit-base-beans-demo,0.9961798049031314
10,HHousen/household-rooms,0.9144404083665608
11,Amrrs/indian-foods,0.8902848014464113
12,nateraw/planes-trains-automobiles,0.8614032696511758
13,julien-c/hotdog-not-hotdog,0.961365173064557
14,jmarshall/rare-puppers,0.8686825568430855
15,nielsr/vit-finetuned-eurosat-kornia,1.0049997579394911
16,eren23/pneumonia_test_attempt,0.9536793485467946
17,micole66/dwarf-goats,0.9223542713804982
18,nateraw/ex-for-evan,0.8498498331201506
19,karthiksv/vit-base-patch16-224-cifar10,0.9265797463709726
20,ferdinand/rare-puppers,1.0411783720938306
21,ipvikas/rare-puppers,0.9869067249701021
22,Frodnar/bee-likes,0.9292860883060186
23,nickmuchi/vit-base-beans,0.9181420031083043
24,nateraw/baseball-stadium-foods,0.914682173755771
25,Giuliano/places,1.0086572115805708
26,firas-spanioli/beer-whisky-wine-detection,0.8772906129556509
27,jjhoffstein/lotr,0.9194278158347338
28,Nonem100/Test-Model,0.9160549222239559
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8709527728559617
30,LorenzoDeMattei/lawn-weeds,0.9515663765911899
31,nateraw/doggos-lol,0.8379366828312333
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8895556615073438
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.991373886216147
34,karthiksv/vit-base-beans,0.7807005493542367
35,Symbermine/rare-puppers,0.8833411536590057
36,nateraw/vit-base-patch16-224-cifar10,1.0013170754625156
37,gatecitypreservation/architectural_styles,0.9572531770723708
38,Amrrs/south-indian-foods,1.0677216836442502
39,hafidber/fruits,0.8465785975372137
40,nateraw/rare-puppers-123,0.898229321903624
41,Aftabhussain/Tomato_Leaf_Classifier,1.015143570749816
42,nickmuchi/vit-base-xray-pneumonia,0.9470023659677336
43,Neto71/sea_mammals,0.9664270795009229
44,lewtun/oz-fauna,0.9062252667947014
45,hgarg/fruits,0.9431274427393255
46,jasmeen/dogs,0.8491962395799488
47,b25mayank3/shirt_identifier,0.9137111240145201
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9893561820478707
49,facebook/convnext-base-224-22k,0.9760781278093935
50,nickmuchi/vit-finetuned-cats-dogs,0.8936452124626212
51,godiec/diam,0.9182493822142276
52,Rajaram1996/FacialEmoRecog,0.7968847336966883
53,nateraw/vit-base-beans-demo-v3,0.8916871249251975
54,firebolt/llama_or_what,0.9076951813162467
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8874451719181561
56,johnnydevriese/vit_beans,0.9416290206421862
57,nateraw/vit-age-classifier,0.8998280600374158
58,nateraw/vit-base-beans-demo-v2,0.9541467380066316
59,mmekias/vit-base-beans,0.9153493627272848
60,juanfiguera/ice_cream,0.9576359720573406
61,drab/Infrastructures,0.88507998862415
62,nateraw/vit-base-beans,0.9348590419440632
63,Sena/dog,1.2163475859413904
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9466432366744774
65,hafidber/rare-puppers,0.9472531317581541
66,edixo/road_good_damaged_condition,1.0079398758745057
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.852361980633941
68,Sena/flowers,0.9818444764459219
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.6215479159000222
70,johnnydevriese/vit-airplanes,0.9162087105558712
71,nateraw/pasta-shapes,0.9539260449887149
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8888112085322557
73,hgarg/indian-snacks,0.841802795905616
74,nateraw/vit-base-food101,0.9437590801084702
75,Hijazzi/rare-puppers,0.8928142768942973
76,nateraw/trainer-rare-puppers,0.9545579290919938
77,ibombonato/vit-age-classifier,0.9769523049661124
78,nateraw/rare-puppers-new-auth,0.9013429363773173
79,SriramSridhar78/sriram-car-classifier,0.85259947378836
80,ismgar01/vit-base-cats-vs-dogs,0.8861178801199362
81,nateraw/rare-puppers,0.9322711306777983
82,iyzg/computer-stuff,0.8903720637634995
83,nateraw/huggingpics-package-demo-2,0.9642694631118669
84,imjeffhi/pokemon_classifier,0.858895368475013
85,nateraw/pasta-pizza-ravioli,0.8328841227380193
86,akahana/vit-base-cats-vs-dogs,0.8816570902896456
87,nateraw/donut-or-bagel,0.8850562385597333
88,nateraw/rare-puppers-09-04-2021,0.8913114305356685
89,nateraw/vit-base-cats-vs-dogs,0.8870740284793058
90,Zayn/VIT_Basic,0.8947569561150953
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9052709454809109
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.7695680452695677
93,microsoft/swin-large-patch4-window7-224-in22k,1.000650445726785
94,Ahmed9275/Vit-Cifar100,0.8554661326595707
95,driboune/skin_type,0.8670014452338615
96,microsoft/swin-base-patch4-window7-224-in22k,0.8128074715979132
97,facebook/deit-base-patch16-224,0.8820334036378543
98,facebook/deit-base-distilled-patch16-224,0.8934858484631834
99,eslamxm/vit-base-food101,0.8094428453154469
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8898838736137527
101,facebook/convnext-base-224,0.8884161360089111
102,facebook/convnext-small-224,0.9137591382279181
103,microsoft/swin-base-patch4-window7-224,0.8421265231722108
104,microsoft/beit-base-patch16-224,0.8879078552883805
105,mrm8488/convnext-tiny-finetuned-eurosat,0.928239407757454
106,mrm8488/convnext-tiny-finetuned-beans,0.9154275929230462
107,facebook/convnext-tiny-224,0.8628114296937086
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9379694166153026
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7721607844750004
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.9403933934696684
111,Calin/convnext-tiny-finteuned-eurosat,0.8988273824093618
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7499418305510894
113,Visual-Attention-Network/van-small,1.0837649033752865
114,WinKawaks/vit-small-patch16-224,0.9036890129099007
115,facebook/deit-small-distilled-patch16-224,0.9123594882191536
116,Visual-Attention-Network/van-base,0.8420234918066063
117,jadohu/BEiT-finetuned,0.7255564174767895
118,nielsr/convnext-tiny-finetuned-eurostat,0.9119483274400817
119,facebook/deit-small-patch16-224,0.8095549336900705
