,model,score
0,firebolt/llama_or_what2,0.873078403200988
1,google/vit-base-patch16-224,0.8846680587562398
2,nateraw/denver-nyc-paris,0.8852198182339336
3,black/simple_kitchen,0.8878227671150931
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.869478616274164
5,Suzana/new-york-tokyo-london,0.8675114689288291
6,filipafcastro/beer_vs_wine,0.8681396262123604
7,nateraw/baked-goods,0.8878434101321699
8,ajanco/greens,0.8731836584520729
9,nateraw/vit-base-beans-demo,0.8712028566760572
10,HHousen/household-rooms,0.86522966899994
11,Amrrs/indian-foods,0.8632198503105198
12,nateraw/planes-trains-automobiles,0.8800939798975151
13,julien-c/hotdog-not-hotdog,0.8681138890064768
14,jmarshall/rare-puppers,0.8663473877579214
15,nielsr/vit-finetuned-eurosat-kornia,0.8651421547260918
16,eren23/pneumonia_test_attempt,0.8657174579816458
17,micole66/dwarf-goats,0.8743745463113033
18,nateraw/ex-for-evan,0.8651387428828349
19,karthiksv/vit-base-patch16-224-cifar10,0.8711865638009546
20,ferdinand/rare-puppers,0.8696833210372279
21,ipvikas/rare-puppers,0.8661598482221634
22,Frodnar/bee-likes,0.8645837929009323
23,nickmuchi/vit-base-beans,0.8693154890729319
24,nateraw/baseball-stadium-foods,0.8868218133247484
25,Giuliano/places,0.8643684241372316
26,firas-spanioli/beer-whisky-wine-detection,0.8649733784786577
27,jjhoffstein/lotr,0.8748976059043013
28,Nonem100/Test-Model,0.8679521799866313
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8647237914622408
30,LorenzoDeMattei/lawn-weeds,0.8678003354718983
31,nateraw/doggos-lol,0.8639149684199657
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8641728513097007
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8627462167940405
34,karthiksv/vit-base-beans,0.8689016033605901
35,Symbermine/rare-puppers,0.8634004106641453
36,nateraw/vit-base-patch16-224-cifar10,0.8707994816207233
37,gatecitypreservation/architectural_styles,0.872654072549506
38,Amrrs/south-indian-foods,0.8638127483015378
39,hafidber/fruits,0.8622796132420125
40,nateraw/rare-puppers-123,0.8669668119465834
41,Aftabhussain/Tomato_Leaf_Classifier,0.8663202520933714
42,nickmuchi/vit-base-xray-pneumonia,0.8877312753686453
43,Neto71/sea_mammals,0.8677448829713559
44,lewtun/oz-fauna,0.8640867877037861
45,hgarg/fruits,0.8631968396825832
46,jasmeen/dogs,0.8665308493972398
47,b25mayank3/shirt_identifier,0.8873116826667083
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.889587574867514
49,facebook/convnext-base-224-22k,0.8370089581554522
50,nickmuchi/vit-finetuned-cats-dogs,0.8876541341898878
51,godiec/diam,0.8858548453623372
52,Rajaram1996/FacialEmoRecog,0.8706614228377849
53,nateraw/vit-base-beans-demo-v3,0.8666911888677135
54,firebolt/llama_or_what,0.8769424375161264
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8710802043290293
56,johnnydevriese/vit_beans,0.8687373553794957
57,nateraw/vit-age-classifier,0.8738506615020903
58,nateraw/vit-base-beans-demo-v2,0.8847513687821729
59,mmekias/vit-base-beans,0.8709387243723564
60,juanfiguera/ice_cream,0.8700672190667782
61,drab/Infrastructures,0.8662115224735341
62,nateraw/vit-base-beans,0.8731085693475116
63,Sena/dog,0.867754878536196
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8639202883728505
65,hafidber/rare-puppers,0.865627913758173
66,edixo/road_good_damaged_condition,0.8671684080955296
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8667502942113742
68,Sena/flowers,0.8692075336936425
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8736219020494268
70,johnnydevriese/vit-airplanes,0.8824009567650497
71,nateraw/pasta-shapes,0.8659875284108177
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8689144938695434
73,hgarg/indian-snacks,0.8714944934662942
74,nateraw/vit-base-food101,0.864569288784064
75,Hijazzi/rare-puppers,0.8672339125746529
76,nateraw/trainer-rare-puppers,0.8683332139725928
77,ibombonato/vit-age-classifier,0.8742303736986966
78,nateraw/rare-puppers-new-auth,0.8660873997451126
79,SriramSridhar78/sriram-car-classifier,0.8808443082327898
80,ismgar01/vit-base-cats-vs-dogs,0.8828044473651371
81,nateraw/rare-puppers,0.8671228182786888
82,iyzg/computer-stuff,0.8846933157179313
83,nateraw/huggingpics-package-demo-2,0.8638801307489201
84,imjeffhi/pokemon_classifier,0.865428639045863
85,nateraw/pasta-pizza-ravioli,0.8670549899553676
86,akahana/vit-base-cats-vs-dogs,0.8867728523600382
87,nateraw/donut-or-bagel,0.8798725185034023
88,nateraw/rare-puppers-09-04-2021,0.8691451511553022
89,nateraw/vit-base-cats-vs-dogs,0.8704926143628461
90,Zayn/VIT_Basic,0.8813668663754983
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.865740045987878
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8606909785041365
93,microsoft/swin-large-patch4-window7-224-in22k,0.9131082513192438
94,Ahmed9275/Vit-Cifar100,0.8703117570489334
95,driboune/skin_type,0.8669428463206524
96,microsoft/swin-base-patch4-window7-224-in22k,0.8598404424566835
97,facebook/deit-base-patch16-224,0.8644354929225115
98,facebook/deit-base-distilled-patch16-224,0.8391429495334756
99,eslamxm/vit-base-food101,0.8622080651800187
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8349387779286511
101,facebook/convnext-base-224,0.8337983496000329
102,facebook/convnext-small-224,0.8153666590995291
103,microsoft/swin-base-patch4-window7-224,0.8608756704530547
104,microsoft/beit-base-patch16-224,0.8387017380011185
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8038401695064991
106,mrm8488/convnext-tiny-finetuned-beans,0.8091974720160047
107,facebook/convnext-tiny-224,0.8128593508114588
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8048366833128905
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8244138033829925
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.808057276018815
111,Calin/convnext-tiny-finteuned-eurosat,0.8047033145756382
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8144002187465381
113,Visual-Attention-Network/van-small,0.8340349678288032
