,model,score
0,google/vit-base-patch16-224,0.8507454539824952
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8210175492988562
2,facebook/deit-base-patch16-224,0.8210175492988562
3,facebook/deit-base-distilled-patch16-224,0.8234940518488887
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8226715135727223
5,facebook/convnext-base-224,0.8285582057272863
6,facebook/convnext-small-224,0.8164310490391914
7,microsoft/swin-base-patch4-window7-224,0.819370306044229
8,microsoft/beit-base-patch16-224,0.7970272045110985
9,facebook/convnext-tiny-224,0.8141884845324384
10,Visual-Attention-Network/van-small,0.7536202423283161
11,WinKawaks/vit-small-patch16-224,0.8110412195009269
12,facebook/deit-small-distilled-patch16-224,0.8114872381114256
13,Visual-Attention-Network/van-base,0.8126114721535683
14,facebook/deit-small-patch16-224,0.7953974339347692
15,microsoft/swin-small-patch4-window7-224,0.8150072166513158
16,Ahmed9275/ALL-3,0.8049163067257542
17,facebook/convnext-large-224,0.8564926290130941
18,WinKawaks/vit-tiny-patch16-224,0.6897556404894748
19,Visual-Attention-Network/van-tiny,0.6808142425573894
20,facebook/deit-tiny-distilled-patch16-224,0.6792731809669281
21,Ahmed9275/ALL-test,0.8127646521445628
22,facebook/deit-tiny-patch16-224,0.664467510859339
23,microsoft/swin-tiny-patch4-window7-224,0.8098907831958532
24,Visual-Attention-Network/van-large,0.8375592467070984
25,google/vit-base-patch32-384,0.8255777002332217
26,facebook/convnext-base-224-22k-1k,0.8430752761515111
27,google/vit-large-patch32-384,0.851429581685532
28,microsoft/swin-large-patch4-window7-224,0.8555104476236748
29,lysandre/tiny-vit-random,0.20526526734651715
30,facebook/convnext-large-224-22k-1k,0.8559219275557125
31,facebook/convnext-base-384,0.8581751412182467
32,microsoft/resnet-50,0.803301310509319
33,microsoft/beit-base-patch16-224-pt22k,0.7966257981160269
34,microsoft/beit-large-patch16-224,0.8164231117747233
35,google/vit-large-patch16-224,0.8491541050794388
36,nielsr/convnext-xlarge-224-22k-1k,0.8577281913773942
37,facebook/deit-base-patch16-384,0.8533389714008208
38,google/vit-base-patch16-384,0.8533389714008208
39,facebook/deit-base-distilled-patch16-384,0.855559121444149
40,facebook/convnext-xlarge-224-22k-1k,0.8577281913773942
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.84538448088008
42,karthiksv/vit-base-patch16-224-cifar10,0.8447326348098507
43,nateraw/vit-base-patch16-224-cifar10,0.8459015366351444
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8459015366351444
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8465570290414164
46,jadohu/BEiT-finetuned,0.6790252756423995
47,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.848984873951848
48,nateraw/vit-base-beans-demo,0.8212007355334394
49,nickmuchi/vit-base-beans,0.8219930937795836
50,karthiksv/vit-base-beans,0.8201364873830712
51,nateraw/vit-base-beans-demo-v3,0.8200993945420058
52,johnnydevriese/vit_beans,0.8201364873830712
53,nateraw/vit-base-beans-demo-v2,0.8505690948052279
54,mmekias/vit-base-beans,0.8221949593775209
55,nateraw/vit-base-beans,0.8228648392833822
56,mrm8488/convnext-tiny-finetuned-beans,0.8065782945610624
57,nielsr/vit-finetuned-eurosat-kornia,0.8173788398225347
58,mrm8488/convnext-tiny-finetuned-eurosat,0.8071681809450003
59,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.803127361591846
60,Calin/convnext-tiny-finteuned-eurosat,0.808905438292737
61,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8117934857066978
62,nielsr/convnext-tiny-finetuned-eurostat,0.803205337024244
63,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8103696533188223
64,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8017035292039704
65,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8017815046363685
66,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8017815046363685
67,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8057443485571247
68,nielsr/convnext-tiny-finetuned-eurosat,0.8117934857066978
69,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8057443485571247
70,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8026606602069863
71,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8103696533188223
72,nielsr/van-base-finetuned-eurosat-imgaug,0.8110956288984457
73,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8047872175541088
74,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8102916778864242
75,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8048651929865069
76,eren23/pneumonia_test_attempt,0.8154180751823487
77,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8142966632468693
78,nickmuchi/vit-base-xray-pneumonia,0.8464497087027173
79,facebook/convnext-base-224-22k,0.8310284534438948
80,microsoft/swin-large-patch4-window7-224-in22k,0.8587836906037829
81,microsoft/swin-base-patch4-window7-224-in22k,0.829505350654916
82,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7380741233236578
83,facebook/convnext-large-224-22k,0.8594350478889631
84,facebook/convnext-xlarge-224-22k,0.8602289592548069
85,microsoft/swin-base-patch4-window12-384-in22k,0.8610591672098761
86,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8186263364303475
87,nielsr/convnext-xlarge-224-22k,0.8604573717799088
88,nickmuchi/vit-finetuned-cats-dogs,0.8638700742093707
89,ismgar01/vit-base-cats-vs-dogs,0.8547609074540093
90,akahana/vit-base-cats-vs-dogs,0.8703997890458862
91,nateraw/vit-base-cats-vs-dogs,0.83274966409419
92,nateraw/test_model_a,0.21291767457875646
93,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8457184183254539
94,Matthijs/snacks-classifier,0.8435073832746458
95,nateraw/vit-base-food101,0.8324277381029388
96,eslamxm/vit-base-food101,0.8324277381029388
97,SriramSridhar78/sriram-car-classifier,0.8740927685815797
98,imjeffhi/pokemon_classifier,0.8264044553887939
99,AkshatSurolia/ViT-FaceMask-Finetuned,0.8114931921638956
100,AkshatSurolia/BEiT-FaceMask-Finetuned,0.6215914317779189
101,AkshatSurolia/DeiT-FaceMask-Finetuned,0.813228185192637
102,Ahmed9275/Vit-Cifar100,0.8441209927725916
