,model,score
0,google/vit-base-patch16-224,0.8071241570871188
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8079523956662119
2,facebook/deit-base-patch16-224,0.8021435698066637
3,facebook/deit-base-distilled-patch16-224,0.8128855180693436
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.7793546908710919
5,facebook/convnext-base-224,0.781714725748279
6,facebook/convnext-small-224,0.8063266345934107
7,microsoft/swin-base-patch4-window7-224,0.8119052065222431
8,microsoft/beit-base-patch16-224,0.505515209382608
9,facebook/convnext-tiny-224,0.757419493741159
10,Visual-Attention-Network/van-small,0.7172539651558263
11,WinKawaks/vit-small-patch16-224,0.670811045603568
12,facebook/deit-small-distilled-patch16-224,0.7939560733873431
13,Visual-Attention-Network/van-base,0.7856874010428676
14,facebook/deit-small-patch16-224,0.7925762137456946
15,microsoft/swin-small-patch4-window7-224,0.7973517262462483
16,Ahmed9275/ALL-3,0.8048988401026784
17,facebook/convnext-large-224,0.8149734448391992
18,WinKawaks/vit-tiny-patch16-224,0.5491891385446737
19,Visual-Attention-Network/van-tiny,0.7816214268836502
20,facebook/deit-tiny-distilled-patch16-224,0.6757522740153387
21,Ahmed9275/ALL-test,0.8063163496879645
22,facebook/deit-tiny-patch16-224,0.670812536479945
23,microsoft/swin-tiny-patch4-window7-224,0.8048988401026784
24,Visual-Attention-Network/van-large,0.8010622282776932
25,google/vit-base-patch32-384,0.7851418969790036
26,facebook/convnext-base-224-22k-1k,0.8149734448391992
27,google/vit-large-patch32-384,0.8008344070639611
28,microsoft/swin-large-patch4-window7-224,0.8220845865530139
29,lysandre/tiny-vit-random,0.03440870749064363
30,facebook/convnext-large-224-22k-1k,0.8219435928596279
31,facebook/convnext-base-384,0.827466266381792
32,microsoft/resnet-50,0.6668689698541441
33,microsoft/beit-base-patch16-224-pt22k,0.6088163390967273
34,microsoft/beit-large-patch16-224,0.5337732925048084
35,google/vit-large-patch16-224,0.8088576721477224
36,nielsr/convnext-xlarge-224-22k-1k,0.8301933736205289
37,facebook/deit-base-patch16-384,0.8203871136614136
38,google/vit-base-patch16-384,0.8132211631532438
39,facebook/deit-base-distilled-patch16-384,0.8081133100120843
40,facebook/convnext-xlarge-224-22k-1k,0.821430604872601
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7900362826832447
42,karthiksv/vit-base-patch16-224-cifar10,0.7873578975170352
43,nateraw/vit-base-patch16-224-cifar10,0.7842706008811136
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7860412493487082
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7856295309884781
46,jadohu/BEiT-finetuned,0.5628547644969628
47,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.788641622029318
48,nateraw/vit-base-beans-demo,0.789192093798422
49,nickmuchi/vit-base-beans,0.7873578975170352
50,karthiksv/vit-base-beans,0.7873578975170352
51,nateraw/vit-base-beans-demo-v3,0.7884850440939934
52,johnnydevriese/vit_beans,0.789192093798422
53,nateraw/vit-base-beans-demo-v2,0.790895274850212
54,mmekias/vit-base-beans,0.7873578975170352
55,nateraw/vit-base-beans,0.7873578975170352
56,mrm8488/convnext-tiny-finetuned-beans,0.7827087860177282
57,nielsr/vit-finetuned-eurosat-kornia,0.785821805053368
58,mrm8488/convnext-tiny-finetuned-eurosat,0.7900062848895272
59,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7900062848895272
60,Calin/convnext-tiny-finteuned-eurosat,0.782678269815371
61,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7832345254291796
62,nielsr/convnext-tiny-finetuned-eurostat,0.782678269815371
63,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7795522760889062
64,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7888932886686532
65,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7795046471928484
66,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7705033143793681
67,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7818694681640136
68,nielsr/convnext-tiny-finetuned-eurosat,0.7827087860177282
69,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7763919858684575
70,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7805528199956865
71,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7703017814427013
72,nielsr/van-base-finetuned-eurosat-imgaug,0.7893059034811736
73,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7813437287525622
74,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7706646036441019
75,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7743180712044908
76,eren23/pneumonia_test_attempt,0.7895075047348307
77,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.797742287046589
78,nickmuchi/vit-base-xray-pneumonia,0.7920018624959634
79,facebook/convnext-base-224-22k,0.8142505753345097
80,microsoft/swin-large-patch4-window7-224-in22k,0.81648363960965
81,microsoft/swin-base-patch4-window7-224-in22k,0.8119052065222431
82,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6238911663308693
83,facebook/convnext-large-224-22k,0.8210589770111639
84,facebook/convnext-xlarge-224-22k,0.8301933736205289
