,model,score
0,firebolt/llama_or_what2,0.8193065992226691
1,nateraw/denver-nyc-paris,0.8246339327363675
2,black/simple_kitchen,0.8255111094133085
3,Suzana/new-york-tokyo-london,0.8232488932195078
4,filipafcastro/beer_vs_wine,0.8232488932195078
5,nateraw/baked-goods,0.82403840856587
6,ajanco/greens,0.82403840856587
7,HHousen/household-rooms,0.82403840856587
8,Amrrs/indian-foods,0.8232488932195078
9,nateraw/planes-trains-automobiles,0.8232488932195078
10,julien-c/hotdog-not-hotdog,0.82403840856587
11,jmarshall/rare-puppers,0.8232488932195078
12,micole66/dwarf-goats,0.8202216815259465
13,nateraw/ex-for-evan,0.816885189268371
14,ferdinand/rare-puppers,0.8269890713738904
15,ipvikas/rare-puppers,0.8238306178048681
16,Frodnar/bee-likes,0.8226010674200098
17,nateraw/baseball-stadium-foods,0.8211089940741645
18,Giuliano/places,0.8211089940741645
19,firas-spanioli/beer-whisky-wine-detection,0.8211089940741645
20,jjhoffstein/lotr,0.8218985094205267
21,Nonem100/Test-Model,0.8211089940741645
22,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8211089940741645
23,LorenzoDeMattei/lawn-weeds,0.8211089940741645
24,nateraw/doggos-lol,0.8211089940741645
25,Symbermine/rare-puppers,0.8211089940741645
26,gatecitypreservation/architectural_styles,0.8218985094205267
27,Amrrs/south-indian-foods,0.8234860811365102
28,hafidber/fruits,0.822696565790148
29,nateraw/rare-puppers-123,0.8211089940741645
30,Aftabhussain/Tomato_Leaf_Classifier,0.8218610767181201
31,Neto71/sea_mammals,0.8234860811365102
32,lewtun/oz-fauna,0.8234860811365102
33,hgarg/fruits,0.822696565790148
34,jasmeen/dogs,0.822696565790148
35,b25mayank3/shirt_identifier,0.8234860811365102
36,jeffboudier/vision-transformers-spain-or-italy-fan,0.8234860811365102
37,godiec/diam,0.822696565790148
38,firebolt/llama_or_what,0.8237302098613674
39,juanfiguera/ice_cream,0.8237302098613674
40,drab/Infrastructures,0.8220907292372273
41,Sena/dog,0.8220907292372273
42,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8220907292372273
43,hafidber/rare-puppers,0.8245866441281916
44,edixo/road_good_damaged_condition,0.8220907292372273
45,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8220907292372273
46,Sena/flowers,0.8237302098613674
47,johnnydevriese/vit-airplanes,0.8177711936809925
48,nateraw/pasta-shapes,0.8177711936809925
49,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8164889800267483
50,hgarg/indian-snacks,0.8164889800267483
51,Hijazzi/rare-puppers,0.8177711936809925
52,nateraw/trainer-rare-puppers,0.8164889800267483
53,nateraw/rare-puppers-new-auth,0.816731484157183
