,model,score
0,firebolt/llama_or_what2,0.9464713774019288
1,nateraw/denver-nyc-paris,0.945711818793838
2,black/simple_kitchen,0.945711818793838
3,Suzana/new-york-tokyo-london,0.9460251778512603
4,filipafcastro/beer_vs_wine,0.9445842767227413
5,nateraw/baked-goods,0.945711818793838
6,ajanco/greens,0.9447733879319441
7,HHousen/household-rooms,0.9464713774019288
8,Amrrs/indian-foods,0.9462822661927259
9,nateraw/planes-trains-automobiles,0.9214743100453198
10,julien-c/hotdog-not-hotdog,0.9464713774019288
11,jmarshall/rare-puppers,0.9462822661927259
12,micole66/dwarf-goats,0.9447733879319441
13,nateraw/ex-for-evan,0.9462822661927259
14,ferdinand/rare-puppers,0.9462400009192217
15,ipvikas/rare-puppers,0.9462822661927259
16,Frodnar/bee-likes,0.9464713774019288
17,nateraw/baseball-stadium-foods,0.9455227075846352
18,Giuliano/places,0.9462822661927259
19,firas-spanioli/beer-whisky-wine-detection,0.9462822661927259
20,jjhoffstein/lotr,0.946214289060463
21,Nonem100/Test-Model,0.9460251778512603
22,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9462822661927259
23,LorenzoDeMattei/lawn-weeds,0.9460251778512603
24,nateraw/doggos-lol,0.9462822661927259
25,Symbermine/rare-puppers,0.9462822661927259
26,gatecitypreservation/architectural_styles,0.9447733879319441
27,Amrrs/south-indian-foods,0.9464713774019288
28,hafidber/fruits,0.9462822661927259
29,nateraw/rare-puppers-123,0.9460251778512603
30,Aftabhussain/Tomato_Leaf_Classifier,0.9460251778512603
31,Neto71/sea_mammals,0.9464713774019288
32,lewtun/oz-fauna,0.9464713774019288
33,hgarg/fruits,0.9462822661927259
34,jasmeen/dogs,0.9460251778512603
35,b25mayank3/shirt_identifier,0.945711818793838
36,jeffboudier/vision-transformers-spain-or-italy-fan,0.945711818793838
37,godiec/diam,0.9455227075846352
38,firebolt/llama_or_what,0.9465862248012337
39,juanfiguera/ice_cream,0.9464713774019288
40,drab/Infrastructures,0.9462822661927259
41,Sena/dog,0.9445842767227413
42,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9464713774019288
43,hafidber/rare-puppers,0.9462822661927259
44,edixo/road_good_damaged_condition,0.9460251778512603
45,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9460251778512603
46,Sena/flowers,0.9464713774019288
47,johnnydevriese/vit-airplanes,0.9455227075846352
48,nateraw/pasta-shapes,0.9462822661927259
49,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9447733879319441
50,hgarg/indian-snacks,0.946214289060463
51,Hijazzi/rare-puppers,0.9445842767227413
52,nateraw/trainer-rare-puppers,0.946214289060463
53,nateraw/rare-puppers-new-auth,0.9464713774019288
54,nateraw/rare-puppers,0.9460251778512603
55,iyzg/computer-stuff,0.945711818793838
56,nateraw/huggingpics-package-demo-2,0.9462822661927259
57,nateraw/pasta-pizza-ravioli,0.9460251778512603
58,nateraw/donut-or-bagel,0.9455227075846352
59,nateraw/rare-puppers-09-04-2021,0.9447733879319441
60,Zayn/VIT_Basic,0.9455227075846352
61,driboune/skin_type,0.9464713774019288
62,flyswot/test,0.9106106648452699
63,nateraw/rare-puppers-demo,0.9462822661927259
64,meame2010/rare-puppers,0.9464713774019288
65,mmgyorke/vit-world-landmarks,0.9462822661927259
66,AhmedSayeem/VIT_Basic,0.9455227075846352
67,google/vit-base-patch16-224,0.8732998364142546
68,IDEA-CCNL/Taiyi-vit-87M-D,0.8862087298373296
69,facebook/deit-base-patch16-224,0.9161412964757399
70,facebook/deit-base-distilled-patch16-224,0.9161412964757399
71,mrm8488/data2vec-base-finetuned-imagenet1k,0.9161782182136848
72,facebook/convnext-small-224,0.8790470209112955
73,microsoft/beit-base-patch16-224,0.791521482811709
74,facebook/convnext-tiny-224,0.910025093761585
75,Visual-Attention-Network/van-small,0.8958193119688161
76,WinKawaks/vit-small-patch16-224,0.8044175356763393
77,facebook/deit-small-distilled-patch16-224,0.8948223891743382
78,Visual-Attention-Network/van-base,0.897523715136588
79,facebook/deit-small-patch16-224,0.853098136271212
80,WinKawaks/vit-tiny-patch16-224,0.8350424290139551
81,Visual-Attention-Network/van-tiny,0.8720106688288486
82,facebook/deit-tiny-distilled-patch16-224,0.8902043261444124
83,facebook/deit-tiny-patch16-224,0.8801583567221744
84,Visual-Attention-Network/van-large,0.8803820657524686
85,google/vit-base-patch32-384,0.9158585489998053
86,lysandre/tiny-vit-random,0.19606584544346817
87,microsoft/beit-base-patch16-224-pt22k,0.8310503980005537
88,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9439590231252175
89,karthiksv/vit-base-patch16-224-cifar10,0.9421461862559279
90,nateraw/vit-base-patch16-224-cifar10,0.9439378828102845
91,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9446890308529179
92,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9308685545930031
93,jadohu/BEiT-finetuned,0.8237519975582159
94,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9438790232212575
95,nateraw/vit-base-beans-demo,0.9440322601007824
96,nickmuchi/vit-base-beans,0.9442893484422479
97,karthiksv/vit-base-beans,0.9442893484422479
98,nateraw/vit-base-beans-demo-v3,0.9442893484422479
99,johnnydevriese/vit_beans,0.9442893484422479
100,nateraw/vit-base-beans-demo-v2,0.9449423738510885
101,mmekias/vit-base-beans,0.9442893484422479
102,nateraw/vit-base-beans,0.9428531121504684
103,mrm8488/convnext-tiny-finetuned-beans,0.9396469167264152
104,nielsr/vit-finetuned-eurosat-kornia,0.9414663442031498
105,mrm8488/convnext-tiny-finetuned-eurosat,0.9362980128591021
106,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9362980128591021
107,Calin/convnext-tiny-finteuned-eurosat,0.9362980128591021
108,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9388204188128291
109,nielsr/convnext-tiny-finetuned-eurostat,0.9362980128591021
110,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9309826204229882
111,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9294596755710657
112,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9294596755710657
113,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9294596755710657
114,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9294596755710657
115,nielsr/convnext-tiny-finetuned-eurosat,0.9388204188128291
116,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.9294596755710657
117,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9294596755710657
118,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9309826204229882
119,nielsr/van-base-finetuned-eurosat-imgaug,0.9304681437227922
120,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9294596755710657
121,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9309826204229882
122,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9294596755710657
123,eren23/pneumonia_test_attempt,0.9433620260975851
124,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9412451480863132
125,nickmuchi/vit-base-xray-pneumonia,0.9303044183733519
126,nickmuchi/vit-finetuned-cats-dogs,0.9442354479565479
127,ismgar01/vit-base-cats-vs-dogs,0.9442354479565479
128,akahana/vit-base-cats-vs-dogs,0.9442354479565479
129,nateraw/vit-base-cats-vs-dogs,0.9451189152467769
