,model,score
0,google/vit-base-patch16-224,0.6742525428964519
1,IDEA-CCNL/Taiyi-vit-87M-D,0.6544460118268357
2,facebook/deit-base-patch16-224,0.8391615635010501
3,facebook/deit-base-distilled-patch16-224,0.8406302891491859
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8377287163383604
5,facebook/convnext-small-224,0.6994316533225065
6,microsoft/beit-base-patch16-224,0.700746891668268
7,facebook/convnext-tiny-224,0.8416551971207418
8,Visual-Attention-Network/van-small,0.8281309080227531
9,WinKawaks/vit-small-patch16-224,0.6034591475634642
10,facebook/deit-small-distilled-patch16-224,0.8429251237552116
11,Visual-Attention-Network/van-base,0.8337295493743391
12,facebook/deit-small-patch16-224,0.6430443260574767
13,WinKawaks/vit-tiny-patch16-224,0.5993281460972989
14,Visual-Attention-Network/van-tiny,0.6611390160538386
15,facebook/deit-tiny-distilled-patch16-224,0.8352528407123191
16,facebook/deit-tiny-patch16-224,0.8345574784233334
17,Visual-Attention-Network/van-large,0.6799111295921323
18,google/vit-base-patch32-384,0.8428614203128936
19,lysandre/tiny-vit-random,0.2603692502781627
20,microsoft/beit-base-patch16-224-pt22k,0.5872778206416708
21,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8261684881592987
22,karthiksv/vit-base-patch16-224-cifar10,0.8261684881592987
23,nateraw/vit-base-patch16-224-cifar10,0.8261684881592987
24,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8261684881592987
25,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8271830383261934
26,jadohu/BEiT-finetuned,0.5994310135784293
27,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8261684881592987
28,nateraw/vit-base-beans-demo,0.8330125229631921
29,nickmuchi/vit-base-beans,0.8330125229631921
30,karthiksv/vit-base-beans,0.8337371830211242
31,nateraw/vit-base-beans-demo-v3,0.8330125229631921
32,johnnydevriese/vit_beans,0.8337371830211242
33,nateraw/vit-base-beans-demo-v2,0.8506973391663095
34,mmekias/vit-base-beans,0.8337371830211242
35,nateraw/vit-base-beans,0.8330125229631921
36,mrm8488/convnext-tiny-finetuned-beans,0.8332704295571745
37,nielsr/vit-finetuned-eurosat-kornia,0.8261684881592987
38,mrm8488/convnext-tiny-finetuned-eurosat,0.8255747004654833
39,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8278080794968483
40,Calin/convnext-tiny-finteuned-eurosat,0.835468832931675
41,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.828587532742356
42,nielsr/convnext-tiny-finetuned-eurostat,0.8274681374880484
43,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8240943078527299
44,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8229749125984224
45,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8229749125984224
46,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8229749125984224
47,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8233148546072222
48,nielsr/convnext-tiny-finetuned-eurosat,0.828587532742356
49,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8210814755758572
50,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8229749125984224
51,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8240943078527299
52,nielsr/van-base-finetuned-eurosat-imgaug,0.8240943078527299
53,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8233148546072222
54,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8240943078527299
55,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8210814755758572
56,eren23/pneumonia_test_attempt,0.8278484172218231
57,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.825241161850295
58,nickmuchi/vit-base-xray-pneumonia,0.8573069042371614
59,nickmuchi/vit-finetuned-cats-dogs,0.8501142446842351
60,ismgar01/vit-base-cats-vs-dogs,0.8431714283876138
61,akahana/vit-base-cats-vs-dogs,0.8501142446842351
62,nateraw/vit-base-cats-vs-dogs,0.8266293256400172
63,nateraw/test_model_a,0.23345581291724415
64,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8347171201648425
65,Matthijs/snacks-classifier,0.8285883648466337
66,nateraw/vit-base-food101,0.8354417802227746
67,eslamxm/vit-base-food101,0.8383984254924443
68,SriramSridhar78/sriram-car-classifier,0.8611168501534183
69,imjeffhi/pokemon_classifier,0.8191828309901951
70,AkshatSurolia/ViT-FaceMask-Finetuned,0.8278484172218231
71,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5192651901557369
72,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8278484172218231
73,Ahmed9275/Vit-Cifar100,0.8275962235055323
