,model,score
0,google/vit-base-patch16-224,0.8553629847036451
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8484927411070587
2,facebook/deit-base-patch16-224,0.84510073123213
3,facebook/deit-base-distilled-patch16-224,0.8507064884528327
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8407308419518421
5,facebook/convnext-base-224,0.8513753208963447
6,facebook/convnext-small-224,0.847693553155882
7,microsoft/swin-base-patch4-window7-224,0.845042787413769
8,microsoft/beit-base-patch16-224,0.6751005452842022
9,facebook/convnext-tiny-224,0.8516757144929724
10,Visual-Attention-Network/van-small,0.8398862230897535
11,WinKawaks/vit-small-patch16-224,0.8227637366269375
12,facebook/deit-small-distilled-patch16-224,0.8224359230796885
13,Visual-Attention-Network/van-base,0.8398334654477214
14,facebook/deit-small-patch16-224,0.8263363804523348
15,microsoft/swin-small-patch4-window7-224,0.8402485617236848
16,Ahmed9275/ALL-3,0.8319425233863725
17,facebook/convnext-large-224,0.8579651360199595
18,WinKawaks/vit-tiny-patch16-224,0.7889159245313211
19,Visual-Attention-Network/van-tiny,0.8354151052343478
20,facebook/deit-tiny-distilled-patch16-224,0.8024804463275186
21,Ahmed9275/ALL-test,0.839040529441017
22,facebook/deit-tiny-patch16-224,0.8037816482319953
23,microsoft/swin-tiny-patch4-window7-224,0.8390596395594845
24,Visual-Attention-Network/van-large,0.8465785070856175
25,google/vit-base-patch32-384,0.8522937130370143
26,facebook/convnext-base-224-22k-1k,0.8627845052791272
27,google/vit-large-patch32-384,0.845813507468717
28,microsoft/swin-large-patch4-window7-224,0.8592622628305107
29,lysandre/tiny-vit-random,0.2932082541920722
30,facebook/convnext-large-224-22k-1k,0.8518810016910602
31,facebook/convnext-base-384,0.850823996222126
32,microsoft/resnet-50,0.8143006047238391
33,microsoft/beit-base-patch16-224-pt22k,0.7387382018487234
34,microsoft/beit-large-patch16-224,0.7373420474520018
35,google/vit-large-patch16-224,0.847759368211701
36,nielsr/convnext-xlarge-224-22k-1k,0.8588700885495822
37,facebook/deit-base-patch16-384,0.8674211368514588
38,google/vit-base-patch16-384,0.853457446981562
39,facebook/deit-base-distilled-patch16-384,0.8636759627085376
40,facebook/convnext-xlarge-224-22k-1k,0.8635322596785815
41,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8466153616750227
42,karthiksv/vit-base-patch16-224-cifar10,0.8472899067580254
43,nateraw/vit-base-patch16-224-cifar10,0.8412964017559805
44,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.84165047801254
45,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8382018992210308
46,jadohu/BEiT-finetuned,0.7702176644161668
47,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8464580199465034
48,nateraw/vit-base-beans-demo,0.842946424754054
49,nickmuchi/vit-base-beans,0.8414901445474605
50,karthiksv/vit-base-beans,0.8423467178253377
51,nateraw/vit-base-beans-demo-v3,0.835947208299346
52,johnnydevriese/vit_beans,0.8447394684380153
53,nateraw/vit-base-beans-demo-v2,0.8542262407662559
54,mmekias/vit-base-beans,0.8421221127649346
55,nateraw/vit-base-beans,0.846971615364704
56,mrm8488/convnext-tiny-finetuned-beans,0.8400964353822105
57,nielsr/vit-finetuned-eurosat-kornia,0.8452441892640917
58,mrm8488/convnext-tiny-finetuned-eurosat,0.8323749677615954
59,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8483299620667897
60,Calin/convnext-tiny-finteuned-eurosat,0.8329665589554821
61,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8373244479381664
62,nielsr/convnext-tiny-finetuned-eurostat,0.8486122527655229
63,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8357956237521051
64,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8403993598294397
65,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8267141321101833
66,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8315284236240365
67,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8231155547642314
68,nielsr/convnext-tiny-finetuned-eurosat,0.8452500210584616
69,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8350203954395259
70,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8337009092091097
71,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8418086759369505
72,nielsr/van-base-finetuned-eurosat-imgaug,0.835834086450236
73,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8245247684516122
74,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.837385841848214
75,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.836687735434958
76,eren23/pneumonia_test_attempt,0.8435667641152186
77,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8410949646168332
78,nickmuchi/vit-base-xray-pneumonia,0.8424911016816559
79,facebook/convnext-base-224-22k,0.8569497328255978
80,microsoft/swin-large-patch4-window7-224-in22k,0.8670338152514521
81,microsoft/swin-base-patch4-window7-224-in22k,0.8536259433727565
82,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7707088858424789
83,facebook/convnext-large-224-22k,0.8690652106776722
84,facebook/convnext-xlarge-224-22k,0.8622402980927042
85,microsoft/swin-base-patch4-window12-384-in22k,0.8501728831975564
86,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7603632665137177
87,nielsr/convnext-xlarge-224-22k,0.857332740716635
88,nickmuchi/vit-finetuned-cats-dogs,0.8494295706697126
89,ismgar01/vit-base-cats-vs-dogs,0.8390002626803823
90,akahana/vit-base-cats-vs-dogs,0.8423458077464763
91,nateraw/vit-base-cats-vs-dogs,0.8361041803989874
92,nateraw/test_model_a,0.1669202154923736
93,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8491065183624632
94,Matthijs/snacks-classifier,0.8281191311475854
95,nateraw/vit-base-food101,0.8392097820751614
96,eslamxm/vit-base-food101,0.8300591220664599
97,SriramSridhar78/sriram-car-classifier,0.8483499612546184
98,imjeffhi/pokemon_classifier,0.8349367439786914
99,AkshatSurolia/ViT-FaceMask-Finetuned,0.8322479450248188
100,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5606705055172816
101,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8397859781509868
102,Ahmed9275/Vit-Cifar100,0.8409857259808077
