,model,score
0,firebolt/llama_or_what2,0.576932213683274
1,google/vit-base-patch16-224,0.5715553129701364
2,nateraw/denver-nyc-paris,0.5895402878189995
3,black/simple_kitchen,0.5763917466658401
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.5841522985630627
5,Suzana/new-york-tokyo-london,0.5814292934268198
6,filipafcastro/beer_vs_wine,0.557172566298255
7,nateraw/baked-goods,0.5687943789686016
8,ajanco/greens,0.5814794178561034
9,nateraw/vit-base-beans-demo,0.5341462254373421
10,HHousen/household-rooms,0.584334735408194
11,Amrrs/indian-foods,0.5723150702199793
12,nateraw/planes-trains-automobiles,0.5836665959004755
13,julien-c/hotdog-not-hotdog,0.5817480772932876
14,jmarshall/rare-puppers,0.5776301824801315
15,nielsr/vit-finetuned-eurosat-kornia,0.5567690178224667
16,eren23/pneumonia_test_attempt,0.547804489906532
17,micole66/dwarf-goats,0.569688406006836
18,nateraw/ex-for-evan,0.5722713642628464
19,karthiksv/vit-base-patch16-224-cifar10,0.5909883620687296
20,ferdinand/rare-puppers,0.5873251612414769
21,ipvikas/rare-puppers,0.5805316148883742
22,Frodnar/bee-likes,0.5718149860923277
23,nickmuchi/vit-base-beans,0.5464818657268635
24,nateraw/baseball-stadium-foods,0.5730025982957485
25,Giuliano/places,0.5628169283443973
26,firas-spanioli/beer-whisky-wine-detection,0.5902298915922793
27,jjhoffstein/lotr,0.5668037404712271
28,Nonem100/Test-Model,0.5734572123994388
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.5674523810894276
30,LorenzoDeMattei/lawn-weeds,0.5796316259794863
31,nateraw/doggos-lol,0.5779157498298292
32,IDEA-CCNL/Taiyi-vit-87M-D,0.5685776203293068
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.5614637679979123
34,karthiksv/vit-base-beans,0.5813819284685353
35,Symbermine/rare-puppers,0.5846572594590804
36,nateraw/vit-base-patch16-224-cifar10,0.5768154801135035
37,gatecitypreservation/architectural_styles,0.5519453708629346
38,Amrrs/south-indian-foods,0.5809132986422331
39,hafidber/fruits,0.5799942154946914
40,nateraw/rare-puppers-123,0.5826154891854166
41,Aftabhussain/Tomato_Leaf_Classifier,0.5713415143797834
42,nickmuchi/vit-base-xray-pneumonia,0.5271777605467205
43,Neto71/sea_mammals,0.5813762619177446
44,lewtun/oz-fauna,0.5700965966965424
45,hgarg/fruits,0.577137157588592
46,jasmeen/dogs,0.5824252015042398
47,b25mayank3/shirt_identifier,0.5658321880011731
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.5666151330333057
49,nickmuchi/vit-finetuned-cats-dogs,0.581001023880846
50,godiec/diam,0.5847773276601881
51,Rajaram1996/FacialEmoRecog,0.5802257240227136
52,nateraw/vit-base-beans-demo-v3,0.5512341400164309
53,firebolt/llama_or_what,0.5717540749488024
54,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.5636297038813529
55,johnnydevriese/vit_beans,0.5619009584562149
56,nateraw/vit-age-classifier,0.572165790049732
57,nateraw/vit-base-beans-demo-v2,0.5380158312956598
58,mmekias/vit-base-beans,0.5695303621426425
59,juanfiguera/ice_cream,0.5713482676855669
60,drab/Infrastructures,0.581363531159695
61,nateraw/vit-base-beans,0.5836959911459801
62,Sena/dog,0.5712583993161604
63,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.526505451959026
64,hafidber/rare-puppers,0.5833203460740823
65,edixo/road_good_damaged_condition,0.5814860856834762
66,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.5636335435150651
67,Sena/flowers,0.5698568553030263
68,matteopilotto/vit-base-patch16-224-in21k-snacks,0.5896594489513285
69,johnnydevriese/vit-airplanes,0.5222361600636853
70,nateraw/pasta-shapes,0.5709099477933787
71,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.5620748851054789
72,hgarg/indian-snacks,0.5722918112980696
73,nateraw/vit-base-food101,0.5832665041324695
74,Hijazzi/rare-puppers,0.583489132741078
75,nateraw/trainer-rare-puppers,0.5752495135914194
76,ibombonato/vit-age-classifier,0.5732305122470907
77,nateraw/rare-puppers-new-auth,0.5818549081399094
78,SriramSridhar78/sriram-car-classifier,0.5861504736938133
79,ismgar01/vit-base-cats-vs-dogs,0.5618149575101985
80,nateraw/rare-puppers,0.5672470914098499
81,iyzg/computer-stuff,0.5652113702037078
82,nateraw/huggingpics-package-demo-2,0.5775069724844688
83,imjeffhi/pokemon_classifier,0.5625484520798891
84,nateraw/pasta-pizza-ravioli,0.5862845739260321
85,akahana/vit-base-cats-vs-dogs,0.5300720599554848
86,nateraw/donut-or-bagel,0.5801173228120051
87,nateraw/rare-puppers-09-04-2021,0.5746081467175668
88,nateraw/vit-base-cats-vs-dogs,0.5741938739235883
89,Zayn/VIT_Basic,0.5807394448280718
90,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.5832967244581421
91,AkshatSurolia/ViT-FaceMask-Finetuned,0.531954428905134
92,Ahmed9275/Vit-Cifar100,0.5820696128500114
93,driboune/skin_type,0.584229072194896
94,facebook/deit-base-patch16-224,0.5773087055711003
95,facebook/deit-base-distilled-patch16-224,0.5743237732432597
96,eslamxm/vit-base-food101,0.5616981388567756
97,mrm8488/data2vec-base-finetuned-imagenet1k,0.5166141370157896
98,facebook/convnext-small-224,0.567926076284897
99,microsoft/beit-base-patch16-224,0.5254997892726919
100,mrm8488/convnext-tiny-finetuned-eurosat,0.5866636762790308
101,mrm8488/convnext-tiny-finetuned-beans,0.5780678711769908
102,facebook/convnext-tiny-224,0.5900121566802775
103,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.6015266305140967
104,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.5491414643923871
105,Calin/convnext-tiny-finteuned-eurosat,0.5940113334829821
106,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.586058154265771
107,Visual-Attention-Network/van-small,0.5739481767524282
108,WinKawaks/vit-small-patch16-224,0.5517793689678983
109,facebook/deit-small-distilled-patch16-224,0.49641762724200833
110,Visual-Attention-Network/van-base,0.5342155279825903
111,jadohu/BEiT-finetuned,0.5450289537807769
112,nielsr/convnext-tiny-finetuned-eurostat,0.5879294823171098
113,facebook/deit-small-patch16-224,0.5311304941940488
114,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5896838657106565
115,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5593665731186772
116,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5417182849115108
117,WinKawaks/vit-tiny-patch16-224,0.482131362723129
118,Visual-Attention-Network/van-tiny,0.5128222525117038
119,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5602276647014804
120,facebook/deit-tiny-distilled-patch16-224,0.4731132460779524
121,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5675907587436735
122,nielsr/convnext-tiny-finetuned-eurosat,0.5872429077136697
123,ibombonato/swin-age-classifier,0.5834059102948239
124,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.5778057296212542
125,facebook/deit-tiny-patch16-224,0.4985263880092684
126,flyswot/test,0.5219384308740623
127,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5798659227647512
128,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5722324053735324
129,nielsr/van-base-finetuned-eurosat-imgaug,0.5961815612440852
130,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5845547485214478
131,Visual-Attention-Network/van-large,0.5798627188635308
132,Matthijs/snacks-classifier,0.5836865129096871
133,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5657775878447291
134,nateraw/test_model_a,0.47282935421170436
135,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5563730755847638
136,google/vit-base-patch32-384,0.5323260825956251
137,nateraw/rare-puppers-demo,0.5792402802580443
138,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5482337654725851
139,AkshatSurolia/DeiT-FaceMask-Finetuned,0.5665668269822166
140,meame2010/rare-puppers,0.5749613118087487
141,mmgyorke/vit-world-landmarks,0.5756254277766542
142,lysandre/tiny-vit-random,0.47868610630378167
143,AhmedSayeem/VIT_Basic,0.5705015803061104
144,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.5817304578647365
145,microsoft/beit-base-patch16-224-pt22k,0.5532843380440277
